Category,States/UTs/Cities,Murder - Incidence,Murder - Rate,Attempt to Commit Murder - Incidence,Attempt to Commit Murder - Rate,C.H. not Amounting to Murder - Incidence,C.H. not Amounting to Murder - Rate,Rape - Total - Incidence,Rape - Total - Rate,Rape - Custodial - Incidence,Rape - Custodial - Rate,Rape - Others - Incidence,Rape - Others - Rate,Kidnapping & Abduction - Total - Incidence,Kidnapping & Abduction - Total - Rate,Kidnapping & Abduction - of Women & Girls - Incidence,Kidnapping & Abduction - of Women & Girls - Rate,Kidnapping & Abduction - of Others - Incidence,Kidnapping & Abduction - of Others - Rate,Dacoity - Incidence,Dacoity - Rate,Preparation & Assembly for Dacoity - Incidence,Preparation & Assembly for Dacoity - Rate,Robbery - Incidence,Robbery - Rate,Burglary - Incidence,Burglary - Rate,Theft - Total - Incidence,Theft - Total - Rate,Theft - Auto Theft - Incidence,Theft - Auto Theft - Rate,Theft - Other Theft - Incidence,Theft - Other Theft - Rate,Riots - Incidence,Riots - Rate,Criminal Breach of Trust - Incidence,Criminal Breach of Trust - Rate,Cheating - Incidence,Cheating - Rate,Counterfeiting - Incidence,Counterfeiting - Rate,Arson - Incidence,Arson - Rate,Hurt - Incidence,Hurt - Rate,Dowry Deaths - Incidence,Dowry Deaths - Rate,Molestation - Incidence,Molestation - Rate,Sexual Harassment - Incidence,Sexual Harassment - Rate,Cruelty by Husband and Relatives - Incidence,Cruelty by Husband and Relatives - Rate,Importation of Girls - Incidence,Importation of Girls - Rate,Causing Death by Negligence - Incidence,Causing Death by Negligence - Rate,Other IPC Crimes - Incidence,Other IPC Crimes - Rate,Total Cognizable Crimes under IPC - Incidence,Total Cognizable Crimes under IPC - Rate
State,Andhra Pradesh,2525,3.3,1644,2.1,165,0.2,1002,1.3,0,0,1002,1.3,1302,1.7,854,1.1,448,0.6,197,0.3,3,0,648,0.8,7628,9.9,19222,25,3544,4.6,15678,20.4,2140,2.8,1050,1.4,6733,8.8,155,0.2,991,1.3,39839,51.8,449,0.6,3799,4.9,2024,2.6,7018,9.1,0,0,8691,11.3,36385,47.3,143610,186.7
State,Arunachal Pradesh,61,5.5,38,3.4,6,0.5,38,3.4,0,0,38,3.4,57,5.1,38,3.4,19,1.7,22,2,0,0,96,8.6,249,22.3,395,35.4,51,4.6,344,30.9,21,1.9,23,2.1,29,2.6,5,0.4,20,1.8,401,36,0,0,68,6.1,2,0.2,13,1.2,0,0,0,0,684,61.3,2228,199.8
State,Assam,1253,4.6,479,1.8,55,0.2,970,3.6,0,0,970,3.6,1595,5.9,1276,4.7,319,1.2,473,1.7,18,0.1,607,2.2,2504,9.2,5555,20.4,496,1.8,5059,18.6,3014,11.1,558,2,719,2.6,57,0.2,438,1.6,4764,17.5,70,0.3,984,3.6,7,0,1694,6.2,0,0,1957,7.2,8575,31.5,36346,133.4
State,Bihar,3712,4.4,3526,4.1,396,0.5,1040,1.2,0,0,1040,1.2,2361,2.8,744,0.9,1617,1.9,1289,1.5,141,0.2,2288,2.7,3188,3.7,10145,11.9,1131,1.3,9014,10.6,8675,10.2,1215,1.4,1811,2.1,72,0.1,600,0.7,8770,10.3,927,1.1,621,0.7,6,0,1577,1.9,38,0,2497,2.9,39145,46,94040,110.4
State,Chhattisgarh,844,4,453,2.1,24,0.1,992,4.7,0,0,992,4.7,178,0.8,154,0.7,24,0.1,144,0.7,6,0,326,1.5,3731,17.5,4302,20.2,889,4.2,3413,16,817,3.8,96,0.5,393,1.8,18,0.1,235,1.1,4484,21,85,0.4,1483,7,147,0.7,653,3.1,0,0,963,4.5,17576,82.5,37950,178.1
State,Goa,30,2.2,20,1.4,4,0.3,12,0.9,0,0,12,0.9,9,0.6,5,0.4,4,0.3,5,0.4,0,0,24,1.7,376,27.1,496,35.7,146,10.5,350,25.2,79,5.7,27,1.9,78,5.6,3,0.2,25,1.8,236,17,2,0.1,18,1.3,6,0.4,8,0.6,0,0,202,14.6,780,56.2,2440,175.8
State,Gujarat,1532,3,759,1.5,13,0,267,0.5,0,0,267,0.5,1015,2,807,1.6,208,0.4,804,1.6,12,0,1098,2.1,5327,10.3,15742,30.4,6195,12,9547,18.4,3665,7.1,1385,2.7,1457,2.8,46,0.1,1915,3.7,13531,26.1,62,0.1,750,1.4,104,0.2,3321,6.4,0,0,3258,6.3,50612,97.7,106675,206
State,Haryana,760,3.5,487,2.3,89,0.4,361,1.7,1,0,360,1.7,427,2,290,1.3,137,0.6,61,0.3,162,0.7,330,1.5,3048,14.1,5962,27.5,2955,13.7,3007,13.9,700,3.2,579,2.7,933,4.3,32,0.1,199,0.9,4514,20.9,256,1.2,454,2.1,1424,6.6,1565,7.2,0,0,955,4.4,16854,77.9,40152,185.5
State,Himachal Pradesh,123,2,86,1.4,6,0.1,137,2.2,0,0,137,2.2,138,2.2,116,1.9,22,0.4,0,0,1,0,18,0.3,710,11.5,564,9.1,142,2.3,422,6.8,646,10.5,75,1.2,137,2.2,0,0,145,2.3,1476,23.9,6,0.1,326,5.3,12,0.2,234,3.8,0,0,482,7.8,6921,112,12243,198.2
State,Jammu & Kashmir,1048,10,1240,11.9,31,0.3,192,1.8,0,0,192,1.8,674,6.5,596,5.7,78,0.7,42,0.4,0,0,163,1.6,1321,12.7,2020,19.3,664,6.4,1356,13,996,9.5,91,0.9,382,3.7,20,0.2,386,3.7,366,3.5,18,0.2,785,7.5,368,3.5,54,0.5,0,0,380,3.6,9390,89.9,19967,191.3
State,Jharkhand,1488,5.4,1143,4.1,115,0.4,797,2.9,0,0,797,2.9,468,1.7,178,0.6,290,1.1,580,2.1,55,0.2,780,2.8,1419,5.2,4374,15.9,560,2,3814,13.8,2281,8.3,333,1.2,441,1.6,6,0,167,0.6,2294,8.3,275,1,411,1.5,3,0,588,2.1,36,0.1,416,1.5,12969,47.1,31439,114.1
State,Karnataka,1627,3,1576,2.9,55,0.1,292,0.5,0,0,292,0.5,645,1.2,300,0.6,345,0.6,178,0.3,66,0.1,972,1.8,6480,12.1,13818,25.7,4376,8.2,9442,17.6,6838,12.7,485,0.9,2764,5.1,175,0.3,437,0.8,22824,42.5,233,0.4,1648,3.1,100,0.2,1826,3.4,0,0,152,0.3,50508,94.1,113699,211.8
State,Kerala,454,1.4,562,1.7,210,0.7,499,1.5,0,0,499,1.5,162,0.5,91,0.3,71,0.2,137,0.4,4,0,610,1.9,4624,14.3,5743,17.8,1978,6.1,3765,11.7,8090,25.1,357,1.1,2924,9.1,135,0.4,452,1.4,19033,59,17,0.1,2123,6.6,102,0.3,2836,8.8,0,0,32,0.1,55094,170.7,104200,322.9
State,Madhya Pradesh,2395,3.9,2864,4.6,194,0.3,2891,4.7,0,0,2891,4.7,964,1.6,639,1,325,0.5,136,0.2,142,0.2,1829,2.9,13344,21.5,20759,33.4,4845,7.8,15914,25.6,3178,5.1,507,0.8,1240,2,54,0.1,1053,1.7,29955,48.3,674,1.1,7118,11.5,783,1.3,3117,5,0,0,3679,5.9,94923,152.9,191799,309
State,Maharashtra,2768,2.8,1435,1.5,93,0.1,1352,1.4,1,0,1351,1.4,953,1,650,0.7,303,0.3,548,0.6,271,0.3,2136,2.2,14471,14.6,37606,38.1,9122,9.2,28484,28.8,6360,6.4,1468,1.5,4145,4.2,176,0.2,1269,1.3,29250,29.6,303,0.3,2686,2.7,769,0.8,5353,5.4,0,0,9407,9.5,42643,43.1,165462,167.4
State,Manipur,165,6.8,160,6.5,3,0.1,14,0.6,0,0,14,0.6,157,6.4,82,3.4,75,3.1,3,0.1,8,0.3,6,0.2,44,1.8,255,10.4,115,4.7,140,5.7,64,2.6,28,1.1,72,2.9,12,0.5,48,2,378,15.5,0,0,58,2.4,0,0,10,0.4,0,0,25,1,1074,44,2584,105.8
State,Meghalaya,167,7.1,58,2.5,3,0.1,38,1.6,0,0,38,1.6,52,2.2,10,0.4,42,1.8,64,2.7,2,0.1,109,4.6,154,6.5,392,16.6,51,2.2,341,14.5,9,0.4,9,0.4,33,1.4,8,0.3,23,1,89,3.8,0,0,23,1,0,0,0,0,0,0,12,0.5,419,17.8,1664,70.6
State,Mizoram,29,3.2,26,2.9,5,0.5,76,8.4,0,0,76,8.4,7,0.8,2,0.2,5,0.5,5,0.5,0,0,7,0.8,446,49,999,109.8,30,3.3,969,106.5,1,0.1,26,2.9,85,9.3,16,1.8,27,3,112,12.3,0,0,73,8,0,0,3,0.3,0,0,13,1.4,864,94.9,2820,309.9
State,Nagaland,100,4.9,34,1.7,5,0.2,17,0.8,0,0,17,0.8,27,1.3,4,0.2,23,1.1,21,1,0,0,110,5.4,128,6.3,257,12.6,81,4,176,8.6,5,0.2,10,0.5,21,1,3,0.1,6,0.3,53,2.6,0,0,1,0,0,0,0,0,0,0,24,1.2,292,14.3,1114,54.4
State,Orissa,1075,2.9,1372,3.7,58,0.2,691,1.9,0,0,691,1.9,523,1.4,432,1.2,91,0.2,246,0.7,30,0.1,945,2.5,2884,7.7,5268,14.1,1028,2.8,4240,11.4,1598,4.3,246,0.7,793,2.1,12,0,405,1.1,4947,13.2,248,0.7,1605,4.3,188,0.5,1167,3.1,0,0,2672,7.2,20755,55.6,47728,127.8
State,Punjab,733,3,728,2.9,79,0.3,299,1.2,0,0,299,1.2,551,2.2,354,1.4,197,0.8,50,0.2,83,0.3,110,0.4,1928,7.8,2963,12,1267,5.1,1696,6.8,2,0,373,1.5,2716,11,39,0.2,68,0.3,4453,18,166,0.7,341,1.4,145,0.6,944,3.8,0,0,2310,9.3,9713,39.2,28794,116.2
State,Rajasthan,1276,2.2,2043,3.5,68,0.1,1051,1.8,0,0,1051,1.8,2587,4.5,2019,3.5,568,1,47,0.1,33,0.1,734,1.3,6661,11.5,16313,28.1,4706,8.1,11607,20,7178,12.3,938,1.6,7286,12.5,63,0.1,1130,1.9,26519,45.6,399,0.7,2730,4.7,44,0.1,5691,9.8,0,0,4670,8,63787,109.7,151248,260.2
State,Sikkim,13,2.4,5,0.9,2,0.4,6,1.1,0,0,6,1.1,9,1.6,2,0.4,7,1.3,0,0,0,0,5,0.9,66,11.9,64,11.6,5,0.9,59,10.7,15,2.7,3,0.5,48,8.7,0,0,2,0.4,50,9,0,0,17,3.1,0,0,3,0.5,0,0,7,1.3,170,30.7,485,87.7
State,Tamil Nadu,1723,2.7,2133,3.4,36,0.1,534,0.8,0,0,534,0.8,1001,1.6,714,1.1,287,0.5,176,0.3,25,0,653,1,5533,8.8,18755,29.8,4671,7.4,14084,22.4,4252,6.8,288,0.5,2017,3.2,121,0.2,850,1.4,25150,40,243,0.4,1877,3,1718,2.7,1052,1.7,0,0,10125,16.1,88680,140.9,166942,265.2
State,Tripura,201,6.2,38,1.2,1,0,108,3.3,0,0,108,3.3,128,3.9,48,1.5,80,2.5,29,0.9,0,0,56,1.7,192,5.9,270,8.3,51,1.6,219,6.7,180,5.5,12,0.4,20,0.6,7,0.2,40,1.2,518,16,16,0.5,128,3.9,0,0,236,7.3,0,0,46,1.4,849,26.1,3075,94.7
State,Uttar Pradesh,6825,4,6283,3.7,1243,0.7,1415,0.8,1,0,1414,0.8,3430,2,2298,1.3,1132,0.7,552,0.3,59,0,2840,1.7,6126,3.6,22419,13.1,6353,3.7,16066,9.4,4878,2.9,2738,1.6,5026,2.9,127,0.1,643,0.4,13947,8.2,1893,1.1,2145,1.3,1887,1.1,5679,3.3,0,0,7313,4.3,48569,28.4,146037,85.5
State,Uttarakhand,292,3.4,249,2.9,47,0.5,89,1,0,0,89,1,198,2.3,155,1.8,43,0.5,32,0.4,6,0.1,177,2,554,6.4,1365,15.7,374,4.3,991,11.4,342,3.9,145,1.7,312,3.6,8,0.1,40,0.5,760,8.8,66,0.8,145,1.7,97,1.1,316,3.6,1,0,440,5.1,2295,26.5,7976,91.9
State,West Bengal,1444,1.8,413,0.5,540,0.7,759,0.9,0,0,759,0.9,831,1,694,0.8,137,0.2,204,0.2,646,0.8,544,0.7,348,0.4,12449,15.2,2458,3,9991,12.2,2461,3,451,0.6,1315,1.6,98,0.1,114,0.1,3112,3.8,273,0.3,964,1.2,34,0,4069,5,1,0,2703,3.3,25189,30.8,58962,72.2
State,Total (States),34663,3.4,29854,2.9,3546,0.3,15939,1.5,3,0,15936,1.5,20449,2,13552,1.3,6897,0.7,6045,0.6,1773,0.2,18221,1.8,93484,9,228472,22.1,58284,5.6,170188,16.5,68485,6.6,13516,1.3,43930,4.3,1468,0.1,11728,1.1,261825,25.3,6681,0.6,33381,3.2,9970,1,49027,4.7,76,0,63431,6.1,705715,68.3,1721679,166.6
Union Territory,A & N Islands,17,4.7,3,0.8,1,0.3,2,0.5,0,0,2,0.5,2,0.5,1,0.3,1,0.3,1,0.3,0,0,7,1.9,49,13.4,49,13.4,2,0.5,47,12.9,11,3,4,1.1,11,3,0,0,2,0.5,97,26.6,0,0,17,4.7,3,0.8,4,1.1,0,0,0,0,328,89.9,608,166.6
Union Territory,Chandigarh,31,3.3,35,3.8,7,0.8,18,1.9,0,0,18,1.9,54,5.8,47,5,7,0.8,1,0.1,1,0.1,26,2.8,336,36.1,1647,176.7,617,66.2,1030,110.5,78,8.4,35,3.8,181,19.4,5,0.5,5,0.5,107,11.5,1,0.1,36,3.9,28,3,56,6,0,0,7,0.8,1111,119.2,3806,408.4
Union Territory,D & N Haveli,11,4.8,2,0.9,0,0,4,1.8,0,0,4,1.8,9,3.9,5,2.2,4,1.8,3,1.3,0,0,1,0.4,38,16.7,75,32.9,38,16.7,37,16.2,5,2.2,12,5.3,10,4.4,0,0,2,0.9,29,12.7,0,0,3,1.3,0,0,3,1.3,0,0,0,0,142,62.3,349,153.1
Union Territory,Daman & Diu,8,4.9,3,1.8,0,0,0,0,0,0,0,0,3,1.8,2,1.2,1,0.6,2,1.2,0,0,1,0.6,56,34.1,56,34.1,35,21.3,21,12.8,16,9.8,5,3,10,6.1,0,0,2,1.2,18,11,0,0,0,0,0,0,3,1.8,0,0,0,0,78,47.6,261,159.1
Union Territory,Delhi,531,3.7,440,3.1,68,0.5,403,2.8,0,0,403,2.8,1323,9.2,893,6.2,430,3,47,0.3,67,0.5,502,3.5,2360,16.4,16625,115.6,7434,51.7,9191,63.9,139,1,444,3.1,2098,14.6,46,0.3,57,0.4,1851,12.9,135,0.9,446,3.1,128,0.9,135,0.9,0,0,416,2.9,20876,145.1,49137,341.6
Union Territory,Lakshadweep,0,0,0,0,0,0,1,1.6,0,0,1,1.6,0,0,0,0,0,0,0,0,0,0,0,0,9,14.5,12,19.4,0,0,12,19.4,18,29,0,0,0,0,0,0,2,3.2,5,8.1,0,0,1,1.6,0,0,0,0,0,0,0,0,5,8.1,53,85.5
