Category,States/ UTs,Criminal Breach of Trust,Cheating,Counterfeiting,Total Economic Crimes,Percentage Share to All India,Crime Rate of Economic Crimes,Percentage to Total Cog. Crimes under IPC
State,Andhra Pradesh,1050,6733,155,7938,12.84,10.32,5.53
State,Arunachal Pradesh,23,29,5,57,0.09,5.11,2.56
State,Assam,558,719,57,1334,2.16,4.9,3.67
State,Bihar,1215,1811,72,3098,5.01,3.64,3.29
State,Chhattisgarh,96,393,18,507,0.82,2.38,1.34
State,Goa,27,78,3,108,0.17,7.78,4.43
State,Gujarat,1385,1457,46,2888,4.67,5.58,2.71
State,Haryana,579,933,32,1544,2.5,7.13,3.85
State,Himachal Pradesh,75,137,0,212,0.34,3.43,1.73
State,Jammu & Kashmir,91,382,20,493,0.8,4.72,2.47
State,Jharkhand,333,441,6,780,1.26,2.83,2.48
State,Karnataka,485,2764,175,3424,5.54,6.38,3.01
State,Kerala,357,2924,135,3416,5.53,10.59,3.28
State,Madhya Pradesh,507,1240,54,1801,2.91,2.9,0.94
State,Maharashtra,1468,4145,176,5789,9.36,5.86,3.5
State,Manipur,28,72,12,112,0.18,4.58,4.33
State,Meghalaya,9,33,8,50,0.08,2.12,3
State,Mizoram,26,85,16,127,0.21,13.96,4.5
State,Nagaland,10,21,3,34,0.05,1.66,3.05
State,Orissa,246,793,12,1051,1.7,2.81,2.2
State,Punjab,373,2716,39,3128,5.06,12.63,10.86
State,Rajasthan,938,7286,63,8287,13.41,14.26,5.48
State,Sikkim,3,48,0,51,0.08,9.22,10.52
State,Tamil Nadu,288,2017,121,2426,3.92,3.85,1.45
State,Tripura,12,20,7,39,0.06,1.2,1.27
State,Uttar Pradesh,2738,5026,127,7891,12.76,4.62,5.4
State,Uttaranchal,145,312,8,465,0.75,5.36,5.83
State,West Bengal,451,1315,98,1864,3.02,2.28,3.16
State,Total (States),13516,43930,1468,58914,95.3,5.7,3.42
Union Territory,A & N Islands,4,11,0,15,0.02,4.11,2.47
Union Territory,Chandigarh,35,181,5,221,0.36,23.71,5.81
Union Territory,D & N Haveli,12,10,0,22,0.04,9.65,6.3
Union Territory,Daman & Diu,5,10,0,15,0.02,9.15,5.75
Union Territory,Delhi,444,2098,46,2588,4.19,17.99,5.27
Union Territory,Lakshadweep,0,0,0,0,0,0,0
Union Territory,Puducherry,11,31,3,45,0.07,4.54,1.01
Union Territory,Total (UTs),511,2341,54,2906,4.7,16.97,4.95
Total (All-India),Total (All-India),14027,46271,1522,61820,100,5.88,3.47
