Crime Head,Number of Cases in which Property was - Stolen,Number of Cases in which Property was - Recovered,Percentage of Cases of Recovery,Value of Property (Rs. In Lakh) - Stolen,Value of Property (Rs. In Lakh) - Recovered,Percentage Recovery
Dacoity,5792,2270,39.2,19061.8,2391.7,12.5
Robbery,17914,8051,44.9,8719.7,3673.9,42.1
Burglary,92880,28028,30.2,23112.8,4975.4,21.5
Theft,241162,89859,37.3,62516.5,21437.7,34.3
Criminal Breach of Trust,9381,3511,37.4,70389.7,9121,13
Other Kinds of Property Offences,20022,8932,44.6,62922.7,6142.3,9.8
Total,387151,140651,36.3,246723.1,47742,19.4
