States/ UTs,District,Murder - SCs,Murder - STs,Rape - SCs,Rape - STs,Kidnapping - SCs,Kidnapping - STs,Dacoity - SCs,Dacoity - STs,Robbery - SCs,Robbery - STs,Arson - SCs,Arson - STs,Hurt - SCs,Hurt - STs,Protection Of Civil Rights Act - SCs,Protection Of Civil Rights Act - STs,SC/ ST(P) of Atrocities Act - SCs,SC/ ST(P) of Atrocities Act - STs,Other Crimes Committed against - SCs,Other Crimes Committed against - STs,Total Crimes Committed against - SCs,Total Crimes Committed against - STs
Andhra Pradesh,Adilabad,0,0,2,0,0,0,0,0,0,0,0,0,2,0,16,0,0,0,18,3,38,3
Andhra Pradesh,Anantapur,0,0,3,1,0,0,0,0,0,0,1,1,32,2,0,0,25,0,51,5,112,9
Andhra Pradesh,Chittoor,1,0,5,0,0,0,0,0,0,0,0,0,22,0,1,0,27,10,40,0,96,10
Andhra Pradesh,Cuddapah,0,0,3,0,1,0,0,0,0,0,0,0,20,0,2,0,14,0,47,0,87,0
Andhra Pradesh,East Godavari,2,0,4,0,0,0,0,0,0,0,0,0,26,0,52,0,16,0,0,30,100,30
Andhra Pradesh,Guntakal Rly.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,Guntur,1,0,4,0,0,0,0,0,0,0,0,0,31,4,2,0,4,1,38,6,80,11
Andhra Pradesh,Hyderabad City,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,36,4,35,4,77,8
Andhra Pradesh,Karimnagar,12,1,9,3,5,3,0,0,0,0,0,0,111,34,11,0,80,0,292,48,520,89
Andhra Pradesh,Khammam,2,0,3,8,0,1,0,0,0,0,0,0,6,4,5,1,25,14,51,16,92,44
Andhra Pradesh,Krishna,7,0,5,1,1,1,0,0,0,0,1,0,25,2,153,8,22,4,136,8,350,24
Andhra Pradesh,Kurnool,1,0,7,0,0,0,0,0,0,0,0,0,15,0,24,0,90,0,18,0,155,0
Andhra Pradesh,Mahaboobnagar,8,1,12,3,0,0,0,0,0,0,2,0,0,0,23,4,64,18,82,0,191,26
Andhra Pradesh,Medak,0,0,5,2,1,0,0,0,0,0,0,0,4,1,1,0,70,11,65,10,146,24
Andhra Pradesh,Nalgonda,0,0,2,1,0,0,0,0,0,0,0,0,1,3,3,1,36,16,5,4,47,25
Andhra Pradesh,Nellore,0,0,4,1,2,0,0,0,0,0,0,0,21,6,0,0,124,28,57,13,208,48
Andhra Pradesh,Nizamabad,0,0,5,0,0,0,0,0,0,0,0,0,6,6,0,0,13,0,38,13,62,19
Andhra Pradesh,Prakasham,3,0,0,0,0,0,0,0,0,0,0,0,47,4,4,0,19,1,30,0,103,5
Andhra Pradesh,Ranga Reddy,19,0,8,2,4,0,0,0,2,0,7,1,96,2,17,3,38,9,50,23,241,40
Andhra Pradesh,Secunderabad Rly.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0
Andhra Pradesh,Srikakulam,1,0,3,0,0,0,0,0,0,0,0,0,10,0,12,0,14,0,37,0,77,0
Andhra Pradesh,Vijayawada,2,0,4,0,1,1,0,0,1,0,0,0,51,17,24,2,7,2,23,6,113,28
Andhra Pradesh,Vijayawada Rly.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,1,0,5,1
Andhra Pradesh,Visakha Rural,0,0,0,1,0,0,0,0,0,0,0,0,10,0,31,0,7,0,42,0,90,1
Andhra Pradesh,Visakhapatnam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,2,7,0,16,2
