Category,Crime Head,Below 18 Years,Between 18 - 30 Years,Between 30 -45 Years,Between 45 - 60 Years,Above 60 Years,Total (All Age Groups)
Offences under IT Act,Tampering Computer Source Department,0,4,3,0,0,7
Offences under IT Act,Hacking Computer Systems - i) Loss/ Damage to Computer Resource/ Utility,0,4,0,0,0,4
Offences under IT Act,Hacking Computer Systems - ii) Hacking,0,28,5,1,1,35
Offences under IT Act,Obscene Publication/ Transmission in Electronic Form,1,8,6,0,0,15
Offences under IT Act,Failure - i) of Compliance/ Orders of Certifying Authority,0,0,0,0,0,0
Offences under IT Act,Failure - ii) To Assist to Decoy or the Information in Interception by Govt. Agency,0,0,0,0,0,0
Offences under IT Act,Unauthorised Access/ Attempt to Access of Protected Computer System,0,0,0,0,0,0
Offences under IT Act,Obtaining Licence or Digital Signature by Misrepresentation/ Suppression of Fact,0,0,0,0,0,0
Offences under IT Act,Publishing False Digital Signature/ Certificate,0,0,0,0,0,0
Offences under IT Act,Fraud Digital Signature,0,0,0,0,0,0
Offences under IT Act,Breach of Confidentiality/ Privacy,0,0,0,0,0,0
Offences under IT Act,Other,0,0,2,2,0,4
Total (Offences under IT Act),Total (Offences under IT Act),1,44,16,3,1,65
Offences under IPC,Public Servant Offences by/ against,0,0,0,0,0,0
Offences under IPC,False Electronic Evidence,0,0,5,1,0,6
Offences under IPC,Destruction of Electronic Evidence,0,0,1,0,0,1
Offences under IPC,Forgery,0,106,220,30,1,357
Offences under IPC,Criminal Breach of Trust/ Fraud,0,198,403,160,24,785
Offences under IPC,Counterfeiting - i) Property/ Mark,0,0,0,0,0,0
Offences under IPC,Counterfeiting - ii) Tampering,0,23,14,0,0,37
Offences under IPC,Counterfeiting - iii) Currency/ Stamps,3,23,70,21,7,124
Total (Offences under IPC),Total (Offences under IPC),3,350,713,212,32,1310
Grand Total (Offences under IPC + Offences under IT Act),Grand Total (Offences under IPC + Offences under IT Act),4,394,729,215,33,1375
