Category (Col. 1),States/ UTs (Col. 2),Total No. of Cases for Investigation Including Pending Cases (Col. 3),Cases Withdrawn by Govt. (Col. 4),No. of Cases in which - Investigation was Refused (Col. 5),No. of Cases in which - Investigation was Completed - Charge Found False/ Mistake of Fact or Law Etc. (Col. 6),No. of Cases in which - Investigation was Completed - Final Report True Submitted (Col. 7),No. of Cases in which - Investigation was Completed - Charge Sheets were Submitted (Col. 8),No. of Cases in which - Investigation was Completed - Total {(Col. 6 + Col. 7 + Col. 8)} = (Col. 9),No. of Cases Pending Investigation (Col. 10),Pendency Percentage (Col. 11),Percentage of Pendency to All India Total (Col. 12),Charge Sheeting Rate {(Col. 8)/ (Col. 7 + Col. 8) × 100} = (Col. 13)
State,Andhra Pradesh,446,1,0,25,12,259,296,149,33.4,10.7,95.6
State,Arunachal Pradesh,6,0,0,0,0,1,1,5,83.3,0.4,100
State,Assam,18,0,0,0,1,11,12,6,33.3,0.4,91.7
State,Bihar,71,0,0,3,6,51,60,11,15.5,0.8,89.5
State,Chhattisgarh,749,0,0,88,20,640,748,1,0.1,0.1,97
State,Goa,44,0,0,0,6,20,26,18,40.9,1.3,76.9
State,Gujarat,732,0,0,23,144,524,691,41,5.6,2.9,78.4
State,Haryana,248,0,0,37,30,171,238,10,4,0.7,85.1
State,Himachal Pradesh,105,0,0,10,15,53,78,27,25.7,1.9,77.9
State,Jammu & Kashmir,46,0,0,5,2,18,25,21,45.7,1.5,90
State,Jharkhand,114,0,0,3,3,103,109,5,4.4,0.4,97.2
State,Karnataka,126,0,0,6,25,70,101,25,19.8,1.8,73.7
State,Kerala,557,0,2,2,21,319,342,213,38.2,15.3,93.8
State,Madhya Pradesh,2366,0,0,5,152,2185,2342,24,1,1.7,93.5
State,Maharashtra,2080,0,2,41,320,1437,1798,280,13.5,20.1,81.8
State,Manipur,0,0,0,0,0,0,0,0,0,0,0
State,Meghalaya,23,0,0,0,0,3,3,20,87,1.4,100
State,Mizoram,2,0,0,0,0,2,2,0,0,0,100
State,Nagaland,16,0,0,0,13,2,15,1,6.3,0.1,13.3
State,Orissa,68,0,0,0,1,59,60,8,11.8,0.6,98.3
State,Punjab,213,0,4,14,34,104,152,57,26.8,4.1,75.4
State,Rajasthan,208,0,0,38,88,73,199,9,4.3,0.6,45.3
State,Sikkim,6,0,0,0,0,6,6,0,0,0,100
State,Tamil Nadu,155,0,5,7,17,77,101,49,31.6,3.5,81.9
State,Tripura,0,0,0,0,0,0,0,0,0,0,0
State,Uttar Pradesh,2391,0,0,42,124,2038,2204,187,7.8,13.4,94.3
State,Uttaranchal,32,0,0,0,2,30,32,0,0,0,93.8
State,West Bengal,239,0,0,30,59,54,143,96,40.2,6.9,47.8
State,Total (States),11061,1,13,379,1095,8310,9784,1263,11.4,90.5,88.4
Union Territory,A & N Islands,3,0,0,0,0,3,3,0,0,0,100
Union Territory,Chandigarh,61,0,0,7,15,31,53,8,13.1,0.6,67.4
Union Territory,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Delhi,949,0,28,203,261,342,806,115,12.1,8.2,56.7
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Puducherry,20,0,1,0,0,9,9,10,50,0.7,100
Union Territory,Total (UTs),1033,0,29,210,276,385,871,133,12.9,9.5,58.2
Total (All-India),Total (All-India),12094,1,42,589,1371,8695,10655,1396,11.5,100,86.4
