Crime Head,Total Count of Persons under Arrest* including those from Previous Year,Persons Released before Trial - Count,Persons Released before Trial - Percentage to Total,Persons Charge Sheeted - Count,Persons Charge Sheeted - Percentage to Total,Persons under Investigation at the End of the Year - Count,Persons under Investigation at the End of the Year - Percentage to Total
Murder,104938,4092,3.9,74977,71.4,25869,24.7
Attempt to Commit Murder,102219,3424,3.3,78062,76.4,20733,20.3
C.H. not Amounting to Murder,9333,538,5.8,6504,69.7,2291,24.5
Rape - Total,27217,1040,3.8,20466,75.2,5711,21
Rape - i) Custodial Rape,0,0,0,0,0,0,0
Rape - ii) Other Rape,27217,1040,3.8,20466,75.2,5711,21
Kidnapping & Abduction - Total,43446,3931,9,27756,63.9,11759,27.1
Kidnapping & Abduction - i) of Women & Girls,25337,2001,7.9,16465,65,6871,27.1
Kidnapping & Abduction - ii) of Others,18109,1930,10.7,11291,62.4,4888,27
Dacoity,42058,5414,12.9,22924,54.5,13720,32.6
Preparation & Assembly for Dacoity,11862,518,4.4,7830,66,3514,29.6
Robbery,39364,4173,10.6,25477,64.7,9714,24.7
Burglary,80391,6776,8.4,59983,74.6,13632,17
Theft - Total,206326,19041,9.2,145515,70.5,41770,20.2
Theft - i) Auto Theft,36446,2212,6.1,26897,73.8,7337,20.1
Theft - ii) Other Theft,169880,16829,9.9,118618,69.8,34433,20.3
Riots,475872,22738,4.8,375894,79,77240,16.2
Criminal Breach of Trust,22457,1715,7.6,14527,64.7,6215,27.7
Cheating,65083,3830,5.9,41612,63.9,19641,30.2
Counterfeiting,3832,184,4.8,2054,53.6,1594,41.6
Arson,22311,1192,5.3,17233,77.2,3886,17.4
Hurt,542627,13792,2.5,469137,86.5,59698,11
Dowry Death,23599,1004,4.3,18117,76.8,4478,19
Molestation,48678,1380,2.8,41714,85.7,5584,11.5
Sexual Harassment,13704,141,1,12428,90.7,1135,8.3
Cruelty by Husband and Relatives,133558,5360,4,107078,80.2,21120,15.8
Importation of Girls,203,21,10.3,129,63.5,53,26.1
Causing Death by Negligence,66656,2064,3.1,55485,83.2,9107,13.7
Other IPC Crimes,1173352,63114,5.4,970411,82.7,139827,11.9
Total Cognizable Crimes under IPC,3259086,165482,5.1,2595313,79.6,498291,15.3
