Category,States/ UTs,Number of Victims Killed in Terrorist/ Extremists Operations,Number of Victims Killed in Dacoity Operation or Other Raids,Number of Victims Killed by Riotous Mobs,Number of Victims Killed by Other Criminals,Number of Victims Killed on Border Duties,Number of Victims Killed in Accidents,Number of Victims Killed - Total,Number of Victims Injured in Terrorist/ Extremists Operations,Number of Victims Injured in Dacoity Operation or Other Raids,Number of Victims Injured by Riotous Mobs,Number of Victims Injured by Other Criminals,Number of Victims Injured on Border Duties,Number of Victims Injured in Accidents,Number of Victims Injured - Total
State,Andhra Pradesh,13,0,0,0,0,42,55,26,3,69,22,0,51,171
State,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,2,0,0,0,2
State,Assam,11,1,0,1,2,3,18,31,1,3,2,17,1,55
State,Bihar,1,1,1,4,0,10,17,2,5,7,2,0,1,17
State,Chhattisgarh,7,2,0,4,0,2,15,13,3,2,0,0,4,22
State,Goa,0,0,0,0,0,0,0,0,0,0,0,0,6,6
State,Gujarat,3,0,4,2,0,49,58,22,9,344,26,2,22,425
State,Haryana,0,0,2,1,1,28,32,0,1,40,2,0,18,61
State,Himachal Pradesh,0,0,0,0,0,1,1,0,0,1,0,0,3,4
State,Jammu & Kashmir,79,1,0,7,0,9,96,149,0,38,30,0,2,219
State,Jharkhand,30,0,0,3,0,1,34,38,0,3,0,0,0,41
State,Karnataka,0,0,0,5,0,14,19,0,3,241,5,0,49,298
State,Kerala,0,0,0,0,0,0,0,0,0,473,113,0,28,614
State,Madhya Pradesh,0,0,0,9,0,30,39,0,21,49,177,0,40,287
State,Maharashtra,2,1,0,6,0,51,60,3,24,409,37,0,98,571
State,Manipur,3,0,0,0,0,0,3,5,0,0,0,0,0,5
State,Meghalaya,7,0,0,1,0,1,9,1,0,0,0,0,0,1
State,Mizoram,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Nagaland,3,0,0,0,0,0,3,0,0,0,0,0,3,3
State,Orissa,1,1,0,0,0,5,7,1,2,18,36,0,6,63
State,Punjab,0,0,0,9,0,64,73,0,0,0,15,0,17,32
State,Rajasthan,0,1,1,1,0,30,33,0,2,164,147,0,35,348
State,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Tamil Nadu,0,0,10,0,0,33,43,0,10,45,41,0,90,186
State,Tripura,40,0,0,0,0,2,42,24,0,0,0,0,0,24
State,Uttar Pradesh,1,5,6,19,0,49,80,3,9,31,47,0,34,124
State,Uttaranchal,0,0,0,0,0,0,0,0,0,0,0,0,8,8
State,West Bengal,8,0,0,0,1,18,27,27,15,113,45,3,82,285
State,Total (States),209,13,24,72,4,442,764,345,108,2052,747,22,598,3872
Union Territory,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Chandigarh,0,0,0,0,0,2,2,0,0,8,0,0,8,16
Union Territory,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Delhi,0,0,1,1,0,12,14,0,6,48,23,0,22,99
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Puducherry,0,0,0,0,0,1,1,0,0,0,1,0,17,18
Union Territory,Total (UTs),0,0,1,1,0,15,17,0,6,56,24,0,47,133
Total (All-India),Total (All-India),209,13,25,73,4,457,781,345,114,2108,771,22,645,4005
