Category,States/ UTs,Total No. of Persons under Trial Including those from Previous Year,No of Persons whose - Cases Compounded or Withdrawn,No of Persons whose - Trial Completed,No of Persons whose - Trial Remained Pending,No of Persons Convicted,Pendency Percentage,Percentage of Pendency to All India Total
State,Andhra Pradesh,469826,37477,137286,295063,46207,62.8,2.8
State,Arunachal Pradesh,16459,105,503,15851,321,96.3,0.1
State,Assam,155595,3040,27064,125491,4680,80.7,1.2
State,Bihar,1306285,6953,94399,1204933,16336,92.2,11.2
State,Chhattisgarh,289334,11582,92560,185192,49871,64,1.7
State,Goa,15089,280,3304,11505,607,76.2,0.1
State,Gujarat,1180541,12153,69578,1098810,10415,93.1,10.2
State,Haryana,281786,1175,53905,226706,15849,80.5,2.1
State,Himachal Pradesh,94806,2754,10776,81276,2032,85.7,0.8
State,Jammu & Kashmir,135604,4692,16230,114682,4280,84.6,1.1
State,Jharkhand,180416,8073,42590,129753,5503,71.9,1.2
State,Karnataka,488181,27128,138960,322093,22014,66,3
State,Kerala,606047,20542,93401,492104,33418,81.2,4.6
State,Madhya Pradesh,1282025,84082,176160,1021783,72438,79.7,9.5
State,Maharashtra,2195767,32394,165284,1998089,15453,91,18.6
State,Manipur,3106,0,227,2879,111,92.7,0
State,Meghalaya,10273,27,662,9584,311,93.3,0.1
State,Mizoram,4310,22,2167,2121,2079,49.2,0
State,Nagaland,3994,37,402,3555,345,89,0
State,Orissa,474675,764,69369,404542,7744,85.2,3.8
State,Punjab,104562,1332,28247,74983,10963,71.7,0.7
State,Rajasthan,1015746,48024,167645,800077,90459,78.8,7.5
State,Sikkim,281,56,68,157,41,55.9,0
State,Tamil Nadu,542358,3195,212745,326418,113976,60.2,3
State,Tripura,6585,80,3015,3490,406,53,0
State,Uttar Pradesh,1245814,25148,232281,988385,122335,79.3,9.2
State,Uttaranchal,43430,1142,7616,34672,5346,79.8,0.3
State,West Bengal,623357,619,59176,563562,8599,90.4,5.3
State,Total (States),12776252,332876,1905620,10537756,662139,82.5,98.2
Union Territory,A & N Islands,4711,14,272,4425,112,93.9,0
Union Territory,Chandigarh,11152,127,2163,8862,1000,79.5,0.1
Union Territory,D & N Haveli,3153,0,581,2572,127,81.6,0
Union Territory,Daman & Diu,1271,64,208,999,11,78.6,0
Union Territory,Delhi,207660,0,39427,168233,14139,81,1.6
Union Territory,Lakshadweep,47,0,32,15,7,31.9,0
Union Territory,Puducherry,9645,244,5503,3898,3849,40.4,0
Union Territory,Total (UTs),237639,449,48186,189004,19245,79.5,1.8
Total (All-India),Total (All-India),13013891,333325,1953806,10726760,681384,82.4,100
