Category,States/ UTs,Number of Police Stations (Sanctioned Strength) - below 10,Number of Police Stations (Sanctioned Strength) - 11 - 20,Number of Police Stations (Sanctioned Strength) - 21 - 30,Number of Police Stations (Sanctioned Strength) - 31 - 40,Number of Police Stations (Sanctioned Strength) - 41 - 50,Number of Police Stations (Sanctioned Strength) - 51 and above
State,Andhra Pradesh,52,841,291,163,87,133
State,Arunachal Pradesh,0,58,11,0,0,0
State,Assam,35,69,42,40,20,21
State,Bihar,235,399,70,19,14,20
State,Chhattisgarh,13,103,186,34,6,60
State,Goa,0,0,1,1,10,12
State,Gujarat,1,8,62,77,97,221
State,Haryana,0,42,56,45,20,41
State,Himachal Pradesh,0,45,33,2,2,2
State,Jammu & Kashmir,0,2,14,27,32,95
State,Jharkhand,117,146,11,5,8,0
State,Karnataka,5,9,110,303,181,188
State,Kerala,1,4,10,318,65,42
State,Madhya Pradesh,55,335,199,106,81,138
State,Maharashtra,1,77,140,149,113,455
State,Manipur,1,37,9,4,2,2
State,Meghalaya,0,4,9,12,2,0
State,Mizoram,2,16,12,2,0,2
State,Nagaland,1,6,4,7,7,14
State,Orissa,120,254,43,13,20,9
State,Punjab,6,15,33,45,40,117
State,Rajasthan,0,309,235,104,30,31
State,Sikkim,0,8,18,0,0,0
State,Tamil Nadu,89,419,351,156,250,200
State,Tripura,0,5,23,17,2,4
State,Uttar Pradesh,55,243,433,282,187,243
State,Uttaranchal,2,30,22,13,5,22
State,West Bengal,14,147,141,64,16,76
State,Total (States),805,3631,2569,2008,1297,2148
Union Territory,A & N Islands,5,9,0,0,0,1
Union Territory,Chandigarh,0,0,0,0,0,11
Union Territory,D & N Haveli,0,0,0,1,0,1
Union Territory,Daman & Diu,0,0,0,0,0,2
Union Territory,Delhi,0,0,0,0,2,121
Union Territory,Lakshadweep,0,1,4,3,0,1
Union Territory,Puducherry,8,12,12,3,1,1
Union Territory,Total (UTs),13,22,16,7,3,138
Total (All-India),Total (All-India),818,3653,2585,2015,1300,2286
