States/ UTs,District,Murder,Attempt to Commit Murder,C.H. not Amounting to Murder,Rape - Total,Rape - Custodial,Rape - Other,Kidnapping & Abduction - Total,Kidnapping & Abduction - of Women & Girls,Kidnapping & Abduction - Others,Dacoity,Preparation & Assembly for Dacoity,Robbery,Burglary,Theft - Total,Theft - Auto theft,Theft - Other theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Arson,Hurt,Dowry Death,Molestation,Sexual Harassment,Cruelty by Husband and Relatives,Importation of Girls,Causing Death by Negligence,Other IPC Crimes,Total Cog. Crimes Under IPC
Andhra Pradesh,Adilabad,100,79,17,37,0,37,42,32,10,7,0,40,193,226,32,194,80,25,135,0,38,1181,20,174,63,240,0,225,1753,4675
Andhra Pradesh,Anantapur,166,113,7,28,0,28,65,49,16,13,0,21,196,356,59,297,135,37,109,5,57,1752,9,179,37,151,0,312,719,4467
Andhra Pradesh,Chittoor,105,66,5,28,0,28,67,39,28,4,0,14,208,832,200,632,71,57,172,1,43,999,16,126,40,188,0,476,2788,6306
Andhra Pradesh,Cuddapah,91,0,9,16,0,16,27,22,5,1,0,11,84,205,47,158,92,14,52,3,20,788,21,100,36,63,0,275,1416,3324
Andhra Pradesh,East Godavari,97,102,2,25,0,25,55,5,50,3,0,12,468,1206,213,993,100,89,262,13,40,3076,11,108,73,276,0,473,1440,7931
Andhra Pradesh,Guntakal Rly.,0,0,0,1,0,1,0,0,0,0,0,2,0,148,0,148,0,0,0,5,0,5,0,3,0,0,0,4,142,310
Andhra Pradesh,Guntur,143,77,1,46,0,46,87,71,16,12,0,53,357,1182,150,1032,144,65,346,10,38,1760,13,186,85,434,0,404,2440,7883
Andhra Pradesh,Hyderabad City,117,109,3,57,0,57,115,61,54,11,2,68,1348,3777,1224,2553,128,127,1734,21,8,3714,24,138,123,590,0,440,1759,14413
Andhra Pradesh,Karimnagar,160,88,6,99,0,99,62,42,20,18,0,60,216,404,94,310,191,44,357,2,52,2671,45,357,125,209,0,416,1504,7086
Andhra Pradesh,Khammam,106,55,1,48,0,48,70,55,15,5,0,11,164,431,79,352,107,76,219,1,52,2204,13,191,375,324,0,276,917,5646
Andhra Pradesh,Krishna,92,66,3,41,0,41,26,21,5,1,0,4,242,543,32,511,49,19,146,3,42,1940,14,211,110,374,0,278,1114,5318
Andhra Pradesh,Kurnool,124,98,1,45,0,45,54,24,30,8,0,17,134,308,16,292,76,12,185,8,16,1458,11,166,115,167,0,520,1161,4684
Andhra Pradesh,Mahaboobnagar,171,84,31,85,0,85,57,36,21,5,0,39,241,439,41,398,140,24,91,6,74,906,31,202,42,225,0,353,2108,5354
Andhra Pradesh,Medak,103,50,20,68,0,68,46,38,8,18,0,35,272,356,39,317,64,22,105,2,57,1612,25,103,28,251,0,417,554,4208
Andhra Pradesh,Nalgonda,109,53,8,41,0,41,46,37,9,5,0,18,167,321,45,276,87,26,184,6,78,1139,37,232,67,210,0,490,1966,5290
Andhra Pradesh,Nellore,84,93,4,46,0,46,67,54,13,12,0,23,209,542,68,474,46,39,157,4,58,1223,10,206,226,289,0,290,1612,5240
Andhra Pradesh,Nizamabad,93,42,12,35,0,35,29,21,8,13,0,30,179,338,66,272,46,33,138,1,39,1934,17,71,24,278,0,274,791,4417
Andhra Pradesh,Prakasham,67,79,2,21,0,21,32,25,7,12,0,13,132,259,45,214,124,27,86,4,48,1153,5,156,18,142,0,248,1008,3636
Andhra Pradesh,Ranga Reddy,214,107,12,49,0,49,104,70,34,22,1,62,1009,1450,452,998,61,88,597,4,81,3224,51,143,93,508,0,774,1948,10602
Andhra Pradesh,Secunderabad Rly.,12,0,1,0,0,0,0,0,0,0,0,3,3,350,0,350,0,2,2,23,0,8,0,0,0,0,0,0,40,444
Andhra Pradesh,Srikakulam,27,9,2,14,0,14,10,9,1,2,0,2,100,235,13,222,28,24,58,2,28,641,4,60,16,114,0,171,939,2486
Andhra Pradesh,Vijayawada,39,49,3,31,0,31,78,43,35,3,0,56,723,2808,278,2530,5,34,784,6,42,1950,9,119,171,869,0,247,1057,9083
Andhra Pradesh,Vijayawada Rly.,3,0,0,1,0,1,1,0,1,0,0,1,0,328,2,326,0,0,5,7,0,10,0,2,0,2,0,3,47,410
Andhra Pradesh,Visakha Rural,54,25,0,14,0,14,7,0,7,4,0,4,97,195,0,195,36,24,40,0,21,717,2,65,41,85,0,237,1001,2669
Andhra Pradesh,Visakhapatnam,20,15,1,8,0,8,15,10,5,1,0,7,250,573,173,400,13,27,240,5,6,375,3,28,18,235,0,179,819,2838
Andhra Pradesh,Vizianagaram,28,22,1,12,0,12,9,0,9,3,0,3,105,171,0,171,9,13,51,0,6,471,1,38,25,190,0,147,1127,2432
Andhra Pradesh,Warangal,131,72,11,52,0,52,72,58,14,7,0,20,245,413,56,357,240,41,175,5,0,1812,45,212,0,157,0,317,2370,6397
Andhra Pradesh,West Godavari,69,91,2,54,0,54,59,32,27,7,0,19,286,826,120,706,68,61,303,8,47,1116,12,223,73,447,0,445,1845,6061
Andhra Pradesh,Total,2525,1644,165,1002,0,1002,1302,854,448,197,3,648,7628,19222,3544,15678,2140,1050,6733,155,991,39839,449,3799,2024,7018,0,8691,36385,143610
