Category,States/ UTs,Murder,Attempt to Commit Murder,C.H. not Amounting to Murder,Rape - Total,Rape - Custodial,Rape - Other,Kidnapping & Abduction - Total,Kidnapping & Abduction - of Women,Kidnapping & Abduction - of Others,Dacoity,Preparation and Assembly for Dacoity,Robbery,Burglary,Theft - Total,Theft - Auto Theft,Theft - Other Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Arson,Hurt,Dowry Deaths,Molestation,Sexual Harassment,Cruelty by Husband and Relatives,Importation of Girls,Causing Death by Negligence,Other IPC Crimes,Total Cognizable Crimes under IPC
State,Jharkhand,21.5,6.9,27.5,23.2,NA,23.2,23.3,18.4,29.1,11.3,24.1,19.3,14.2,21.6,33,21,26.8,16.9,17.3,10.5,16.7,23,33.6,12.9,20,19.1,23.3,13.3,23.6,21
State,Karnataka,19.8,6.9,0,15.6,NA,15.6,3.4,4.1,2.9,7.1,0,11,11.6,6.8,6.6,6.8,2.4,13.9,10.4,10.7,8.8,3.1,9,6.9,9.1,4.9,NA,4.3,46.2,29
State,Kerala,45.3,19.4,11.4,17.1,NA,17.1,7.1,9.1,3.1,16.7,47.6,25.5,31.8,30.5,31,30.4,8.3,13.5,17.2,13.3,8.4,9.4,22.2,12,31.8,8.2,NA,NA,65.9,50.2
State,Madhya Pradesh,38.2,34.1,41.4,23,NA,23,20.8,21.4,19.6,32.1,21.5,19.8,29,33.4,37.2,33.1,31.1,34.9,23.3,50,27.2,40.4,34.2,37.2,44.6,33,NA,40.9,59.7,48.3
State,Maharashtra,23.9,16.8,15.7,13.9,0,13.9,5.5,5.2,6.5,10.5,12,9.4,16,24.7,17,26,8.8,10,11.9,14.6,3.8,6.7,11.5,9.1,8.3,4.3,0,7.9,13.7,12.6
State,Manipur,85.7,100,NA,NA,NA,NA,100,100,NA,100,NA,NA,40,31.3,NA,31.3,0,50,0,0,NA,50,NA,NA,NA,NA,NA,NA,92,79.1
State,Meghalaya,21.4,20,50,0,NA,0,0,0,0,47.1,0,64,62.5,67.3,NA,67.3,50,8.3,0,20,0,48.8,NA,55.6,NA,NA,NA,60,48.9,49.3
State,Mizoram,66.7,80,100,68.8,NA,68.8,100,100,100,66.7,NA,100,95.7,98.8,100,98.7,NA,87.5,73.9,83.3,81.8,71.4,NA,85.7,NA,100,NA,100,97.4,94.9
State,Nagaland,75,85.7,NA,100,NA,100,100,NA,100,100,100,100,94.9,98.4,100,98.3,100,85.7,80,NA,100,70,NA,100,NA,NA,NA,100,91.5,92.7
State,Orissa,28.7,19.3,16.2,22.2,NA,22.2,12.8,12.4,40,19.5,5.9,11.7,15.1,11.3,11.3,11.3,11.7,10.2,7.8,20,17.4,25.3,18.8,11.3,13.9,14.6,NA,20.7,11.9,14.7
State,Punjab,48.7,36.3,42.4,29.1,NA,29.1,32.7,32.7,32.6,6.3,28.3,35.3,51.8,44.9,51.2,41.8,NA,28.9,25.4,23.7,38.6,24.1,50.7,41.3,78.1,39.1,NA,38.7,49.5,40.6
State,Rajasthan,45.7,49.8,39.4,27.8,NA,27.8,27.5,23.8,38.3,47.9,47.1,35.3,44.9,47.6,47,47.8,60.5,39.1,34.4,44.4,38.4,61.4,42.4,55.5,65.4,39.2,0,56.2,51.2,52.2
State,Sikkim,84.6,62.5,66.7,50,NA,50,62.5,0,83.3,0,NA,33.3,94,94.6,77.8,96.9,95.8,100,88.6,100,100,81.4,NA,100,75,NA,NA,75,96.2,89.3
State,Tamil Nadu,40,24.3,52.9,27.2,NA,27.2,15.6,15.4,16.4,29.1,0,47.9,63.8,70.3,71,69.9,34.9,22.5,33.7,29.6,10.2,57.4,35.7,49.1,91.6,31.9,25,81.1,59,59.1
State,Tripura,25.9,20,NA,34.8,NA,34.8,16.9,9.1,17.7,27.8,NA,21.2,7.1,17.9,NA,17.9,14,33.3,10,NA,6.7,18.6,43.8,9.8,NA,11,NA,NA,17.1,18.3
State,Uttar Pradesh,48.8,44.6,47,48,NA,48,47.9,48.7,46.1,40.2,43.5,51.6,48.8,53.9,56.9,53.4,50.4,48.9,48.7,55.1,48.3,57.2,49.3,62.1,65.8,51.3,NA,57,59.4,54.5
State,Uttaranchal,42.8,43.3,60.5,47.8,NA,47.8,62.2,62.7,60,66.7,NA,54.4,67.5,78.8,76.4,79.4,69.7,68.6,73.9,100,64.7,68.9,61.2,63.8,75.8,66.7,100,87.4,73.8,68.9
State,West Bengal,19.4,13.8,13.6,14.4,NA,14.4,19.5,16.1,30.2,26.7,27.4,18.8,16.5,17.7,28,17,10.7,19.9,25.6,28,7.9,17.1,12.2,16.4,4.5,16.6,NA,46.2,20,18.5
State,Total (States),35.8,31.1,33.8,26.6,0,26.6,25.2,24.3,27.3,25.7,25.9,28.8,35.6,39.2,48.2,37.4,28.3,25.3,26.3,29.9,20.7,34.5,34,32.1,68.4,21,21.4,45.9,48.2,40.5
Union Territory,A & N Islands,50,50,100,33.3,NA,33.3,0,0,NA,NA,NA,100,50,20,NA,20,0,75,33.3,0,0,29.2,NA,30,NA,0,NA,NA,65.7,50.3
Union Territory,Chandigarh,77.8,68.8,50,16.7,NA,16.7,28.6,25,40,NA,NA,14.3,84.8,68.6,50,72.9,4.3,0,34.9,0,0,16.7,50,34.8,72.2,12.5,NA,0,61,55.4
Union Territory,D & N Haveli,50,20,NA,14.3,NA,14.3,0,0,0,NA,NA,0,42.9,45,100,38.9,7.7,33.3,50,NA,0,37.5,NA,0,NA,0,NA,NA,27.7,27.6
Union Territory,Daman & Diu,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,50,18.2,0,22.2,0,0,0,NA,NA,0,NA,NA,NA,0,NA,NA,7.8,9.1
Union Territory,Delhi,28,23.2,33.3,22.2,NA,22.2,26.8,32.9,13.9,16.5,20,21,54.3,21.9,25.8,21.1,18.6,32.9,55.5,63.6,33.3,25.1,44.4,40.2,65.4,15.5,NA,21.6,49.6,37.9
Union Territory,Lakshadweep,100,NA,NA,100,NA,100,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,33.3,NA,NA,NA,NA,NA,NA,50,40
Union Territory,Puducherry,50,20,40,66.7,NA,66.7,16.7,20,0,0,NA,0,96.5,96.2,89.7,97.3,91.1,NA,100,66.7,0,88.1,0,43.8,100,0,NA,97.5,99,95
Union Territory,Total (UTs),30.2,27,38.9,22.4,0,22.4,25.2,29.4,15.6,16.5,20,20.8,65.2,24.2,27.4,23.6,61.5,30.9,54.7,52.9,9.1,46.4,42.4,38.6,72.9,13.3,0,72.3,55.4,43.8
Total (All-India),Total (All-India),35.7,31,33.9,26.4,0,26.4,25.2,24.3,27.2,25.2,25.8,28.5,36,37.4,45.6,35.7,28.6,25.4,28.7,30.7,20.7,34.7,34,32.1,68.4,21,21.4,46.1,48.5,40.6
