Category,States/UTs/ Cities,Population (In Lakhs)@,Murder - I,Murder - R,Murder - P,Infanticide - I,Infanticide - R,Infanticide - P,Other Murder - I,Other Murder - R,Other Murder - P,Rape - I,Rape - R,Rape - P,Kidnapping & Abduction - I,Kidnapping & Abduction - R,Kidnapping & Abduction - P,Foeticide - I,Foeticide - R,Foeticide - P,Abetment of Suicide - I,Abetment of Suicide - R,Abetment of Suicide - P,Exposure and Abandonment - I,Exposure and Abandonment - R,Exposure and Abandonment - P,Procuration of Minor Girls - I,Procuration of Minor Girls - R,Procuration of Minor Girls - P,Buying of Girls for Prostitution - I,Buying of Girls for Prostitution - R,Buying of Girls for Prostitution - P,Selling of Girls for Prostitution - I,Selling of Girls for Prostitution - R,Selling of Girls for Prostitution - P,Child Marriage Restraint Act - I,Child Marriage Restraint Act - R,Child Marriage Restraint Act - P,Other Crimes - I,Other Crimes - R,Other Crimes - P,Total - I,Total - R,Total - P
State,Andhra Pradesh,769.15,43,0.1,3.6,1,0,0.9,42,0.1,3.9,137,0.2,5.4,86,0.1,3.7,0,0,0,13,0,54.2,5,0,0.8,9,0,7.3,1,0,11.1,0,0,0,6,0,5.3,33,0,1,333,0.4,3.2
State,Arunachal Pradesh,11.15,0,0,0,0,0,0,0,0,0,3,0.3,0.1,3,0.3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.5,0.1
State,Assam,272.47,2,0,0.2,1,0,0.9,1,0,0.1,3,0,0.1,1,0,0,0,0,0,0,0,0,0,0,0,6,0,4.8,0,0,0,0,0,0,1,0,0.9,1,0,0,14,0.1,0.1
State,Bihar,851.71,10,0,0.8,0,0,0,10,0,0.9,3,0,0.1,26,0,1.1,1,0,1.2,0,0,0,1,0,0.2,9,0,7.3,0,0,0,0,0,0,1,0,0.9,6,0,0.2,57,0.1,0.5
State,Chhattisgarh,213.03,28,0.1,2.4,6,0,5.2,22,0.1,2.1,182,0.9,7.2,45,0.2,1.9,0,0,0,1,0,4.2,17,0.1,2.6,0,0,0,0,0,0,0,0,0,26,0.1,23,434,2,12.7,733,3.4,7
State,Goa,13.88,2,0.1,0.2,0,0,0,2,0.1,0.2,7,0.5,0.3,4,0.3,0.2,0,0,0,0,0,0,5,0.4,0.8,2,0.1,1.6,0,0,0,0,0,0,0,0,0,11,0.8,0.3,31,2.2,0.3
State,Gujarat,517.89,68,0.1,5.7,4,0,3.5,64,0.1,6,67,0.1,2.6,273,0.5,11.8,9,0,10.7,1,0,4.2,76,0.1,11.8,0,0,0,0,0,0,0,0,0,38,0.1,33.6,178,0.3,5.2,710,1.4,6.8
State,Haryana,216.44,22,0.1,1.9,6,0,5.2,16,0.1,1.5,84,0.4,3.3,54,0.2,2.3,6,0,7.1,0,0,0,15,0.1,2.3,0,0,0,0,0,0,1,0,20,1,0,0.9,52,0.2,1.5,235,1.1,2.2
State,Himachal Pradesh,61.78,5,0.1,0.4,0,0,0,5,0.1,0.5,26,0.4,1,24,0.4,1,6,0.1,7.1,0,0,0,8,0.1,1.2,3,0,2.4,0,0,0,0,0,0,3,0,2.7,16,0.3,0.5,91,1.5,0.9
State,Jammu & Kashmir,104.4,2,0,0.2,1,0,0.9,1,0,0.1,7,0.1,0.3,23,0.2,1,2,0,2.4,0,0,0,4,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0.1,42,0.4,0.4
