Category,States/ UTs,Disposal of Cases under - Murder - CF,Disposal of Cases under - Murder - TR,Disposal of Cases under - Murder - TL,Disposal of Cases under - Attempt to Commit Murder - CF,Disposal of Cases under - Attempt to Commit Murder - TR,Disposal of Cases under - Attempt to Commit Murder - TL,Disposal of Cases under - C.H. not Amounting to Murder - CF,Disposal of Cases under - C.H. not Amounting to Murder - TR,Disposal of Cases under - C.H. not Amounting to Murder - TL,Disposal of Cases under - Rape - CF,Disposal of Cases under - Rape - TR,Disposal of Cases under - Rape - TL,Disposal of Cases under - Kidnapping & Abduction - CF,Disposal of Cases under - Kidnapping & Abduction - TR,Disposal of Cases under - Kidnapping & Abduction - TL,Disposal of Cases under - Women & Girls - CF,Disposal of Cases under - Women & Girls - TR,Disposal of Cases under - Women & Girls - TL,Disposal of Cases under - Others - CF,Disposal of Cases under - Others - TR,Disposal of Cases under - Others - TL,Disposal of Cases under - Dacoity - CF,Disposal of Cases under - Dacoity - TR,Disposal of Cases under - Dacoity - TL,Disposal of Cases under - Preparation & Assembly for Dacoity - CF,Disposal of Cases under - Preparation & Assembly for Dacoity - TR,Disposal of Cases under - Preparation & Assembly for Dacoity - TL,Disposal of Cases under - Robbery - CF,Disposal of Cases under - Robbery - TR,Disposal of Cases under - Robbery - TL,Disposal of Cases under - Riots - CF,Disposal of Cases under - Riots - TR,Disposal of Cases under - Riots - TL,Disposal of Cases under - Arson - CF,Disposal of Cases under - Arson - TR,Disposal of Cases under - Arson - TL,Disposal of Cases under - Dowry Deaths - CF,Disposal of Cases under - Dowry Deaths - TR,Disposal of Cases under - Dowry Deaths - TL,Disposal of Cases under - Total - CF,Disposal of Cases under - Total - TR,Disposal of Cases under - Total - TL
State,Andhra Pradesh,2,2643,2645,0,1401,1401,0,112,112,0,770,770,0,616,616,0,403,403,0,213,213,0,397,397,0,13,13,0,589,589,0,2061,2061,0,499,499,0,421,421,2,9522,9524
State,Arunachal Pradesh,0,5,5,0,3,3,0,1,1,0,3,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,10,10,0,1,1,0,0,0,0,0,0,0,24,24
State,Assam,20,604,624,3,148,151,0,30,30,5,341,346,22,349,371,21,280,301,1,69,70,10,149,159,0,8,8,5,186,191,25,1341,1366,5,125,130,0,16,16,95,3297,3392
State,Bihar,4,1350,1354,0,1520,1520,0,250,250,3,496,499,3,958,961,2,321,323,1,637,638,1,856,857,0,111,111,0,740,740,2,4591,4593,0,148,148,0,325,325,13,11345,11358
State,Chhattisgarh,688,442,1130,502,363,865,32,7,39,586,1080,1666,49,153,202,39,137,176,10,16,26,23,25,48,8,10,18,83,232,315,406,712,1118,30,55,85,41,30,71,2448,3109,5557
State,Goa,0,27,27,0,23,23,0,5,5,0,14,14,0,7,7,0,5,5,0,2,2,0,0,0,0,0,0,0,22,22,0,123,123,0,18,18,0,0,0,0,239,239
State,Gujarat,18,723,741,3,399,402,0,6,6,3,220,223,0,336,336,0,284,284,0,52,52,5,89,94,0,5,5,3,247,250,8,818,826,0,207,207,0,42,42,40,3092,3132
State,Haryana,0,694,694,3,391,394,0,101,101,0,380,380,2,311,313,0,238,238,2,73,75,0,76,76,0,128,128,0,276,276,4,509,513,0,168,168,3,266,269,12,3300,3312
State,Himachal Pradesh,1,67,68,0,52,52,1,4,5,4,104,108,1,40,41,1,34,35,0,6,6,0,2,2,0,0,0,0,8,8,7,273,280,7,48,55,0,3,3,21,601,622
State,Jammu & Kashmir,0,143,143,0,321,321,0,8,8,0,136,136,0,269,269,0,260,260,0,9,9,0,4,4,0,0,0,0,32,32,0,353,353,0,35,35,0,5,5,0,1306,1306
State,Jharkhand,11,1406,1417,0,1754,1754,1,90,91,7,563,570,21,237,258,19,122,141,2,115,117,34,347,381,0,29,29,4,219,223,0,1689,1689,0,102,102,8,224,232,86,6660,6746
State,Karnataka,0,1166,1166,0,1124,1124,0,31,31,0,225,225,0,261,261,0,122,122,0,139,139,0,113,113,0,13,13,0,528,528,0,4532,4532,0,137,137,0,144,144,0,8274,8274
State,Kerala,0,243,243,0,155,155,0,35,35,0,170,170,0,98,98,0,66,66,0,32,32,0,24,24,0,21,21,1,140,141,44,3696,3740,0,83,83,0,9,9,45,4674,4719
State,Madhya Pradesh,0,2265,2265,0,2579,2579,0,133,133,0,2385,2385,0,653,653,0,449,449,0,204,204,0,112,112,0,121,121,0,943,943,186,1395,1581,0,696,696,0,594,594,186,11876,12062
State,Maharashtra,0,2177,2177,0,1191,1191,0,83,83,3,1171,1174,2,713,715,2,560,562,0,153,153,0,351,351,0,108,108,1,1055,1056,111,3289,3400,2,684,686,0,313,313,119,11135,11254
State,Manipur,0,7,7,0,4,4,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,14,14
State,Meghalaya,4,10,14,0,10,10,0,2,2,0,2,2,0,7,7,0,3,3,0,4,4,0,17,17,0,1,1,4,21,25,0,8,8,0,4,4,0,0,0,8,82,90
State,Mizoram,2,1,3,1,4,5,0,1,1,10,22,32,1,2,3,1,0,1,0,2,2,2,4,6,0,0,0,1,3,4,0,0,0,4,7,11,0,0,0,21,44,65
State,Nagaland,0,8,8,1,13,14,0,0,0,0,7,7,2,2,4,0,0,0,2,2,4,0,3,3,0,1,1,3,8,11,0,1,1,0,1,1,0,0,0,6,44,50
