Event,No. of Occasions of Police Firing,Civilians Killed,Civilians Injured,Policemen Killed,Policemen Injured
Riot Control,1357,252,622,6,1137
Anti-Dacoity Operations,119,91,43,6,59
Against Extremists and Terrorists,551,175,68,74,112
Against Others,339,166,117,39,216
Total,2366,684,850,125,1524
