Category,States/ UTs/ Cities,Arms Act - 2001,Arms Act - 2002,Arms Act - PVR,Narcotic Drugs & Psychoropic Substances Act - 2001,Narcotic Drugs & Psychoropic Substances Act - 2002,Narcotic Drugs & Psychoropic Substances Act - PVR,Gambling Act - 2001,Gambling Act - 2002,Gambling Act - PVR,Excise Act - 2001,Excise Act - 2002,Excise Act - PVR,Prohibition Act - 2001,Prohibition Act - 2002,Prohibition Act - PVR,Explosive & Explosive Substances Act - 2001,Explosive & Explosive Substances Act - 2002,Explosive & Explosive Substances Act - PVR,Immoral Traffic(P) Act - 2001,Immoral Traffic(P) Act - 2002,Immoral Traffic(P) Act - PVR,Indian Railways Act - 2001,Indian Railways Act - 2002,Indian Railways Act - PVR,Registration of Foreigners Act - 2001,Registration of Foreigners Act - 2002,Registration of Foreigners Act - PVR,Protection of Civil Rights Act (Total) - 2001,Protection of Civil Rights Act (Total) - 2002,Protection of Civil Rights Act (Total) - PVR,PCR Act for SCs - 2001,PCR Act for SCs - 2002,PCR Act for SCs - PVR,PCR Act for STs - 2001,PCR Act for STs - 2002,PCR Act for STs - PVR,Indian Passport Act - 2001,Indian Passport Act - 2002,Indian Passport Act - PVR,Essential Commodities Act - 2001,Essential Commodities Act - 2002,Essential Commodities Act - PVR,Terrorist & Disruptive Activities Act - 2001,Terrorist & Disruptive Activities Act - 2002,Terrorist & Disruptive Activities Act - PVR,Antiquity & Art Treasure Act - 2001,Antiquity & Art Treasure Act - 2002,Antiquity & Art Treasure Act - PVR,Dowry Prohibition Act - 2001,Dowry Prohibition Act - 2002,Dowry Prohibition Act - PVR,Child Marriage Restraint Act - 2001,Child Marriage Restraint Act - 2002,Child Marriage Restraint Act - PVR,Indecent Representation of Women (P) Act - 2001,Indecent Representation of Women (P) Act - 2002,Indecent Representation of Women (P) Act - PVR,Copy Right Act - 2001,Copy Right Act - 2002,Copy Right Act - PVR,Sati Prevention Act - 2001,Sati Prevention Act - 2002,Sati Prevention Act - PVR,SC/ ST(Prevention of Atrocities) Act (Total) - 2001,SC/ ST(Prevention of Atrocities) Act (Total) - 2002,SC/ ST(Prevention of Atrocities) Act (Total) - PVR,SC/ ST (Prev.) of Atrocities Act for SCs - 2001,SC/ ST (Prev.) of Atrocities Act for SCs - 2002,SC/ ST (Prev.) of Atrocities Act for SCs - PVR,SC/ ST (Prev.) of Atrocities Act for STs - 2001,SC/ ST (Prev.) of Atrocities Act for STs - 2002,SC/ ST (Prev.) of Atrocities Act for STs - PVR,Forest Act - 2001,Forest Act - 2002,Forest Act - PVR,Other SLL Crimes - 2001,Other SLL Crimes - 2002,Other SLL Crimes - PVR,Total Cognizable Crimes Under SLL - 2001,Total Cognizable Crimes Under SLL - 2002,Total Cognizable Crimes Under SLL - PVR,Note of - Arms Act - PVR,Note of - Narcotic Drugs & Psychoropic Substances Act - PVR,Note of - Gambling Act - PVR,Note of - Excise Act - PVR,Note of - Prohibition Act - PVR,Note of - Explosive & Explosive Substances Act - PVR,Note of - Immoral Traffic(P) Act - PVR,Note of - Indian Railways Act - PVR,Note of - Registration of Foreigners Act - PVR,Note of - Protection of Civil Rights Act (Total) - PVR,Note of - PCR Act for SCs - PVR,Note of - Indian Passport Act - PVR,Note of - Essential Commodities Act - PVR,Note of - Terrorist & Disruptive Activities Act - PVR,Note of - Antiquity & Art Treasure Act - PVR,Note of - Dowry Prohibition Act - PVR,Note of - Child Marriage Restraint Act - PVR,Note of - Indecent Representation of Women(P)Act - PVR,Note of - Copy Right Act - PVR,Note of - SC/ ST(Prevention of Atrocities)Act (Total) - PVR,Note of - SC/ ST (Prev.) of Atrocities Act for SCs - PVR,Note of - SC/ ST (Prev.) of Atrocities Act for STs - PVR,Note of - Forest Act - PVR,Note of - Other SLL Crimes - PVR
City,Kolkata,209,213,1.9,130,118,-9.2,161,306,90.1,715,409,-42.8,0,0,0,41,25,-39,25,28,12,17,8,-52.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,34,-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,91,51.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1181057,1145725,-3,1182496,1146957,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
City,Lucknow,571,785,37.5,118,258,118.6,127,148,16.5,159,195,22.6,0,0,0,31,27,-12.9,1,3,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,0,0,0,0,1,NA,0,0,0,0,0,0,0,0,0,3,0,-100,2,36,1700,0,0,0,75,44,-41.3,75,44,-41.3,0,0,0,7,32,357.1,8599,12014,39.7,9693,13544,39.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
City,Ludhiana,200,236,18,81,143,76.5,272,303,11.4,262,463,76.7,0,0,0,1,1,0,3,2,-33.3,0,0,0,0,0,0,0,1,NA,0,1,NA,0,0,0,0,0,0,25,14,-44,0,0,0,0,0,0,0,0,0,0,0,0,1,8,700,19,30,57.9,0,0,0,5,2,-60,5,2,-60,0,0,0,0,0,0,32,403,1159.4,901,1606,78.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
City,Madurai,2,0,-100,334,122,-63.5,388,339,-12.6,0,0,0,4027,1491,-63,1,3,200,171,201,17.5,0,0,0,0,1,NA,0,0,0,0,0,0,0,0,0,2,0,-100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,35,25,0,0,0,16,11,-31.3,16,11,-31.3,0,0,0,0,0,0,12387,12870,3.9,17357,15074,-13.2,NA,NA,NA,NA,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
City,Meerut,981,804,-18,240,171,-28.8,343,333,-2.9,175,127,-27.4,0,0,0,4,9,125,4,4,0,0,0,0,1,0,-100,0,0,0,0,0,0,0,0,0,3,0,-100,1,0,-100,0,0,0,0,1,NA,0,0,0,0,1,NA,0,0,0,19,23,21.1,0,0,0,0,19,NA,0,19,NA,0,0,0,6,5,-16.7,21097,15024,-28.8,22874,16521,-27.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA,@,NA,NA,@,@,NA,NA,NA
City,Mumbai,323,267,-17.3,123,127,3.3,684,354,-48.2,0,0,0,1800,1755,-2.5,7,6,-14.3,180,138,-23.3,5,5,0,0,7,NA,1,2,100,1,2,100,0,0,0,2,3,50,12,15,25,0,0,0,0,0,0,0,1,NA,0,0,0,0,0,0,190,243,27.9,0,0,0,9,5,-44.4,9,5,-44.4,0,0,0,0,1,NA,3700,2112,-42.9,7036,5041,-28.4,NA,NA,NA,NA,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,@,NA
City,Nagpur,444,395,-11,52,70,34.6,746,1015,36.1,0,0,0,2337,2587,10.7,2,0,-100,7,4,-42.9,1,4,300,0,0,0,2,1,-50,2,1,-50,0,0,0,0,1,NA,56,33,-41.1,0,0,0,0,0,0,3,3,0,0,1,NA,0,0,0,21,26,23.8,0,0,0,4,2,-50,3,2,-33.3,1,0,-100,2,2,0,1180,1048,-11.2,4857,5192,6.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA
City,Nasik,8,7,-12.5,5,6,20,150,152,1.3,0,0,0,968,762,-21.3,0,1,NA,2,2,0,0,1,NA,0,0,0,1,0,-100,1,0,-100,0,0,0,0,0,0,3,8,166.7,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,14,5,-64.3,0,0,0,3,3,0,2,3,50,1,0,-100,0,0,0,475,399,-16,1630,1347,-17.4,NA,NA,NA,NA,NA,@,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
City,Patna,172,205,19.2,2,1,-50,19,24,26.3,58,29,-50,0,0,0,15,36,140,13,3,-76.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,7,3,-57.1,0,0,0,0,0,0,21,23,9.5,0,0,0,0,0,0,4,6,50,0,0,0,7,7,0,6,7,16.7,1,0,-100,1,1,0,128,123,-3.9,447,462,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
City,Pune,14,15,7.1,15,21,40,146,100,-31.5,0,0,0,3066,2825,-7.9,2,0,-100,18,11,-38.9,2,1,-50,16,4,-75,0,0,0,0,0,0,0,0,0,0,0,0,5,13,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,65,-11,0,0,0,4,9,125,4,9,125,0,0,0,0,0,0,3057,2217,-27.5,6418,5281,-17.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
City,Rajkot,0,3,NA,16,16,0,214,298,39.3,0,0,0,1816,2274,25.2,17,1,-94.1,6,7,16.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-100,1,5,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,14.3,0,0,0,20,13,-35,18,11,-38.9,2,2,0,0,0,0,200,221,10.5,2298,2846,23.8,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
City,Surat,38,50,31.6,13,8,-38.5,575,459,-20.2,0,0,0,13442,14391,7.1,1,1,0,45,43,-4.4,0,0,0,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,23,NA,0,0,0,0,0,0,0,0,0,1,0,-100,0,0,0,33,20,-39.4,0,0,0,17,11,-35.3,13,9,-30.8,4,2,-50,0,0,0,7488,7999,6.8,21653,23006,6.2,NA,NA,NA,NA,NA,NA,NA,NA,@,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
City,Vadodara,10,32,220,3,2,-33.3,342,341,-0.3,0,0,0,6181,6440,4.2,3,15,400,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NA,16,31,93.8,0,0,0,7,2,-71.4,6,2,-66.7,1,0,-100,0,0,0,1219,1041,-14.6,7782,7907,1.6,NA,NA,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA
City,Varanasi,517,578,11.8,598,606,1.3,92,72,-21.7,201,147,-26.9,0,0,0,31,29,-6.5,0,2,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,125,0,0,0,0,0,0,3,2,-33.3,0,0,0,25,27,8,25,27,8,0,0,0,17,15,-11.8,9019,16617,84.2,10507,18104,72.3,NA,NA,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
City,Vijayawada,4,3,-25,17,7,-58.8,2356,2307,-2.1,263,289,9.9,42,46,9.5,13,11,-15.4,70,87,24.3,0,0,0,0,0,0,18,26,44.4,14,24,71.4,4,2,-50,0,0,0,1,0,-100,0,0,0,0,0,0,2,35,1650,0,0,0,0,0,0,25,30,20,0,0,0,5,9,80,4,7,75,1,2,100,0,0,0,61587,79619,29.3,64403,82469,28.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
City,Vishakhapatnam,5,0,-100,6,0,-100,1313,1015,-22.7,23,25,8.7,0,1,NA,5,1,-80,26,27,3.8,0,0,0,2,0,-100,3,4,33.3,3,4,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,50,0,0,0,0,0,0,2,4,100,0,0,0,16,7,-56.3,14,5,-64.3,2,2,0,0,0,0,155601,2950,-98.1,157004,4037,-97.4,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Total (Cities),Total (Cities),11711,12811,9.4,4275,4521,5.8,19241,23753,23.4,15315,16329,6.6,42275,40907,-3.2,713,808,13.3,3633,2015,-44.5,40,23,-42.5,52,55,5.8,39,46,17.9,35,44,25.7,4,2,-50,158,127,-19.6,691,257,-62.8,0,2,0,9,5,-44.4,329,432,31.3,4,5,25,449,561,24.9,1062,1489,40.2,0,0,0,878,986,12.3,607,902,48.6,271,84,-69,176,144,-18.2,1662709,1520413,-8.6,1763759,1625689,-7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
