Category,States/ UTs/ Cities,Arms Act - 2001,Arms Act - 2002,Arms Act - PVR,Narcotic Drugs & Psychoropic Substances Act - 2001,Narcotic Drugs & Psychoropic Substances Act - 2002,Narcotic Drugs & Psychoropic Substances Act - PVR,Gambling Act - 2001,Gambling Act - 2002,Gambling Act - PVR,Excise Act - 2001,Excise Act - 2002,Excise Act - PVR,Prohibition Act - 2001,Prohibition Act - 2002,Prohibition Act - PVR,Explosive & Explosive Substances Act - 2001,Explosive & Explosive Substances Act - 2002,Explosive & Explosive Substances Act - PVR,Immoral Traffic(P) Act - 2001,Immoral Traffic(P) Act - 2002,Immoral Traffic(P) Act - PVR,Indian Railways Act - 2001,Indian Railways Act - 2002,Indian Railways Act - PVR,Registration of Foreigners Act - 2001,Registration of Foreigners Act - 2002,Registration of Foreigners Act - PVR,Protection of Civil Rights Act (Total) - 2001,Protection of Civil Rights Act (Total) - 2002,Protection of Civil Rights Act (Total) - PVR,PCR Act for SCs - 2001,PCR Act for SCs - 2002,PCR Act for SCs - PVR,PCR Act for STs - 2001,PCR Act for STs - 2002,PCR Act for STs - PVR,Indian Passport Act - 2001,Indian Passport Act - 2002,Indian Passport Act - PVR,Essential Commodities Act - 2001,Essential Commodities Act - 2002,Essential Commodities Act - PVR,Terrorist & Disruptive Activities Act - 2001,Terrorist & Disruptive Activities Act - 2002,Terrorist & Disruptive Activities Act - PVR,Antiquity & Art Treasure Act - 2001,Antiquity & Art Treasure Act - 2002,Antiquity & Art Treasure Act - PVR,Dowry Prohibition Act - 2001,Dowry Prohibition Act - 2002,Dowry Prohibition Act - PVR,Child Marriage Restraint Act - 2001,Child Marriage Restraint Act - 2002,Child Marriage Restraint Act - PVR,Indecent Representation of Women (P) Act - 2001,Indecent Representation of Women (P) Act - 2002,Indecent Representation of Women (P) Act - PVR,Copy Right Act - 2001,Copy Right Act - 2002,Copy Right Act - PVR,Sati Prevention Act - 2001,Sati Prevention Act - 2002,Sati Prevention Act - PVR,SC/ ST(Prevention of Atrocities) Act (Total) - 2001,SC/ ST(Prevention of Atrocities) Act (Total) - 2002,SC/ ST(Prevention of Atrocities) Act (Total) - PVR,SC/ ST (Prev.) of Atrocities Act for SCs - 2001,SC/ ST (Prev.) of Atrocities Act for SCs - 2002,SC/ ST (Prev.) of Atrocities Act for SCs - PVR,SC/ ST (Prev.) of Atrocities Act for STs - 2001,SC/ ST (Prev.) of Atrocities Act for STs - 2002,SC/ ST (Prev.) of Atrocities Act for STs - PVR,Forest Act - 2001,Forest Act - 2002,Forest Act - PVR,Other SLL Crimes - 2001,Other SLL Crimes - 2002,Other SLL Crimes - PVR,Total Cognizable Crimes Under SLL - 2001,Total Cognizable Crimes Under SLL - 2002,Total Cognizable Crimes Under SLL - PVR,Note of - Arms Act - PVR,Note of - Narcotic Drugs & Psychoropic Substances Act - PVR,Note of - Gambling Act - PVR,Note of - Excise Act - PVR,Note of - Prohibition Act - PVR,Note of - Explosive & Explosive Substances Act - PVR,Note of - Immoral Traffic(P) Act - PVR,Note of - Indian Railways Act - PVR,Note of - Registration of Foreigners Act - PVR,Note of - Protection of Civil Rights Act (Total) - PVR,Note of - PCR Act for SCs - PVR,Note of - Indian Passport Act - PVR,Note of - Essential Commodities Act - PVR,Note of - Terrorist & Disruptive Activities Act - PVR,Note of - Antiquity & Art Treasure Act - PVR,Note of - Dowry Prohibition Act - PVR,Note of - Child Marriage Restraint Act - PVR,Note of - Indecent Representation of Women(P)Act - PVR,Note of - Copy Right Act - PVR,Note of - SC/ ST(Prevention of Atrocities)Act (Total) - PVR,Note of - SC/ ST (Prev.) of Atrocities Act for SCs - PVR,Note of - SC/ ST (Prev.) of Atrocities Act for STs - PVR,Note of - Forest Act - PVR,Note of - Other SLL Crimes - PVR
State,Andhra Pradesh,386,341,-11.7,651,518,-20.4,33865,42750,26.2,2871,2759,-3.9,1685,2229,32.3,488,524,7.4,1332,871,-34.6,43,173,302.3,4,2,-50,338,498,47.3,312,459,47.1,26,39,50,67,68,1.5,42,148,252.4,0,0,0,8,8,0,551,460,-16.5,6,6,0,925,2403,159.8,222,393,77,0,0,0,1079,964,-10.7,950,830,-12.6,129,134,3.9,33,29,-12.1,480931,451210,-6.2,525527,506354,-3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Arunachal Pradesh,10,13,30,17,11,-35.3,0,0,0,0,0,0,0,0,0,2,6,200,0,0,0,0,0,0,1,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,22,-15.4,56,52,-7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Assam,388,289,-25.5,146,166,13.7,103,176,70.9,182,99,-45.6,2,46,2200,75,51,-32,6,24,300,14,12,-14.3,1,0,-100,0,0,0,0,0,0,0,0,0,9,7,-22.2,36,30,-16.7,0,0,0,0,0,0,179,64,-64.2,0,1,NA,10,3,-70,3,11,266.7,0,0,0,0,0,0,0,0,0,0,0,0,14,14,0,1192,1380,15.8,2360,2373,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA
State,Bihar,2861,2571,-10.1,225,292,29.8,174,148,-14.9,1285,1234,-4,2,3,50,378,264,-30.2,29,10,-65.5,45,145,222.2,3,3,0,89,117,31.5,81,113,39.5,8,4,-50,1,2,100,244,206,-15.6,0,0,0,0,53,NA,835,779,-6.7,2,1,-50,3,1,-66.7,8,7,-12.5,0,0,0,523,721,37.9,513,715,39.4,10,6,-40,56,83,48.2,1315,2034,54.7,8078,8674,7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Chhattisgarh,551,704,27.8,299,324,8.4,6934,7754,11.8,8907,8391,-5.8,0,2,NA,207,267,29,12,4656,38700,7325,2495,-65.9,0,3,NA,3,25,733.3,1,22,2100,2,3,50,0,0,0,87,81,-6.9,0,0,0,0,0,0,13,12,-7.7,0,26,NA,0,0,0,47,71,51.1,0,0,0,170,178,4.7,164,77,-53,6,101,1583.3,16,13,-18.8,103241,115341,11.7,127812,140343,9.8,NA,NA,NA,NA,@,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA
State,Goa,34,4,-88.2,29,29,0,1238,1211,-2.2,0,0,0,0,0,0,3,1,-66.7,28,25,-10.7,0,0,0,4,31,675,0,0,0,0,0,0,0,0,0,0,0,0,3,4,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,7,-53.3,0,0,0,1,1,0,1,1,0,0,0,0,0,2,NA,596,677,13.6,1951,1992,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA
State,Gujarat,245,368,50.2,119,107,-10.1,7850,6796,-13.4,0,0,0,112114,112253,0.1,46,75,63,61,57,-6.6,1874,1864,-0.5,20,9,-55,19,7,-63.2,16,6,-62.5,3,1,-66.7,18,4,-77.8,120,131,9.2,0,0,0,0,2,NA,0,1,NA,11,38,245.5,0,4,NA,174,201,15.5,0,0,0,446,429,-3.8,356,332,-6.7,90,97,7.8,1,1,0,37945,34680,-8.6,161063,157027,-2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,@,NA,@,NA,NA,NA,NA,NA,NA
State,Haryana,1275,2029,59.1,1322,1410,6.7,5962,7159,20.1,12223,13485,10.3,0,0,0,32,48,50,21,32,52.4,1052,1019,-3.1,5,8,60,1,0,-100,1,0,-100,0,0,0,1,0,-100,131,102,-22.1,0,0,0,0,0,0,0,3,NA,0,1,NA,0,0,0,105,163,55.2,0,0,0,33,32,-3,33,32,-3,0,0,0,0,0,0,2864,2424,-15.4,25027,27915,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,@,NA,NA,NA,NA,NA,NA,NA
State,Himachal Pradesh,20,25,25,229,312,36.2,314,412,31.2,2949,2921,-0.9,0,0,0,8,10,25,1,2,100,1,3,200,8,8,0,4,10,150,4,10,150,0,0,0,0,1,NA,10,8,-20,0,0,0,0,0,0,9,5,-44.4,0,3,NA,0,0,0,18,40,122.2,0,0,0,43,32,-25.6,41,32,-22,2,0,-100,279,236,-15.4,123,137,11.4,4016,4165,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA
State,Jammu & Kashmir,1259,1061,-15.7,111,118,6.3,72,134,86.1,314,240,-23.6,0,0,0,353,312,-11.6,7,3,-57.1,0,0,0,19,6,-68.4,0,0,0,0,0,0,0,0,0,7,1,-85.7,591,603,2,0,0,0,0,0,0,3,0,-100,0,0,0,0,0,0,4,8,100,0,0,0,0,0,0,0,0,0,0,0,0,6,8,33.3,251,380,51.4,2997,2874,-4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Jharkhand,462,511,10.6,39,48,23.1,75,112,49.3,309,216,-30.1,0,0,0,67,52,-22.4,3,3,0,2,3,50,1,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,44,40,-9.1,0,65,NA,0,0,0,375,199,-46.9,0,0,0,0,0,0,1,5,400,0,0,0,55,93,69.1,35,53,51.4,20,40,100,38,47,23.7,271,335,23.6,1742,1735,-0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Karnataka,101,100,-1,309,282,-8.7,6180,7162,15.9,4308,2513,-41.7,0,0,0,64,70,9.4,1356,1388,2.4,25,22,-12,23,21,-8.7,107,101,-5.6,94,101,7.4,13,0,-100,24,13,-45.8,522,144,-72.4,0,0,0,4,2,-50,361,383,6.1,3,1,-66.7,0,0,0,149,141,-5.4,0,0,0,1187,1233,3.9,983,1099,11.8,204,134,-34.3,382,275,-28,4214,4132,-1.9,19319,17983,-6.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Kerala,387,432,11.6,514,473,-8,2052,1822,-11.2,322,151,-53.1,7042,7162,1.7,377,352,-6.6,132,132,0,11,13,18.2,9,3,-66.7,0,0,0,0,0,0,0,0,0,34,172,405.9,123,89,-27.6,0,0,0,0,0,0,6,3,-50,3,6,100,42,26,-38.1,107,152,42.1,0,0,0,135,264,95.6,121,229,89.3,14,35,150,74,80,8.1,20228,23622,16.8,31598,34954,10.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Madhya Pradesh,7143,8690,21.7,808,717,-11.3,23037,30295,31.5,19511,20087,3,0,0,0,331,377,13.9,15,14,-6.7,14419,12574,-12.8,1,2,100,3,5,66.7,1,5,400,2,0,-100,1,1,0,116,183,57.8,0,0,0,0,0,0,30,24,-20,4,2,-50,0,0,0,107,148,38.3,0,0,0,678,880,29.8,435,570,31,243,310,27.6,122,97,-20.5,85060,130383,53.3,151386,204479,35.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Maharashtra,1521,1346,-11.5,463,495,6.9,23897,24456,2.3,0,0,0,132228,127316,-3.7,61,58,-4.9,233,182,-21.9,18667,17337,-7.1,18,16,-11.1,61,76,24.6,61,76,24.6,0,0,0,28,19,-32.1,955,922,-3.5,0,0,0,0,3,NA,27,23,-14.8,43,18,-58.1,9,4,-55.6,643,760,18.2,0,0,0,187,189,1.1,146,136,-6.8,41,53,29.3,43,48,11.6,23076,19500,-15.5,202160,192768,-4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Manipur,29,18,-37.9,130,159,22.3,8,24,200,0,0,0,0,0,0,15,14,-6.7,4,6,50,0,0,0,0,3,NA,0,0,0,0,0,0,0,0,0,2,4,100,1,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,990,601,-39.3,1179,829,-29.7,NA,NA,NA,NA,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Meghalaya,48,47,-2.1,16,16,0,30,11,-63.3,11,2,-81.8,0,0,0,6,5,-16.7,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,1,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,12,-60,149,98,-34.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Mizoram,28,22,-21.4,43,74,72.1,2,0,-100,0,0,0,228,180,-21.1,7,4,-42.9,2,0,-100,0,0,0,159,106,-33.3,0,0,0,0,0,0,0,0,0,15,30,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,649,780,20.2,1133,1196,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Nagaland,22,22,0,217,259,19.4,0,1,NA,2,17,750,40,31,-22.5,3,7,133.3,1,4,300,2,12,500,14,9,-35.7,0,0,0,0,0,0,0,0,0,2,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,166,-15.3,499,528,5.8,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Orissa,226,239,5.8,116,107,-7.8,755,624,-17.4,8033,8665,7.9,0,3,NA,99,77,-22.2,24,24,0,16,1,-93.8,2,0,-100,16,3,-81.3,12,3,-75,4,0,-100,0,0,0,114,63,-44.7,0,0,0,0,0,0,436,424,-2.8,0,0,0,0,0,0,14,12,-14.3,0,0,0,798,655,-17.9,645,466,-27.8,153,189,23.5,2,1,-50,540,232,-57,11191,11130,-0.5,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Punjab,1011,1082,7,2231,3405,52.6,3391,3862,13.9,14922,16404,9.9,4,12,200,15,24,60,32,38,18.8,144,170,18.1,8,2,-75,1,2,100,1,2,100,0,0,0,62,43,-30.6,92,81,-12,0,0,0,0,0,0,0,0,0,0,1,NA,1,8,700,53,142,167.9,0,0,0,49,53,8.2,49,53,8.2,0,0,0,0,0,0,867,782,-9.8,22883,26111,14.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA
State,Rajasthan,2482,2819,13.6,705,675,-4.3,9461,10486,10.8,7003,7736,10.5,0,0,0,389,371,-4.6,68,55,-19.1,1390,1807,30,3,3,0,0,1,NA,0,1,NA,0,0,0,48,12,-75,274,233,-15,0,0,0,4,3,-25,4,6,50,10,7,-30,46,54,17.4,333,370,11.1,0,0,0,3630,3051,-16,2965,2384,-19.6,665,667,0.3,1733,1691,-2.4,4328,5071,17.2,31911,34451,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Sikkim,6,2,-66.7,7,4,-42.9,0,0,0,0,111,NA,0,0,0,3,1,-66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,7,-80,51,126,147.1,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Tamil Nadu,118,130,10.2,4237,3661,-13.6,17348,20376,17.5,0,0,0,255576,238841,-6.5,360,427,18.6,5232,3530,-32.5,42,61,45.2,7,29,314.3,22,79,259.1,22,79,259.1,0,0,0,27,264,877.8,32,61,90.6,0,0,0,0,0,0,33,125,278.8,0,0,0,11,5,-54.5,322,711,120.8,0,0,0,684,688,0.6,682,685,0.4,2,3,50,0,3,NA,226899,302017,33.1,510950,571008,11.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA
State,Tripura,40,38,-5,9,12,33.3,5,1,-80,0,0,0,0,0,0,0,6,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11,-15.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-100,1,0,-100,0,0,0,0,0,0,1,3,200,69,71,2.9,NA,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Uttar Pradesh,32634,33836,3.7,9916,9979,0.6,6576,6615,0.6,19277,24138,25.2,0,1,NA,960,1094,14,26,42,61.5,15096,12892,-14.6,55,77,40,12,122,916.7,12,122,916.7,0,0,0,5,8,60,96,48,-50,0,0,0,2,5,150,340,288,-15.3,1,2,100,3,0,-100,154,254,64.9,0,0,0,4960,2997,-39.6,4885,2974,-39.1,75,23,-69.3,2553,1964,-23.1,385571,480268,24.6,478237,574630,20.2,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Uttaranchal,1416,1286,-9.2,297,331,11.4,238,328,37.8,2760,2571,-6.8,3,0,-100,10,6,-40,0,0,0,45,24,-46.7,3,2,-33.3,0,0,0,0,0,0,0,0,0,3,2,-33.3,4,12,200,0,0,0,0,0,0,5,1,-80,0,0,0,0,0,0,10,16,60,0,0,0,93,87,-6.5,84,85,1.2,9,2,-77.8,196,117,-40.3,34465,38971,13.1,39548,43754,10.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,West Bengal,1806,1717,-4.9,506,493,-2.6,604,789,30.6,794,482,-39.3,13,4,-69.2,134,100,-25.4,31,42,35.5,4145,5068,22.3,1049,1386,32.1,0,0,0,0,0,0,0,0,0,1,4,300,537,332,-38.2,0,0,0,21,1,-95.2,6,6,0,0,0,0,0,0,0,168,154,-8.3,0,0,0,6,8,33.3,5,2,-60,1,6,500,0,0,0,1183213,1148275,-3,1193034,1158861,-2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Total (States),56509,59742,5.7,23711,24477,3.2,150171,173504,15.5,105983,112222,5.9,508937,488083,-4.1,4493,4603,2.4,8656,11140,28.7,64358,55695,-13.5,1422,1734,21.9,676,1046,54.7,618,999,61.7,58,47,-19,356,655,84,4187,3533,-15.6,0,65,NA,39,77,97.4,3213,2806,-12.7,83,113,36.1,1050,2508,138.9,2659,3766,41.6,0,0,0,14758,12555,-14.9,13094,10755,-17.9,1664,1800,8.2,5548,4709,-15.1,2599117,2763442,6.3,3555926,3726481,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Union Territory,A & N Islands,0,0,0,0,4,NA,17,22,29.4,2959,3850,30.1,130,103,-20.8,2,1,-50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,470,336,-28.5,3578,4316,20.6,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Union Territory,Chandigarh,9,7,-22.2,39,47,20.5,107,117,9.3,393,395,0.5,0,0,0,2,3,50,3,3,0,0,0,0,3,1,-66.7,0,0,0,0,0,0,0,0,0,0,0,0,2,7,250,0,0,0,0,0,0,0,0,0,2,0,-100,1,0,-100,12,9,-25,0,0,0,2,0,-100,2,0,-100,0,0,0,0,0,0,203,151,-25.6,778,740,-4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Union Territory,D & N Haveli,3,2,-33.3,2,1,-50,2,0,-100,8,7,-12.5,0,0,0,2,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,-80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NA,0,0,0,3,0,-100,0,0,0,3,0,-100,0,0,0,17,3,-82.4,42,16,-61.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA,NA,NA,NA,NA
Union Territory,Daman & Diu,4,0,-100,0,0,0,5,1,-80,0,0,0,0,0,0,0,0,0,3,3,0,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,200,14,9,-35.7,NA,NA,NA,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Union Territory,Delhi,3415,4591,34.4,622,749,20.4,1177,1336,13.5,6881,8586,24.8,0,0,0,28,26,-7.1,95,69,-27.4,15,1,-93.3,13,17,30.8,2,1,-50,2,1,-50,0,0,0,32,37,15.6,70,30,-57.1,0,0,0,0,0,0,7,7,0,0,0,0,1,0,-100,194,241,24.2,0,0,0,17,15,-11.8,17,15,-11.8,0,0,0,0,0,0,1180,2566,117.5,13749,18272,32.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,10,3,-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,10,4,-60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@
Union Territory,Puducherry,20,41,105,3,1,-66.7,18,21,16.7,23,2,-91.3,0,0,0,2,1,-50,39,27,-30.8,0,0,0,0,2,NA,13,18,38.5,13,18,38.5,0,0,0,2,1,-50,15,22,46.7,0,0,0,1,0,-100,2,3,50,0,0,0,0,0,0,2,16,700,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,993,848,-14.6,1133,1004,-11.4,NA,NA,NA,NA,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA
Union Territory,Total (UTs),3451,4641,34.5,666,802,20.4,1326,1497,12.9,10264,12840,25.1,140,106,-24.3,36,31,-13.9,140,102,-27.1,15,2,-86.7,16,20,25,15,19,26.7,15,19,26.7,0,0,0,34,38,11.8,92,60,-34.8,0,0,0,1,0,-100,9,10,11.1,2,0,-100,2,0,-100,209,269,28.7,0,0,0,22,15,-31.8,19,15,-21.1,3,0,-100,0,1,0,2864,3908,36.5,19304,24361,26.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Total (All-India),Total (All-India),59960,64383,7.4,24377,25279,3.7,151497,175001,15.5,116247,125062,7.6,509077,488189,-4.1,4529,4634,2.3,8796,11242,27.8,64373,55697,-13.5,1438,1754,22,691,1065,54.1,633,1018,60.8,58,47,-19,390,693,77.7,4279,3593,-16,0,65,NA,40,77,92.5,3222,2816,-12.6,85,113,32.9,1052,2508,138.4,2868,4035,40.7,0,0,0,14780,12570,-15,13113,10770,-17.9,1667,1800,8,5548,4710,-15.1,2601981,2767350,6.4,3575230,3750842,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
City,Agra,824,637,-22.7,248,278,12.1,600,697,16.2,348,335,-3.7,0,0,0,31,13,-58.1,3,3,0,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,28,133.3,0,0,0,215,163,-24.2,0,163,NA,215,0,-100,24,35,45.8,31320,16604,-47,33625,18794,-44.1,NA,NA,NA,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA,NA,NA
City,Ahmedabad,33,43,30.3,15,12,-20,1278,806,-36.9,0,0,0,5284,4882,-7.6,3,21,600,5,2,-60,0,0,0,0,0,0,3,1,-66.7,3,1,-66.7,0,0,0,0,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,54,14.9,0,0,0,0,13,NA,0,13,NA,0,0,0,0,0,0,4548,3848,-15.4,11229,9695,-13.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,@,NA,NA,NA
City,Allahabad,319,198,-37.9,248,223,-10.1,109,61,-44,153,124,-19,0,0,0,137,129,-5.8,0,15,NA,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,-40,0,0,0,0,0,0,5,2,-60,0,0,0,0,0,0,9,17,88.9,0,0,0,36,28,-22.2,36,28,-22.2,0,0,0,4,16,300,6627,8092,22.1,7652,8909,16.4,NA,NA,NA,NA,NA,NA,@,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
City,Amritsar,43,56,30.2,115,135,17.4,188,169,-10.1,673,896,33.1,0,0,0,2,5,150,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,28,133.3,0,0,0,0,2,NA,0,2,NA,0,0,0,0,0,0,5,28,460,1050,1333,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,@,NA,NA,NA
