Category,States/UTs,Total No. of Persons under Arrest* including those from Previous Year,Number of - Persons Released before Trial,Number of - Persons Charge Sheeted,Number of - Persons under Investigation at the End of the Year,Pendency Percentage,Percentage of Pendency to All India Total
State,Andhra Pradesh,258839,8985,186592,63262,24.4,12.7
State,Arunachal Pradesh,3736,694,1818,1224,32.8,0.2
State,Assam,107565,17164,35103,55298,51.4,11.1
State,Bihar,319737,60116,191377,68244,21.3,13.7
State,Chhattisgarh,53590,24,51658,1908,3.6,0.4
State,Goa,3845,292,2353,1200,31.2,0.2
State,Gujarat,183779,231,172233,11315,6.2,2.3
State,Haryana,64871,35,61211,3625,5.6,0.7
State,Himachal Pradesh,19942,160,17791,1991,10,0.4
State,Jammu & Kashmir,24976,134,24511,331,1.3,0.1
State,Jharkhand,66799,4329,47497,14973,22.4,3
State,Karnataka,175146,7561,146316,21269,12.1,4.3
State,Kerala,178919,2599,144915,31405,17.6,6.3
State,Madhya Pradesh,322423,141,318637,3645,1.1,0.7
State,Maharashtra,311022,5451,265510,40061,12.9,8
State,Manipur,2579,1167,190,1222,47.4,0.2
State,Meghalaya,3637,411,918,2308,63.5,0.5
State,Mizoram,3783,45,3104,634,16.8,0.1
State,Nagaland,2796,263,736,1797,64.3,0.4
State,Orissa,80627,119,74905,5603,6.9,1.1
State,Punjab,67981,2920,39260,25801,38,5.2
State,Rajasthan,189722,27,189016,679,0.4,0.1
State,Sikkim,511,141,179,191,37.4,0
State,Tamil Nadu,269062,7254,215037,46771,17.4,9.4
State,Tripura,5922,1389,2515,2018,34.1,0.4
State,Uttar Pradesh,294323,16077,262131,16115,5.5,3.2
State,Uttaranchal,14363,1719,10744,1900,13.2,0.4
State,West Bengal,161034,23981,77240,59813,37.1,12
State,Total (States),3191529,163429,2543497,484603,15.2,97.3
Union Territory,A & N Islands,1268,224,565,479,37.8,0.1
Union Territory,Chandigarh,3524,240,2606,678,19.2,0.1
Union Territory,D & N Haveli,628,5,478,145,23.1,0
Union Territory,Daman & Diu,469,61,288,120,25.6,0
Union Territory,Delhi,54589,1521,41272,11796,21.6,2.4
Union Territory,Lakshadweep,24,2,7,15,62.5,0
Union Territory,Pondicherry,7055,0,6600,455,6.4,0.1
Union Territory,Total (UTs),67557,2053,51816,13688,20.3,2.7
Total (All-India),Total (All-India),3259086,165482,2595313,498291,15.3,100
