SL. No.,States/U.Ts,Cities,Murder,Culpable Homicide Not Amounting to Murder,Rape,Kidnapping & Abduction,Dacoity,Robbery,Burglary,Thefts,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Total Cognizable Crimes Under IPC
1,Andhra Pradesh,Vijayawada,6,2,NA,1,1,3,67,243,19,18,8,NA,1194
2,Andhra Pradesh,Guntur,6,NA,NA,3,1,2,75,340,14,10,13,NA,597
3,Andhra Pradesh,Visakhapatnam,2,NA,NA,NA,NA,1,46,163,14,10,3,NA,239
4,Andhra Pradesh,Warangal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Andhra Pradesh,Rajahmundry,5,NA,NA,1,NA,NA,52,141,10,5,4,NA,1307
6,Andhra Pradesh,Kakinada,3,NA,NA,NA,NA,NA,47,170,14,11,5,NA,1378
7,Andhra Pradesh,Eluru,NA,NA,NA,2,2,NA,56,131,8,5,9,NA,632
8,Andhra Pradesh,Nellore,3,NA,NA,2,NA,1,61,138,3,1,2,NA,267
9,Andhra Pradesh,Bandar (Machilipatnam),1,NA,NA,1,NA,1,16,43,2,2,4,NA,246
10,Andhra Pradesh,Kurnool,1,NA,NA,NA,NA,NA,50,152,6,4,2,NA,215
1,Assam,Gauhati,7,NA,4,30,NA,1,205,641,115,40,29,NA,1526
1,Bihar,Patna,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Bihar,Jamshedpur,27,NA,10,14,9,24,176,713,129,21,5,NA,1638
3,Bihar,Dhanbad,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Bihar,Gaya,6,NA,1,5,NA,4,61,233,12,6,11,NA,NA
5,Bihar,Monghyr,2,3,NA,3,2,4,171,183,51,4,1,NA,3643
6,Bihar,Bhagalpur,5,6,2,5,5,17,210,271,19,23,10,NA,1143
7,Bihar,Ranchi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Bihar,Muzaffarpur,4,NA,1,8,1,1,260,367,54,2,11,NA,1012
9,Bihar,Darbhanga,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Gujarat,Baroda City,19,NA,4,15,1,11,186,973,39,60,38,1,2621
2,Gujarat,Surat City,10,NA,NA,8,NA,NA,137,498,4,33,19,NA,1179
3,Gujarat,Bhavnagar,5,NA,NA,5,NA,2,59,129,9,13,14,NA,391
4,Gujarat,Rajkot,6,NA,2,6,NA,2,56,215,8,14,16,NA,633
5,Gujarat,Jamnagar,4,NA,NA,4,NA,1,40,129,10,10,12,NA,373
1,Haryana,Ambala Cantt. (Ambala),1,NA,NA,3,NA,NA,17,70,2,4,5,NA,171
1,Karnataka,Mysore,3,NA,NA,3,NA,3,392,770,33,27,74,4,1308
2,Karnataka,Hubli,6,NA,NA,3,2,3,75,109,17,14,1,NA,424
3,Karnataka,Mangalore,2,NA,3,2,NA,NA,72,107,30,10,17,15,577
4,Karnataka,Gulbarga,5,1,1,1,2,2,92,139,302,12,6,NA,780
5,Karnataka,Bellary,2,NA,NA,NA,1,NA,42,100,2,4,2,NA,331
6,Karnataka,Balgaum,5,NA,NA,NA,NA,1,88,122,10,11,10,NA,372
7,Karnataka,Davanagere,2,NA,1,NA,1,NA,41,29,9,2,NA,NA,157
8,Karnataka,Bijapur,3,NA,1,NA,NA,NA,44,49,13,5,2,NA,177
9,Karnataka,Shimoga,NA,NA,NA,NA,NA,NA,111,79,5,4,9,1,281
10,Karnataka,Bhadravathi,NA,NA,NA,NA,NA,NA,54,59,22,3,6,NA,227
1,Kerala,Trivandrum,11,NA,2,5,1,13,545,755,212,33,29,4,2847
2,Kerala,Alleppey,5,NA,NA,1,NA,2,67,43,64,5,20,1,540
3,Kerala,Ernakulam,7,NA,1,NA,NA,2,337,323,208,22,24,5,1915
4,Kerala,Calicut,6,NA,1,1,NA,6,92,82,62,12,11,10,741
1,Madhya Pradesh,Gwalior,15,1,3,10,NA,9,322,647,72,12,25,1,1681
2,Madhya Pradesh,Indore,26,1,8,19,5,40,523,1436,114,36,54,NA,3894
3,Madhya Pradesh,Jabalpur,26,NA,15,13,1,11,395,944,52,20,55,NA,4086
4,Madhya Pradesh,Sagar,4,NA,3,1,NA,7,63,134,11,2,13,NA,772
5,Madhya Pradesh,Bhilainagar,3,NA,2,7,1,6,220,623,10,6,13,NA,1285
6,Madhya Pradesh,Raipur,9,NA,7,1,1,9,218,616,7,18,28,1,1205
7,Madhya Pradesh,Ujjain,9,NA,3,14,NA,29,278,900,48,12,38,NA,1891
8,Madhya Pradesh,Ratlam,2,NA,NA,NA,NA,4,76,211,10,10,19,1,1786
9,Madhya Pradesh,Burhanpur,1,NA,NA,1,NA,NA,50,93,4,5,3,NA,239
10,Madhya Pradesh,Bhopal,18,1,7,19,1,13,408,1009,43,39,54,1,2759
1,Maharashtra,Poona City,41,1,17,47,1,45,802,2995,99,139,288,3,6591
2,Maharashtra,Nagpur City,20,NA,9,19,5,46,650,2242,33,92,121,7,4337
3,Maharashtra,Thana,4,1,3,6,2,14,161,462,39,25,48,1,1000
4,Maharashtra,Ulhasnagar,14,NA,2,3,2,30,163,226,19,8,6,NA,665
5,Maharashtra,Ahmednagar,6,NA,NA,3,NA,6,91,118,8,11,12,NA,441
6,Maharashtra,Nasik,11,1,NA,NA,NA,5,64,186,4,8,14,NA,425
7,Maharashtra,Malegaon,2,NA,1,1,NA,NA,28,128,12,15,4,NA,276
8,Maharashtra,Dhulia,3,NA,1,2,NA,2,33,150,17,10,12,NA,297
9,Maharashtra,Jalgaon,4,NA,NA,1,1,5,44,137,8,4,5,NA,294
10,Maharashtra,Sangli,4,NA,NA,6,NA,7,86,212,7,14,3,NA,405
11,Maharashtra,Sholapur,9,1,NA,3,NA,2,83,239,19,25,70,NA,601
12,Maharashtra,Kolhapur,5,NA,1,NA,NA,3,128,314,20,24,14,1,772
13,Maharashtra,Aurangabad,1,NA,NA,9,NA,6,211,432,13,14,22,NA,909
14,Maharashtra,Nanded,5,1,NA,1,1,5,76,203,3,8,2,NA,390
15,Maharashtra,Akola,7,1,1,4,NA,11,192,695,14,13,25,NA,1218
16,Maharashtra,Amravati,10,NA,4,4,1,8,253,702,10,27,39,NA,1398
1,Manipur,Imphal Town,1,NA,2,38,NA,1,5,68,14,13,39,NA,294
1,Orissa,Cuttack,2,1,1,4,1,5,237,732,58,43,17,NA,1101
1,Punjab,Ludhiana,17,4,4,17,NA,NA,66,140,NA,17,16,NA,432
2,Punjab,Patiala,1,1,1,24,NA,2,112,194,5,20,16,NA,790
3,Punjab,Amritsar,18,5,3,15,NA,3,82,170,2,23,22,NA,2801
4,Punjab,Jullundur,10,2,2,17,NA,NA,98,234,NA,30,30,NA,740
1,Rajasthan,Ajmer,6,NA,1,17,1,7,114,213,28,12,23,1,190
2,Rajasthan,Jaipur,8,2,4,50,5,38,360,783,218,40,78,NA,2104
3,Rajasthan,Bikaner,2,NA,NA,10,6,10,75,70,50,19,17,NA,399
4,Rajasthan,Jodhpur,6,1,3,26,4,23,183,364,60,16,26,NA,930
5,Rajasthan,Kota,8,1,7,22,5,22,153,384,82,17,23,NA,1013
6,Rajasthan,Udaipur,7,1,3,38,3,15,163,373,89,20,24,NA,1032
1,Tamil Nadu,Vellore,6,NA,1,2,NA,NA,108,309,18,2,8,NA,644
2,Tamil Nadu,Salem,7,NA,3,3,2,NA,228,417,92,10,13,1,776
3,Tamil Nadu,Tiruchirapalli,11,NA,1,2,1,NA,101,377,43,29,28,NA,930
4,Tamil Nadu,Tuticorin,4,NA,1,NA,NA,NA,37,128,8,4,6,NA,392
5,Tamil Nadu,Nagercoil,3,NA,NA,4,NA,NA,32,68,12,10,9,5,361
6,Tamil Nadu,Madurai,12,NA,1,13,NA,3,96,695,24,50,37,5,2472
1,Uttar Pradesh,Lucknow,29,15,24,111,16,112,998,3840,175,422,213,NA,7250
2,Uttar Pradesh,Agra,39,NA,11,52,26,247,657,1557,160,261,80,2,3972
3,Uttar Pradesh,Varanasi,32,6,2,42,43,92,632,1775,174,177,95,NA,3584
4,Uttar Pradesh,Allahabad,22,3,4,47,13,79,498,1910,101,168,131,NA,4448
5,Uttar Pradesh,Meerut,14,4,1,47,15,78,403,1393,108,138,84,NA,2785
6,Uttar Pradesh,Bareilly,28,9,9,46,41,167,763,1342,86,133,66,NA,4852
7,Uttar Pradesh,Moradabad,22,3,5,36,11,52,196,411,37,80,15,NA,3008
8,Uttar Pradesh,Saharanpur,6,5,2,12,3,29,279,660,27,46,20,1,1813
9,Uttar Pradesh,Aligarh,7,7,2,34,15,42,461,894,39,101,29,1,1977
10,Uttar Pradesh,Gorakhpur,16,1,3,23,6,52,384,982,70,61,35,NA,2407
11,Uttar Pradesh,Jhansi,12,2,3,12,11,40,248,549,27,44,40,NA,1610
12,Uttar Pradesh,Dehradun,9,1,6,19,7,70,331,806,44,54,17,NA,2269
13,Uttar Pradesh,Rampur,9,2,4,20,2,24,95,240,14,29,18,NA,590
14,Uttar Pradesh,Mathura,5,1,2,6,8,23,208,302,6,56,32,NA,1283
15,Uttar Pradesh,Shahjahanpur,9,4,3,13,4,43,233,406,20,28,20,NA,1137
16,Uttar Pradesh,Mirzapur-cum-Vindhyachal,6,NA,2,7,2,7,163,221,32,21,11,NA,1160
