SL. No.,Crime Heads,Total number of persons under trials during the year including persons carried over from previous year,Number of persons against whom cases were compounded or withdrawn,Persons in whose cases trials were completed during the Year,Persons in custody or on bail during the stage of trial at the end of the year,Number of Persons convicted during the year,Percentage of persons in custody pending trial to total number of persons under trial,Percentage of persons convicted to total persons in whose cases trials were completed during the year
1,Arms Act,53536,112,18188,35236,13418,65.82,73.77
2,Opium Act,17964,27,9503,8434,7577,46.95,79.73
3,Gambling Act,411228,1949,264258,145021,228738,35.27,86.56
4,Excise Act,169374,788,105270,63316,86527,37.38,82.2
5,Prohibition Act,296703,3304,160478,132921,75690,44.8,47.17
6,Explosives & Explosive Substances Act,3671,65,1575,2031,1190,55.33,75.56
7,Suppression of Immoral Traffic in Women & Girls Act,9905,45,7966,1894,7554,19.12,94.83
8,Motor Vehicles Act,900786,12841,586086,301859,528206,33.51,90.12
9,Corruption Act,748,5,326,417,127,55.75,38.96
10,Customs Act,10,NA,1,9,1,90,100
11,Indian Railways Act,29432,45,25329,4058,24937,13.78,98.45
12,Other Offences Under Local & Special Laws,1268550,14808,1110131,143611,1079208,11.32,97.21
13,Grand Total,3161907,33989,2289111,838807,2053173,26.53,89.69
