SL. No.,Years,7-12 Years,7-12 Year - Percentage to Total,12-16 Years,12-16 Year - Percentage to Total,16-18 Years,16-18 Year - Percentage to Total,18-21 Years,18-21 Year - Percentage to Total,Overall Age Groups
1,1963,6498,12.7,12520,24.4,32331,63,Not Available,Not Available,51349
2,1966,9104,13.5,17072,25.4,41081,61.1,NA,NA,67257
3,1967,10195,14.1,17680,24.5,44234,61.4,Combined with 16-21 Years age group,Combined with 16-21 Years age group,72109
4,1968,8262,11.3,16548,22.5,48648,66.2,NA,NA,73458
5,1969,8349,10.6,17200,21.8,53319,67.6,NA,NA,78868
6,1970,11405,11.5,18690,18.9,68750,69.6,NA,NA,98845
7,1971,5527,5.3,12708,12.3,13940*,13.5,71244,68.9,103419
8,1972,10534,8.2,17079,13.3,19177,15,81391,63.5,128181
Percentage Change Over 1963,Percentage Change Over 1963,62.1,NA,36.4,NA,NA,NA,NA,NA,NA
Percentage Change Over 1971,Percentage Change Over 1971,90.6,NA,34.4,NA,37.6,NA,14.2,NA,NA
