SL. No.,Category,State/U.Ts,Area in Square Kms.,Estimated Mid-Year Population (in 000),Total Cognizable Crime under I.P.C.,Actual Strength of Police - Civil,Actual Strength of Police - Armed,Actual Strength of Police - Total,Number of Policemen Per 100 SQ. KM. Area,"Number of Policemen Per 10,000 of Population",Number of IPC Cases Per Civil Policemen,Percentage of civil police to total police
1,State,Andhra Pradesh ,276754,44571,49914,38678,6249,44927,16.2,10.1,1.3,86.1
2,State,Assam,99610,15912,30320,NA,NA,22637*,22.7,14.9,NA,NA
3,State,Bihar,173876,57649,82744,37593,12231,49824,28.7,8.6,2.2,75.5
4,State,Gujarat,195984,27544,36157,34426,8744,43170,22,15.7,1.1,79.7
5,State,Haryana,44222,10317,9104,9216,2514,11730,26.5,11.4,1,78.6
6,State,Himachal Pradesh,55673,3506,3073,5707,1285,6992,12.6,19.9,0.5,81.6
7,State,Jammu and Kashmir,222236,4735,6021,6260,2594,8854,4,18.7,1,70.7
8,State,Karnataka ,191773,30042,37786,29836,8673,38509,20.1,12.8,1.3,77.5
9,State,Kerala,38864,21971,35442,16595,1900,18495,47.6,8.4,2.1,89.7
10,State,Madhya Pradesh,442841,42959,95556,36718,21196,57914,13.1,13.5,2.6,63.4
11,State,Maharashtra,307762,51815,104782,69990,7668,77658,25.2,15,1.5,90.1
12,State,Manipur,22356,1102,1920,2175,2606,4781,21.4,43.4,0.9,45.5
13,State,Meghalaya,22489,1038,1105,2469,1086,3555,15.8,34.2,0.5,69.5
14,State,Nagaland,16527,526,1117,2615,4562,7177,43.4,136.4,0.4,36.4
15,State,Orissa,155842,22522,31983,17916,5349,23265,14.9,10.3,1.8,77
16,State,Punjab,50362,13874,12111,18298,5493,23791,47.2,17.1,0.7,76.9
17,State,Rajasthan,342214,26533,39204,30120,7398,37518,11,14.1,1.3,80.3
18,State,Tamil Nadu,130069,42216,71050,37858,4515,42373,32.6,10,1.9,89.3
19,State,Tripura,10477,1598,2383,3279,817,4096,39.1,25.6,0.7,80.1
20,State,Uttar Pradesh,294413,90216,217731,69888,23149,93037,31.6,10.3,3.1,75.1
21,State,West Bengal ,87853,45560,77855,41320,25335,66655,75.9,14.6,1.9,63
Total (States),State,Total (States),3182197,556206,947358,510957,153364,664321,21.6,12.4,1.8,76.9
22,UT,A & N Islands,8293,118,322,330,865,1195,14.4,101.3,1,27.6
23,UT,Chandigarh,114,263,1156,875,718,1593,1397.4,60.8,1.3,54.9
24,UT,D & N Haveli,491,76,101,61,38,99,20.2,13,1.7,61.6
25,UT,Delhi,1485,4313,32589,13454,4100,17554,1182.1,40.7,2.4,76.6
26,UT,"Goa, Daman & Diu",3813,880,1321,1385,592,1977,51.8,22.5,1,70.1
27,UT,Lakshadweep,32,33,18,215,NA,215,671.9,65.2,0.1,100
28,UT,Pondicherry,480,484,1908,NA,NA,957,199.4,19.8,NA,NA
Total (UTs),UT,Total (UTs),14708,6167,37415,16320,6313,23590,160.4,38.3,2.2,72.1
Total (All-India),Total (All-India),Total (All-India),3196905,561653,984773,527277,159677,710548,22.2,12.7,1.8,78.8
