SL. No.,Category,States/U.Ts/Cities,Residential Premises - Number of Cases Reported,Residential Premises - Value of Property Stolen,Highways - Number of Cases Reported,Highways - Value of Property Stolen,Railways - Number of Cases Reported,Railways - Value of Property Stolen,River & Sea - Number of Cases Reported,River & Sea - Value of Property Stolen,Banks - Number of Cases Reported,Banks - Value of Property Stolen,Commercial Establishments - Number of Cases Reported,Commercial Establishments - Value of Property Stolen
1,State,Andhra Pradesh,97,2.9,31,0.39,6,0.01,NA,NA,NA,NA,NA,NA
2,State,Assam,205,7.18,2,0.06,NA,NA,NA,NA,NA,NA,4,0.11
3,State,Bihar,1798,20.56,90,3,22,0.87,NA,NA,NA,NA,10,0.02
4,State,Gujarat,21,0.55,1,0.3,1,1.44,1,0.9,NA,NA,2,0.03
5,State,Haryana,4,0.38,3,0.05,2,0.05,NA,NA,NA,NA,NA,NA
6,State,Himachal Pradesh,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,State,Jammu and Kashmir,7,0.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,State,Karnataka,38,1.28,6,0.22,NA,NA,NA,NA,NA,NA,2,0.19
9,State,Kerala,5,0.06,3,0.04,NA,NA,NA,NA,NA,NA,2,0.04
10,State,Madhya Pradesh,288,10.09,21,0.16,3,0.01,NA,NA,NA,NA,1,0.01
11,State,Maharashtra,178,3.2,68,1.86,5,0.04,2,0.01,NA,NA,2,0.03
12,State,Manipur,11,0.52,5,0.03,NA,NA,NA,NA,NA,NA,1,0.09
13,State,Meghalaya,2,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,State,Nagaland,5,0.03,1,0.01,NA,NA,NA,NA,NA,NA,NA,NA
15,State,Orissa,93,1.43,8,0.04,NA,NA,NA,NA,NA,NA,NA,NA
16,State,Punjab,2,0.22,1,0.03,NA,NA,NA,NA,NA,NA,NA,NA
17,State,Rajasthan,38,0.59,29,0.24,1,Neg.,NA,NA,NA,NA,NA,NA
18,State,Tamil Nadu,8,0.41,4,0.75,4,0.14,NA,NA,NA,NA,1,0.09
19,State,Tripura,41,0.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,State,Uttar Pradesh,3834,117.95,333,4,21,0.83,1,0.01,1,Neg.,4,0.24
21,State,West Bengal,1301,28.29,81,2.84,14,0.3,1,Neg.,1,3,15,1.93
Total (States),State,Total (States),7977,196.75,687,14.02,79,3.69,5,0.92,2,3,44,2.78
22,UT,A & N Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,UT,Chandigarh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,UT,D & N Haveli,1,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,UT,Delhi,7,0.16,8,0.26,1,Neg.,NA,NA,NA,NA,NA,NA
26,UT,"Goa, Daman & Diu",3,0.1,1,0.01,1,Neg.,NA,NA,NA,NA,NA,NA
27,UT,Lakshadweep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,UT,Pondicherry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Total (UTs),UT,Total (UTs),11,0.27,9,0.27,2,Neg.,NA,NA,NA,NA,NA,NA
Total (All-India),Total (All-India),Total (All-India),7988,197.02,696,14.29,81,3.69,5,0.92,2,3,44,2.78
1,City,Ahmedabad,1,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,City,Bangalore,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,City,Bombay,10,0.34,3,0.36,NA,NA,NA,NA,NA,NA,1,0.03
4,City,Calcutta,1,Neg.,4,0.23,NA,NA,1,Neg.,NA,NA,13,1.89
5,City,Delhi,3,0.07,7,0.26,NA,NA,NA,NA,NA,NA,NA,NA
6,City,Hyderabad,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,City,Kanpur,20,0.27,15,0.22,NA,NA,NA,NA,NA,NA,NA,NA
8,City,Madras,NA,NA,1,0.01,NA,NA,NA,NA,NA,NA,NA,NA
Total (Cities),City,Total (Cities),36,0.7,33,1.08,NA,NA,1,Neg.,NA,NA,14,1.92
