SL. No.,Year,Incidence of Crime,Volume of Offences Per One Lakh of Population
1,1966,1998312,400.7
2,1967,2663267,520.9
3,1968,2936632,561
4,1969,2793148,520.5
5,1970,2884517,524.4
6,1971,2912096,529.7
7,1972,2514975,447.7
