SL. No.,Category,States/U.Ts/Cities,Murder - 1971,Murder  - 1972,Murder - Percentage Variation,Kidnapping & Abduction - 1971,Kidnapping & Abduction  - 1972,Kidnapping & Abduction - Percentage Variation,Dacoity - 1971,Dacoity  - 1972,Dacoity - Perentage Variation,Robbery - 1971,Robbery  - 1972,Robbery - Percentage Variation,House Breaking - 1971,House Breaking - 1972,House Breaking - Percentage Variation,Thefts - 1971,Thefts  - 1972,Thefts - Percentage Variation,Riots - 1971,Riots  - 1972,Riots - Percentage Variation,Criminal Breach of Trust - 1971,Criminal Breach of Trust  - 1972,Criminal Breach of Trust - Percentage Variation,Cheating - 1971,Cheating  - 1972,Cheating - Percentage Variation,Counterfeiting - 1971,Counterfeiting  - 1972,Counterfeiting - Percentage Variation,Total Cognizable Crime - 1971,Total Cognizable Crime  - 1972,Total Cognizable Crime - Percentage Variation
1,State,Andhra Pradesh,1020,1031,1.07,160,147,-8.12,147,165,12.24,205,225,9.75,5377,5746,6.86,12062,13671,13.33,2953,3054,3.42,610,678,12.62,406,401,-1.23,19,13,-31.57,46390,49914,7.59
2,State,Assam,494,488,-1.21,424,451,6.36,189,229,21.16,239,154,6.27,5040,5038,-0.03,7964,7947,-0.21,3154,4390,39.19,417,431,3.35,299,276,-7.69,13,9,-30.76,28199,30320,7.52
3,State,Bihar,1423,1401,-1.54,559,580,3.75,2015,2142,6.3,1387,1447,4.32,19419,19082,-1.73,26000,25539,-1.77,10054,10053,NA,1095,1321,20.63,476,526,10.5,94,52,-44.68,83270,82744,-0.63
4,State,Gujarat,702,705,0.42,254,242,-4.72,56,77,37.5,404,442,9.4,3843,4056,5.54,10412,11464,1010,548,624,13.86,958,905,-5.53,458,515,12.44,8,44,450,32747,36157,10.41
5,State,Haryana,194,175,-9.79,109,129,18.34,2,9,350,21,15,-28.57,1472,1616,9.78,2448,2808,14.7,72,93,29.17,206,281,36.41,137,149,8.75,1,2,100,8237,9104,10.52
6,State,Himachal Pradesh,43,46,6.97,76,58,-23.68,1,2,100,25,27,8,386,451,16.83,418,587,40.43,67,115,71.64,92,118,28.26,55,88,60,NA,NA,NA,2494,3073,23.22
7,State,Jammu & Kashmir,70,74,5.71,187,195,4.27,5,9,80,10,11,10,789,880,11.53,999,1086,8.7,563,586,4.08,64,74,15.62,78,50,-35.89,NA,2,NA,5518,6021,9.12
8,State,Karnataka,759,684,-9.88,115,119,3.47,78,106,35.89,152,144,-5.26,6472,6660,2.9,11235,11196,-0.34,1797,2576,43.35,738,680,-7.85,599,714,19.2,75,50,-33.33,36557,37786,3.36
9,State,Kerala,431,448,3.94,60,87,45,40,34,-15,134,157,17.16,3334,4313,29.36,4184,4832,15.48,3840,5107,32.99,339,371,9.44,173,246,42.2,82,93,13.41,29712,35442,19.29
10,State,Madhya Pradesh,1727,1686,-2.37,928,741,-20.15,443,387,-12.64,1066,1152,8.06,16986,18180,7.02,30776,34010,10.5,2390,2474,3.51,973,989,1.64,1028,1212,17.9,16,23,43.75,88548,95556,7.91
11,State,Maharashtra,1311,1358,3.58,526,556,5.7,358,446,24.58,1718,1941,12.98,15102,15450,2.3,44500,46448,4.38,1729,2099,21.4,3036,3262,7.44,1710,1828,6.9,55,108,96.36,99125,104782,5.7
12,State,Manipur,25,20,-20,149,164,10.06,15,22,46.67,43,20,-53.48,163,180,10.42,430,415,-3.48,152,176,15.78,73,56,-23.28,74,94,27.02,1,NA,NA,1931,1920,-0.51
13,State,Meghalaya,NA,52,NA,NA,22,NA,NA,5,NA,NA,13,NA,NA,117,NA,NA,342,NA,NA,33,NA,NA,13,NA,NA,11,NA,NA,1,NA,NA,1105,NA
14,State,Nagaland,24,26,8.33,11,13,18.18,14,17,21.42,42,44,4.76,127,130,2.36,495,505,2.02,28,31,10.71,54,57,5.55,44,54,22.73,NA,NA,NA,1004,1117,11.25
15,State,Orissa,383,442,15.4,80,73,-8.75,142,113,-20.42,286,313,9.44,6462,6517,0.85,12495,13297,6.41,1650,1746,5.81,487,602,23.61,294,365,24.15,13,8,-38.46,30502,31983,4.86
