SL. No.,Category of Offences,Number of Cases in which Property was Stolen,Number of Cases in which Property was Recovered,Value of Property Stolen in Lakhs,Value of Property Recovered in Lakhs,Percentage of Property Recovered to Property Stolen
1,Dacoity,8390,1584,234.17,23.59,10.07
2,Robbery,13229,3229,100.77,29.11,28.89
3,House Breaking and Thefts,449179,129428,3179.84,930.16,29.25
4,Criminal Breach of Trust,16653,3638,740.44,76.94,10.39
5,Others,13756,5102,286.76,129.23,45.07
6,Total,501207,142981,4541.98,1189.03,26.18
