SL. No.,Ranks,Killed,Injured
1,Constables,139,2599
2,Head Constables,23,424
3,Assistant Sub-Inspectors,5,79
4,Sub-Inspectors,27,367
5,Inspectors,NA,86
6,Other Gazetted Police Officers,NA,70
