SL. No.,Category,State/U.Ts/Cities,Total Cognizable Crime - Male,Total Cognizable Crime - Female,Murder - Male,Murder - Female,Culpable Homicide Not Amounting to Murder - Male,Culpable Homicide Not Amounting to Murder - Female,Rape - Male,Rape - Female,Kidnapping & Abduction - Male,Kidnapping & Abduction - Female,Dacoity - Male,Dacoity - Female,Robbery - Male,Robbery - Female,Burglary - Male,Burglary - Female,Thefts - Male,Thefts - Female,Riots - Male,Riots - Female,Criminal Breach of Trust - Male,Criminal Breach of Trust - Female,Cheating - Male,Cheating - Female,Counterfeiting - Male,Counterfeiting - Female
1,State,Andhra Pradesh,63529,3689,2833,54,23,NA,80,NA,141,2,1144,1,280,NA,4866,32,11540,148,17157,219,373,NA,235,2,7,1
2,State,Assam,57404,1807,815,8,4,NA,160,NA,741,7,1202,1,408,NA,6253,NA,7995,37,27558,1421,452,NA,293,NA,12,NA
3,State,Bihar,117330,1772,2612,28,332,NA,311,NA,797,60,5115,4,1154,NA,5962,12,15691,225,57177,887,869,NA,550,1,8,NA
4,State,Gujarat,47350,1398,1676,26,5,NA,67,NA,330,12,424,2,599,5,3377,96,8270,331,5618,101,813,4,643,1,78,NA
5,State,Haryana,11881,44,389,NA,219,NA,66,NA,157,3,60,NA,26,NA,1255,6,2332,13,638,NA,256,NA,142,3,NA,NA
6,State,Himachal Pradesh,3825,533,77,11,43,17,13,8,61,30,6,NA,15,1,311,19,455,68,440,72,90,7,90,7,NA,NA
7,State,Jammu & Kashmir,9783,458,146,4,18,1,23,1,261,21,9,NA,30,NA,797,4,1072,12,2468,118,105,2,116,NA,NA,NA
8,State,Karnataka,58328,1262,1375,76,6,NA,45,NA,177,2,610,2,164,NA,3648,26,8121,142,20931,262,579,5,738,11,22,NA
9,State,Kerala,56778,3433,993,40,14,NA,40,NA,70,9,354,NA,181,7,1810,20,3554,145,28244,1004,297,7,279,16,66,1
10,State,Madhya Pradesh,106074,1742,3517,173,35,2,562,5,1234,23,1519,3,1253,4,9040,117,19220,599,14834,146,714,NA,1012,13,7,NA
11,State,Maharashtra,110885,3920,2692,193,62,4,292,3,560,52,2172,38,2337,28,12027,273,27131,1321,16866,577,2893,20,1317,23,10,NA
12,State,Manipur,3732,1,43,1,9,NA,9,NA,304,NA,77,NA,55,NA,146,NA,593,NA,794,NA,90,NA,171,NA,NA,NA
13,State,Meghalaya,1127,10,55,1,1,NA,4,NA,18,3,5,NA,11,NA,183,NA,304,NA,96,NA,6,NA,7,NA,1,NA
14,State,Nagaland,857,17,33,NA,11,NA,6,NA,18,NA,15,NA,32,NA,85,2,354,10,18,5,33,NA,36,NA,NA,NA
15,State,Orissa,36891,456,1049,12,62,1,54,NA,66,6,500,NA,389,NA,4656,29,10855,172,10044,84,365,NA,388,NA,1,NA
16,State,Punjab,18534,454,1483,22,348,8,137,3,476,36,32,NA,51,NA,821,5,1369,26,195,NA,333,NA,227,4,4,NA
17,State,Rajasthan,57799,1421,1264,28,44,NA,144,NA,1213,36,415,3,950,10,4706,55,7305,169,18944,459,468,4,580,9,3,NA
18,State,Tamil Nadu,88000,2246,2048,73,26,NA,59,2,297,15,126,NA,135,NA,4962,57,13090,363,33260,392,771,8,417,7,20,NA
19,State,Tripura,4127,1,100,1,9,NA,6,NA,67,NA,173,NA,88,NA,722,NA,1110,NA,1588,NA,42,NA,222,NA,NA,NA
20,State,Uttar Pradesh,183851,1634,10064,127,1989,27,682,24,3500,179,20999,68,6469,8,15810,114,27784,266,55478,184,1606,4,1145,14,24,2
21,State,West Bengal,127234,1349,3749,30,971,17,330,1,1107,27,9198,9,2271,NA,7920,5,19001,92,58552,45,1350,NA,684,11,49,NA
Total (States),State,Total (States),1165319,27647,37013,908,4231,77,3090,47,11595,523,44155,131,16898,63,89357,872,187146,4139,370900,5976,12505,61,9292,122,312,4
22,UT,A & N Islands,358,4,5,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,1,28,NA,36,1,52,NA,19,NA,NA,NA,NA,NA
23,UT,Chandigarh,854,8,7,NA,3,NA,7,NA,20,1,NA,NA,NA,NA,96,NA,281,5,6,NA,23,NA,34,NA,NA,NA
24,UT,D & N Haveli,158,2,6,NA,NA,NA,NA,NA,6,2,16,NA,1,NA,30,NA,65,NA,25,NA,9,NA,NA,NA,NA,NA
25,UT,Delhi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,UT,"Goa, Daman & Diu",1644,36,34,NA,28,NA,1,NA,16,NA,27,NA,22,1,225,NA,308,19,209,1,31,NA,42,1,6,NA
27,UT,Lakshadweep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,UT,Pondicherry,1821,194,7,NA,NA,NA,1,NA,2,NA,NA,NA,2,NA,97,NA,301,13,483,NA,16,NA,12,1,2,NA
Total (UTs),UT,Total (UTs),4835,244,59,NA,31,NA,9,NA,48,3,43,NA,25,2,477,7,991,38,775,1,98,NA,88,2,8,NA
Total (All-India),Total (All-India),Total (All-India),1170154,27891,37072,908,4322,77,3099,47,11643,526,44198,131,16923,65,89834,879,188137,4177,371675,5977,12603,61,9380,124,320,4
1,City,Ahmedabad,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,City,Bangalore,3766,112,23,NA,NA,NA,5,NA,7,2,NA,NA,8,NA,422,NA,1575,68,25,NA,105,NA,194,NA,2,NA
