SL. No.,Category,States/U.Ts./Cities,Total Value of Property Stolen,Total Value of Property Recovered
1,State,Andhra Pradesh,111.24,40.04
2,State,Assam,117.82,7.96
3,State,Bihar,324.2,22.49
4,State,Gujarat,137.43,44.72
5,State,Haryana,59.93,33.99
6,State,Himachal Pradesh,13.88,5.7
7,State,Jammu and Kashmir,31.71,12.84
8,State,Karnataka,115.47,42.69
9,State,Kerala,73.32,18.5
10,State,Madhya Pradesh,215.46,62.6
11,State,Maharashtra,820.02,292.54
12,State,Manipur,7.76,1.4
13,State,Meghalaya,3.39,0.58
14,State,Nagaland,6.76,1.06
15,State,Orissa,66.99,13.32
16,State,Punjab,108.57,37.93
17,State,Rajasthan,239.51,178.99
18,State,Tamil Nadu,98.56,60.97
19,State,Tripura,2.51,0.29
20,State,Uttar Pradesh,1264.6,117.7
21,State,West Bengal,232.11,44.93
Total (States),State,Total (States),4051.24,1041.24
22,UT,A & N Islands,0.81,0.24
23,UT,Chandigarh,8.68,4.34
24,UT,D & N Haveli,0.86,0.04
25,UT,Delhi,466.41,139.16
26,UT,"Goa, Daman & Diu",11.45,3.21
27,UT,Lakshadweep,0.01,NA
28,UT,Pondicherry,2.52,0.8
Total (UTs),UT,Total (UTs),490.74,147.79
Total (All-India),Total (All-India),Total (All-India),4541.98,1189.03
1,City,Ahmedabad,18.85,11.01
2,City,Bangalore,40.59,16.59
3,City,Bombay,464.25,241.36
4,City,Calcutta,124.93,29.8
5,City,Delhi,448.03,111.89
6,City,Hyderabad,16.42,5.89
7,City,Kanpur,72.97,17.42
8,City,Madras,24.75,18.27
Total (Cities),City,Total (Cities),1210.79,452.23
