SL. No.,Heads of Crime,Total Cases for Trial During the Year,Cases Compounded or Withdrawn,Cases in which Trials were Completed,Pending Trial at the End of the year,Cases Convicted
1,Arms Act,51006,355,17881,32770,13257
2,Opium Act,17283,26,9410,7847,7468
3,Gambling Act,221988,540,165962,55486,146880
4,Excise Act,162809,684,103192,58933,85308
5,Customs Act,6,NA,2,4,1
6,Explosives & Explosive Substances Act,2324,37,1156,1131,980
7,Prohibition Act,263978,768,142981,118229,69978
8,Suppression of Immoral Traffic Act,9230,22,8248,960,7786
9,Motor Vehicles Act,874031,8471,579155,286405,533426
10,Prevention of Corruption Act,907,8,520,379,383
11,Indian Railways Act,25471,17,22534,2920,21993
12,Other Offences,1248069,6383,1132210,109476,1109151
13,Total,2877102,19311,2183251,674540,1996611
