SL. No.,Category,States/U.Ts/Cities,Arms Act,Opium Act,Gambling Act,Excise Act,Explosive & Explosive Substances Act,Suppression of Immoral Traffic Act,Motor Vehicles Act,Indian Railways Act,Grand Total
1,State,Andhra Pradesh,154,2,32018,120,49,885,28038,6,196856
2,State,Assam,88,33,1039,442,32,10,1458,36,6311
3,State,Bihar,752,3,1531,499,175,26,2829,176,7987
4,State,Gujarat,321,NA,30364,NA,33,5,130,1348,132597
5,State,Haryana,1082,1930,3372,9624,11,7,NA,192,21450
6,State,Himachal Pradesh,59,32,76,1670,10,NA,15042,6,17061
7,State,Jammu & Kashmir,33,NA,280,22,NA,NA,858,NA,1702
8,State,Karnataka,121,3,11323,4980,50,1784,247051,29,322850
9,State,Kerala,90,NA,3301,1,43,139,2,153,4995
10,State,Madhya Pradesh,1122,530,47854,7819,162,58,117402,1000,235062
11,State,Maharashtra,299,15,63317,NA,590,217,118503,3885,532357
12,State,Manipur,16,2,272,284,5,NA,NA,NA,757
13,State,Meghalaya,11,NA,243,10,NA,11,52,NA,396
14,State,Nagaland,69,NA,NA,1,7,NA,41,NA,296
15,State,Orissa,196,45,1743,2494,14,NA,NA,14,510
16,State,Punjab,3568,7109,5075,22020,33,8,115793,178,154936
17,State,Rajasthan,389,675,2201,1109,10,9,30840,387,37563
18,State,Tamil Nadu,106,45,44052,56180,122,4755,136872,15484,633642
19,State,Tripura,32,4,27,187,10,NA,3975,NA,5127
20,State,Uttar Pradesh,17422,884,24775,13762,122,243,30440,1515,127112
21,State,West Bengal,1016,NA,12785,1597,1326,37,13700,1771,140765
Total (States),State,Total (States),26946,11312,285648,122821,2804,8194,863026,26180,2580332
22,UT,A & N Islands,3,2,162,920,NA,NA,11,NA,1138
23,UT,Chandigarh,11,38,288,156,1,NA,NA,1,661
24,UT,D & N Haveli,2,NA,NA,NA,NA,NA,NA,NA,7
25,UT,Delhi,727,292,4694,2807,10,167,NA,189,9390
26,UT,Goa,9,4,1965,NA,NA,26,NA,2,2118
27,UT,Lakshadweep,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,UT,Pondicherry,NA,1,995,95,3,NA,1022,NA,5629
Total (UTs),UT,Total (UTs),752,337,8104,3978,14,193,1033,192,18943
Total (All-India),Total (All-India),Total (All-India),27698,11649,293752,126799,2818,8387,757409,26372,2603873
1,City,Ahmedabad,10,NA,5765,NA,NA,NA,100,NA,23942
2,City,Bangalore,4,3,1443,150,12,576,147942,NA,161525
3,City,Bombay,3,NA,19932,NA,587,188,11680,NA,333656
4,City,Calcutta,66,NA,11143,1432,107,37,8487,NA,114182
5,City,Delhi,700,264,4475,2369,9,167,NA,189,8638
6,City,Hyderabad,4,NA,3262,NA,3,436,14026,NA,104856
7,City,Kanpur,1459,80,1635,1001,1,58,2027,NA,8684
8,City,Madras,NA,5,5404,5053,5,572,56772,NA,253598
Total (Cities),City,Total (Cities),2246,352,53059,10005,724,2034,241034,189,1009081
