SL. No.,Nature of Property Stolen & Recovered,Number of Cases in which Property was Stolen,Value of Property Stolen in Rs. Lakhs,Value of Property Recovered in Rs. Lakhs,Percentage of Property Recovered to Value of Property Stolen
1,Wire,14386,99.07,14.29,14.42
2,Cattle,26499,170.19,63.38,37.24
3,Cycle,40476,75.28,21.82,28.99
4,Motor Vehicles & Accessories,8727,554.05,408.76,73.78
5,Fire Arms,946,10.69,3.84,35.92
6,Explosive,65,0.18,0.02,11.11
7,Total,91099,909.46,512.11,56.31
