SL.No.,States/U.Ts.,District,Murder,Culpable Homicide Not Amounting to Murder,Rape,Kidnapping & Abduction,Dacoity,Robbery,Burglary,Thefts,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Total Cognizable Crimes Under IPC
1,Andhra Pradesh,Hyderabad City,22,2,2,30,4,23,785,2501,43,98,133,NA,4089
1,Andhra Pradesh,Vizag North,27,NA,2,1,5,4,238,424,111,37,15,NA,3921
2,Andhra Pradesh,Vizag South,32,NA,NA,5,NA,6,160,533,183,51,13,NA,2576
3,Andhra Pradesh,East Godavari,61,1,1,6,2,3,326,958,94,41,29,NA,5377
4,Andhra Pradesh,West Godavari,52,NA,6,2,7,19,423,1082,228,41,32,3,2534
5,Andhra Pradesh,Krishna,41,3,2,10,11,7,266,753,104,70,28,1,3973
6,Andhra Pradesh,Nellore,18,NA,2,4,2,6,286,522,154,15,12,3,1513
7,Andhra Pradesh,Kurnool,82,NA,1,5,8,7,331,516,185,39,15,1,2092
8,Andhra Pradesh,Ongole,40,1,3,7,6,7,228,422,119,13,6,2,2348
9,Andhra Pradesh,Anantapur,63,NA,7,8,7,6,325,436,186,17,14,1,1723
10,Andhra Pradesh,Guntur,75,NA,3,5,8,8,313,838,190,38,19,1,3572
11,Andhra Pradesh,Cuddapah,82,NA,3,14,7,4,230,389,168,30,9,NA,1594
12,Andhra Pradesh,Chittoor,62,1,1,8,NA,14,427,913,250,50,16,1,3109
13,Andhra Pradesh,Hyderabad District,43,1,3,5,9,6,183,372,99,24,5,NA,1189
14,Andhra Pradesh,Medak,31,1,2,10,9,11,97,163,89,16,1,NA,694
15,Andhra Pradesh,Mehbubnagar,62,3,6,2,7,8,187,276,76,8,8,NA,1093
16,Andhra Pradesh,Nalgonda,41,NA,NA,4,3,4,123,182,53,7,5,NA,1075
17,Andhra Pradesh,Nizamabad,40,2,1,5,6,12,115,222,55,16,5,NA,1700
18,Andhra Pradesh,Adilabad,34,NA,3,1,9,16,113,178,83,12,4,NA,674
19,Andhra Pradesh,Warangal,47,NA,6,4,23,20,179,254,113,6,13,NA,1065
20,Andhra Pradesh,Khammam,37,NA,NA,5,12,5,202,479,311,22,8,NA,1470
21,Andhra Pradesh,Karimnagar,37,NA,4,6,14,15,163,217,91,26,8,NA,1320
22,Andhra Pradesh,R.P. Vijyawada,2,NA,NA,NA,5,11,6,867,49,1,2,NA,1002
23,Andhra Pradesh,R.P. Secunderabad,NA,NA,NA,NA,1,3,NA,174,20,NA,1,NA,211
1,Assam,Goalpara,46,8,14,43,26,17,496,716,568,42,27,2,2986
2,Assam,Kamrup,67,9,15,76,47,56,1081,2040,783,105,75,1,6116
3,Assam,Darrang,65,3,9,32,19,28,646,880,340,40,27,1,3372
4,Assam,Nowgaon,64,3,18,76,25,26,687,872,920,92,41,NA,4341
5,Assam,Sibsagar,86,7,21,87,28,67,783,1199,595,55,26,NA,4833
6,Assam,Dibrugarh,66,7,14,36,16,19,553,877,317,28,14,5,3212
7,Assam,North Lakhimpur,28,2,7,45,11,14,177,276,299,16,23,NA,1493
8,Assam,Mikir Hills,13,1,NA,7,7,4,23,110,48,10,2,NA,417
9,Assam,N.C. Hills,3,NA,NA,3,2,3,13,19,10,1,4,NA,99
10,Assam,Cachar,50,5,19,46,48,20,579,958,510,42,37,NA,3451
1,Bihar,Patna,78,11,11,46,67,121,1196,2473,661,115,76,23,6670
2,Bihar,Gaya,110,14,12,26,120,44,624,1590,545,58,31,1,4656
3,Bihar,Bhojpur,48,10,2,17,75,62,907,795,346,42,14,1,3097
4,Bihar,Rohtas,49,5,5,25,83,77,842,841,387,54,7,2,31090
5,Bihar,Saran,77,18,4,40,112,77,1292,1132,586,45,21,NA,4589
6,Bihar,Champaran,63,22,8,38,115,24,707,905,394,57,28,2,3434
7,Bihar,Muzaffarpur,34,6,1,19,44,15,634,679,312,50,21,1,2279
8,Bihar,Sitamarhi,25,6,4,14,56,6,285,260,234,18,7,NA,1128
