SL. No.,Heads of Crime,Year - 1968,Year - 1969,Year - 1970,Year - 1971,Year - 1972
1,Murder,1.6,1.7,1.6,1.7,1.6
2,Kidnapping & Abduction,1,1,1.1,1,1
3,Dacoity,0.7,0.7,1,1.2,1
4,Robbery,1.2,1.2,1.8,1.9,1.7
5,Burglary,18.1,7.3,7.4,17.4,17
6,Theft,36.6,35.5,35.3,35.2,35.1
7,Riots,5.3,6.6,7.1,6.7,6.7
8,Criminal Breach of Trust,2.6,2.5,2.4,2.1,2.1
9,Cheating,1.5,1.4,1.3,1.2,1.3
10,Counterfeiting,0.2,0.1,0.1,0.1,0.1
11,Miscellaneous,31.2,32,30.9,31.5,32.4
Total,Total,100,100,100,100,100
