SL. No.,Crime Heads,1966,1967,1968,1969,1970,1971,1972,Percentage Change Over 1971
1,Arms Act,10145,12434,18952,20482,19701,23908,27311,14.2
2,Opium Act,8977,9460,10662,10659,10462,11169,11459,2.6
3,Gambling Act,102935,111074,135626,138586,163815,164037,176184,7.4
4,Excise Act,325039,275220,225929,251559,278695,67559,134329,98.8
5,Prohibition Act,NA,NA,NA,NA,NA,440908,219432,-51.2
6,Explosives and Explosive Substances Act,1233,1264,1491,1804,3182,2962,2048,-30.9
7,Suppression of Immoral Traffic in Women & Girls Act,4173,5363,7295,4751,6738**,7746,8384,8.2
8,Motor Vehicles Act,317177,958497,1149983,1008541,1112694**,1014720,750071,-26.1
9,Customs Act,NA,NA,NA,NA,NA,48,28,-41.7
10,Prevention of Corruption Act,NA,NA,NA,NA,NA,361,557,24.3
11,Railways Act,NA,NA,NA,NA,NA,22125,24127,9
12,Offences under other Local & Special Laws declared to be Cognizable but not included above,1228633,1289955,1386694,1356766,1289230,1156553,1161045,0.4
13,Total,1998312,2663267,2936632,2793148,2884517,2912096,2514975,-13.6
