SL. No.,Heads of Offences,Number of Offences,Percentage of Offences to Total Offences
1,Arms Act,213,0.32
2,Opium Act,163,0.25
3,Gambling Act,13299,20.38
4,Excise Act,2281,3.5
5,Prohibition Act,14985,22.97
6,Explosives & Explosive Substances Act,19,0.03
7,Suppression of Immoral Traffic Act,344,0.53
8,Motor Vehicles Act,29,0.05
9,Prevention of Corruption Act,4,0.01
10,Customs Act,NA,NA
11,Indian Railways Act,1336,2.04
12,Miscellaneous,32568,49.92
13,Total,65241,100
