SL. No.,Year,Value of Property Stolen (Rs. in Lakhs),Percentage of Value of Property Recovered
1,1967,2557.1,22.4
2,1968,2957.8,23.4
3,1969,3052.5,21.9
4,1970,3614,22.1
5,1971,3854.6,22.9
6,1972,4542,26.2
