SL. No.,Crime Head,Persons Arrested,Percentage to Total Persons Arrested
1,Arms Act,60047,1.8
2,Opium Act,14575,0.4
3,Gambling Act,324799,9.9
4,Excise Act,113288,3.4
5,Prohibition Act,352202,10.8
6,Explosive & Explosive Substances Act,3308,0.1
7,Suppression of Immoral Traffic Act,15357,0.5
8,Motor Vehicles Act,1125501,34.4
9,Prevention of Corruption Act,393,0
10,Customs Act,102,0
11,Indian Railways Act,35492,1.1
12,Other Offences under Local and Special Laws,1229877,37.6
13,Total of Local and Special Laws,3274941,100
