SL. No.,Years,Boys,Girls,Total,Percentage of Girls
1,1974,132125,8514,140639,6.1
2,1975,132587,9312,141899,6.6
3,1976,124569,9404,133973,7
4,1977,138532,10390,148922,7
5,1978,151187,9732,160919,6
6,1979,160310,9733,170043,5.7
7,1980,178129,9456,187585,5
8,1981,181888,8679,190567,4.6
9,1982,157664,10673,168337,6.3
10,1983,160513,11101,171614,6.5
11,1984,149755,12505,162260,7.7
Percentage Change in 1984 Over 1974,Percentage Change in 1984 Over 1974,13.3,46.9,15.4,NA
Percentage Change in 1984 Over 1983,Percentage Change in 1984 Over 1983,-6.7,12.6,-5.5,NA
