SL. No.,Crime Heads,Number of New Offenders Arrested,Number of Offenders Who have been Arrested in the Past - Once,Number of Offenders Who have been Arrested in the Past - Twice,Number of Offenders Who have been Arrested in the Past - Three time or more,Total
1,Murder,56005,3310,430,98,59843
2,Culpable Homicide Not Amounting to Murder,7274,331,37,31,7673
3,Rape,8855,304,17,3,9179
4,Kidnapping and Abduction,17427,687,67,22,18203
5,Dacoity,38439,2921,1116,492,42968
6,Robbery,25007,2144,641,336,28128
7,Burglary,84148,8393,3150,1690,97381
8,Theft,180572,21609,7393,4293,213867
9,Riots,542193,27070,5811,920,575994
10,Criminal Breach of Trust,15907,695,111,13,16726
11,Cheating,16323,871,146,72,17412
12,Counterfeiting,1370,7,NA,NA,1377
13,Total Cognizable Crimes Under IPC,1945310,98218,25819,10192,2079539
