SL. No.,Category,States/U.Ts/Cities,Murder - 1983,Murder - 1984,Murder - Percentage Variation,Kidnapping & Abduction - 1983,Kidnapping & Abduction - 1984,Kidnapping & Abduction - Percentage Variation,Culpable Homicide Not Amounting to Murder - 1983,Culpable Homicide Not Amounting to Murder - 1984,Culpable Homicide Not Amounting to Murder - Percentage Variation,Rape - 1983,Rape - 1984,Rape - Percentage Variation,Dacoity - 1983,Dacoity - 1984,Dacoity - Perentage Variation,Robbery - 1983,Robbery - 1984,Robbery - Percentage Variation,Burglary - 1983,Burglary - 1984,Burglary - Percentage Variation,Theft - 1983,Theft - 1984,Theft - Percentage Variation,Riots - 1983,Riots - 1984,Riots - Percentage Variation,Criminal Breach of Trust - 1983,Criminal Breach of Trust - 1984,Criminal Breach of Trust - Percentage Variation,Cheating - 1983,Cheating - 1984,Cheating - Percentage Variation,Counterfeiting - 1983,Counterfeiting - 1984,Counterfeiting - Percentage Variation,Total Cognizable Crimes Under IPC - 1983,Total Cognizable Crimes Under IPC - 1984,Total Cognizable Crimes Under IPC - Percentage Variation
1,State,Andhra Pradesh,1401,1654,18.1,452,659,45.8,32,19,-40.6,349,420,20.3,374,307,-17.9,532,597,12.2,6529,6119,-6.3,17251,16137,-6.5,3813,3946,3.5,613,633,3.3,1012,1025,-1.3,84,46,-45.2,84773,82559,-2.6
2,State,Assam,1911,747,-60.9,761,774,1.7,24,25,4.2,265,263,-0.8,519,456,-12.1,698,428,-38.7,4392,4333,-1.3,9735,7870,-19.2,9917,4760,-52,413,411,-0.5,492,473,-3.9,NA,30,NA,48979,35145,-28.2
3,State,Bihar,3107,3088,-0.6,1653,1629,-1.5,628,566,-9.9,643,603,-6.2,3607,3205,-11.1,2156,2047,-5.1,10446,9719,-7,27955,21745,-22.2,17567,15853,-9.8,1408,1345,-4.5,1314,1223,-6.9,14,16,143,108662,104763,-3.6
4,State,Gujarat,958,1031,7.6,561,606,8,5,10,100,92,137,48.9,186,150,-19.4,827,843,1.9,5620,5411,-3.7,18882,18105,-4.1,1974,2057,4.2,1236,1185,-4.1,899,843,-6.2,13,12,-7.7,79559,83930,5.5
5,State,Haryana,366,394,7.7,202,174,-13.9,103,119,15.5,85,115,35.3,26,35,34.6,86,66,-23.3,2300,2219,-3.5,3261,3159,-3.1,215,279,29.8,254,244,-3.9,354,319,-9.9,11,5,-54.5,16774,17912,6.8
6,State,Himachal Pradesh,64,61,-4.7,66,72,9.1,17,15,-11.8,32,25,-21.9,2,1,-50,23,21,-8.7,462,525,13.6,561,504,-10.2,217,308,41.9,100,82,-18,84,89,6,2,NA,-100,4430,5065,14.3
7,State,Jammu & Kashmir,103,120,16.5,461,458,-0.7,8,9,12.5,146,142,-2.7,33,25,-24.2,46,37,-19.6,1366,1341,-1.8,2573,2629,2.2,2022,2066,2.2,141,138,-2.1,205,186,-9.3,NA,NA,NA,17139,17122,-0.1
8,State,Karnataka,947,1117,18,301,278,-7.4,15,19,26.7,119,133,11.8,166,223,34.3,589,537,-8.8,9069,8060,-11.1,17462,16520,-5.4,5735,6254,9,802,673,-16.1,1259,1204,-4.4,131,236,80.2,77304,78866,2
9,State,Kerala,514,514,0,108,152,40.7,24,14,-41.7,116,131,12.9,33,37,12.1,138,155,12.3,4119,4203,2,3468,3385,-2.4,5440,5222,-4,408,301,-26.2,850,946,11.3,97,229,136.1,47309,48932,3.4
10,State,Madhya Pradesh,2593,2669,2.9,1019,953,-6.5,45,48,6.7,1271,1339,5.4,497,492,-1,2660,2508,-5.7,21613,21159,-2.1,42081,40032,-4.9,6602,6051,-8.3,1289,1090,-15.4,1628,1271,-21.9,18,18,0,166355,167945,1
