SL. No.,Ranks,Killed,Injured
1,Constables,171,2962
2,Head Constables,48,644
3,Assistant Sub-Inspectors,14,129
4,Sub-Inspectors,39,509
5,Inspectors,5,214
6,Other (Gazetted Officers),3,173
Total,Total,280,4631
