SL. No.,Crime Head,Number of Cases Reported During - 1983,Number of Cases Reported During - 1984,Percentage of Offences to Total Offences in 1984
1,Arms Act,1576,1193,1.8
2,Opium Act,161,145,0.2
3,Gambling Act,13405,13774,20.5
4,Excise Act,2276,2254,3.4
5,Prohibition Act,21371,17365,25.8
6,Explosives & Explosive Substances Act,88,31,Neg.
7,Suppression of Immoral Traffic Act,2645,1034,1.5
8,Motor Vehicles Act,1662,1533,2.3
9,Prevention of Corruption Act,35,NA,0
10,Customs Act,NA,6,Neg.
11,Indian Railways Act,1795,4380,6.5
12,Other Offences Under Local and Special Laws,28377,25614,38
13,Total Cognizable Crimes Under Local and Special Laws,73391,67329,100
