SL. No.,Category,States/U.Ts/Cities,Gain - Murder,Gain - Culpable Homocide Not Ampunting to Murder (C.H.),Dispute Over Property - Murder,Dispute Over Property - Culpable Homocide Not Ampunting to Murder (C.H.),Personal Venedetta or Enmity - Murder,Personal Venedetta or Enmity - Culpable Homocide Not Ampunting to Murder (C.H.),Sexual Causes - Murder,Sexual Causes - Culpable Homocide Not Ampunting to Murder (C.H.),Sudden Provocation - Murder,Sudden Provocation - Culpable Homocide Not Ampunting to Murder (C.H.),Lunacy - Murder,Lunacy - Culpable Homocide Not Ampunting to Murder (C.H.),Other Causes - Murder,Other Causes - Culpable Homocide Not Ampunting to Murder (C.H.),Total - Murder,Total - Culpable Homocide Not Ampunting to Murder (C.H.)
1,State,Andhra Pradesh,124,2,215,NA,472,NA,227,4,89,7,35,NA,492,6,1654,19
2,State,Assam,34,3,94,4,96,NA,11,NA,79,1,NA,NA,433,17,747,25
3,State,Bihar,364,109,576,106,544,73,153,41,364,90,62,30,1025,117,3088,566
4,State,Gujarat,31,NA,87,1,87,1,138,4,162,4,2,NA,524,NA,1031,10
5,State,Haryana,16,4,84,27,47,7,38,1,58,32,17,13,134,35,394,119
6,State,Himachal Pradesh,2,NA,9,2,2,NA,10,1,9,6,NA,NA,29,6,61,15
7,State,Jammu and Kashmir,8,NA,8,2,18,NA,4,NA,3,2,NA,NA,79,5,120,9
8,State,Karnataka,63,NA,171,NA,145,NA,153,1,110,3,6,NA,569,15,1117,19
9,State,Kerala,23,NA,36,NA,191,1,7,NA,51,NA,4,NA,202,13,514,14
10,State,Madhya Pradesh,126,NA,337,NA,461,3,147,NA,261,2,8,NA,1329,43,2669,48
11,State,Maharashtra,98,6,138,4,226,NA,173,3,369,16,12,1,1142,35,2158,65
12,State,Manipur,42,1,12,2,3,1,NA,NA,NA,3,1,NA,10,NA,68,7
13,State,Meghalaya,3,NA,3,NA,NA,NA,NA,NA,5,4,NA,NA,52,28,63,32
14,State,Nagaland,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,24,5,27,5
15,State,Orissa,23,1,37,4,62,3,29,NA,163,19,1,NA,273,44,588,71
16,State,Punjab,7,3,91,4,35,5,50,9,85,63,NA,NA,476,90,744,174
17,State,Rajasthan,40,1,103,NA,285,6,30,NA,58,8,8,NA,481,43,1005,58
18,State,Sikkim,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,3,NA
19,State,Tamil Nadu,57,NA,157,NA,249,NA,199,NA,129,4,16,NA,604,8,1411,12
20,State,Tripura,25,7,30,1,7,2,21,NA,10,4,NA,NA,25,2,118,16
21,State,Uttar Pradesh,655,236,1056,209,1943,375,318,70,142,149,24,13,2186,842,6324,1894
22,State,West Bengal,156,56,197,144,309,83,38,22,69,46,2,2,667,289,1438,642
Total (States),State,Total (States),1897,429,3442,510,5184,560,1746,156,2218,463,199,59,10656,1643,25342,3820
23,UT,A & N Islands,2,NA,1,NA,2,1,2,NA,3,NA,NA,NA,7,NA,17,1
24,UT,Arunachal Pradesh,2,NA,6,NA,3,1,1,NA,4,2,1,NA,12,NA,29,3
25,UT,Chandigarh,3,NA,1,NA,2,NA,NA,NA,1,3,NA,NA,2,NA,9,3
26,UT,D & N Haveli,NA,NA,1,NA,3,NA,NA,NA,2,NA,NA,NA,NA,NA,6,NA
27,UT,Delhi,18,10,23,54,54,29,15,9,59,42,NA,NA,148,111,317,255
28,UT,"Goa, Daman & Diu",2,NA,2,NA,2,NA,NA,NA,12,9,1,NA,4,NA,23,9
29,UT,Lakshadweep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2
30,UT,Mizoram,9,NA,NA,NA,NA,NA,NA,NA,7,NA,2,NA,11,NA,29,NA
31,UT,Pondicherry,2,NA,NA,NA,6,NA,2,NA,2,NA,NA,NA,2,NA,14,NA
Total (UTs),UT,Total (UTs),38,10,34,54,72,31,20,9,90,56,4,NA,186,113,444,273
All India,All India,All India,1935,439,3476,564,5256,591,1766,165,2308,519,203,59,10842,1756,25786,4093
1,City,Ahmedabad,NA,NA,NA,NA,14,NA,6,NA,18,3,NA,NA,30,NA,68,3
2,City,Bangalore,3,NA,5,NA,7,NA,3,NA,7,NA,2,NA,23,2,50,2
3,City,Bombay,27,NA,5,1,53,NA,11,NA,59,1,NA,NA,133,11,288,13
4,City,Calcutta,4,2,9,2,19,4,NA,NA,NA,NA,NA,NA,49,3,81,11
5,City,Delhi,15,10,18,46,46,29,15,9,53,42,NA,NA,137,106,284,242
6,City,Hyderabad,3,NA,2,NA,5,NA,9,NA,6,NA,NA,NA,70,1,95,1
7,City,Jaipur,2,NA,5,NA,11,NA,1,NA,6,2,NA,NA,15,NA,40,2
8,City,Kanpur,13,NA,13,NA,46,8,5,NA,3,1,NA,NA,84,16,164,25
9,City,Lucknow,6,NA,5,NA,15,1,6,1,NA,NA,NA,NA,40,17,72,19
10,City,Madras,NA,NA,NA,NA,8,NA,6,NA,NA,4,NA,NA,29,NA,43,4
11,City,Nagpur,4,NA,2,NA,16,NA,5,NA,13,1,NA,NA,16,NA,56,1
12,City,Pune,1,1,NA,NA,3,NA,10,2,11,1,NA,NA,35,1,60,5
Total (Cities),City,Total (Cities),78,13,64,49,243,42,77,12,176,55,2,NA,661,157,1301,328
