SL. No.,Crime Head,Total number of persons under trial during the year including persons carried over from previous year,Number of persons against whom cases were compounded or withdrawn,Persons in whose cases trials were completed,Persons in custody or on bail at the end of the year,Number of Persons convicted during the year,Percentage of persons in custody pending trial to total number of persons under trial,Percentage of persons convicted to total persons in whose cases trials were completed during the year
1,Arms Act,198919,541,56696,141682,38023,71.2,67.1
2,Opium Act,37001,34,12137,24830,9586,67.1,79
3,Gambling Act,595736,4589,307770,283377,244765,47.6,79.5
4,Excise Act,285325,898,105108,179319,77937,62.8,74.1
5,Prohibition Act,783440,84623,262615,436202,123876,55.7,47.2
6,Explosive & Explosive Substances Act,9520,188,2130,7202,1139,75.7,53.5
7,Suppression of Immoral Traffic Act,23065,403,15124,7538,13246,32.7,87.6
8,Motor Vehicles Act,1342822,11950,1103276,227596,1037221,17,94
9,Prevention of Corruption Act,953,3,197,753,98,79,49.7
10,Customs Act,492,NA,30,462,24,93.9,80
11,Indian Railways Act,45774,69,34822,10883,33988,23.8,97.6
12,Other Offences Under Local and Special Laws,1487444,15997,1172694,298753,1036470,20.1,88
13,Total Cognizable Crimes Under Local and Special Laws,4810491,119295,3072599,1618597,2616373,33.7,85.2
