SL. No.,Year,Estimated Population in Millions (Mid-Year),Total Cognizable Crime Under the IPC,Rate of Crime Per Lakh of Population
1,1974,588.3,1192277,202.7
2,1975,600.8,1160520,193.2
3,1976,613.3,1093897,178.4
4,1977,625.8,1267004,202.5
5,1978,638.4,1344968,210.7
6,1979,651,1336168,205.2
7,1980,663.6,1368529,206.2
8,1981,690.1,1385757,200.8
9,1982,705.2,1353904,192
10,1983,720.4,1349866,187.4
11,1984,735.6,1358660,184.7
Percentage Change in 1984 Over 1974,Percentage Change in 1984 Over 1974,25,14,-8.9
