SL. No.,Category,States/UTs/Cities,Murder - Incidence (I),Murder - Volume (V),Culpable Homicide Not Amounting to Murder - Incidence (I),Culpable Homicide Not Amounting to Murder - Volume (V),Rape - Incidence (I),Rape - Volume (V),Kidnapping & Abduction - Incidence (I),Kidnapping & Abduction - Volume (V),Dacoity - Incidence (I),Dacoity - Volume (V),Robbery - Incidence (I),Robbery - Volume (V),Burglary - Incidence (I),Burglary - Volume (V),Theft - Incidence (I),Theft - Volume (V),Riots - Incidence (I),Riots - Volume (V),Criminal Breach of Trust - Incidence (I),Criminal Breach of Trust - Volume (V),Cheating - Incidence (I),Cheating - Volume (V),Counterfeiting - Incidence (I),Counterfeiting - Volume (V),Total Cognizable Crimes Under IPC - Incidence (I),Total Cognizable Crimes Under IPC - Volume (V)
26,UT,D & N Haveli,6,5.3,NA,0,1,0.9,1,0.9,1,0.9,4,3.5,62,54.7,35,30.9,19,16.8,1,0.9,5,4.4,NA,0,283,249.6
27,UT,Delhi,317,4.4,255,3.6,102,1.4,1177,16.5,53,0.7,235,3.3,1811,25.4,13941,195.4,452,6.3,439,6.2,799,11.2,25,0.4,30773,431.2
28,UT,"Goa, Daman & Diu",23,2,9,0.8,7,0.6,8,0.7,3,0.3,51,4.3,507,43.1,743,63.1,263,22.3,42,3.6,36,3.1,4,0.3,3090,262.5
29,UT,Lakshadweep,NA,0,2,4.7,NA,0,NA,0,NA,0,NA,0,3,7.1,7,16.5,NA,0,1,2.4,NA,0,NA,0,23,54.2
30,UT,Mizoram,29,5.1,NA,0,34,6,11,1.9,3,0.5,42,7.4,71,12.6,208,36.8,1,0.2,40,7.1,23,4.1,6,1.1,1577,279.1
31,UT,Pondicherry,14,2.1,NA,0,8,1.2,12,1.8,1,0.2,7,1.1,174,26.6,737,112.8,124,19,38,5.8,29,4.4,5,0.8,2613,400
Total (UTs),UT,Total (UTs),444,0.4,273,0.2,165,0.1,1256,1.1,70,0.1,375,0.3,2953,2.6,16693,15,927,0.8,638,0.6,966,0.9,44,0,41864,37.6
All India,All India,All India,25786,3.5,4093,0.6,6740,0.9,15141,2.1,12301,1.7,23204,3.2,136272,18.5,330669,44.9,101460,13.8,18428,2.5,19077,2.6,1118,0.2,1358660,184.7
1,City,Ahmedabad,68,3.1,3,0.1,7,0.3,101,4.6,11,0.5,51,2.3,510,23,2503,112.9,247,11.1,104,4.7,152,6.9,2,0.1,10156,457.9
2,City,Bangalore,50,1.7,2,0.1,17,0.6,48,1.7,8,0.3,225,7.8,1487,51.6,6012,208.7,518,18,200,6.9,493,17.1,112,3.9,16354,567.8
3,City,Bombay,288,3.1,13,0.1,81,0.9,204,2.2,73,0.8,557,6.1,2089,22.8,13329,145.4,349,3.8,803,8.8,974,10.6,29,0.3,31150,339.9
4,City,Calcutta,81,2.4,11,0.3,22,0.7,156,4.7,52,1.6,361,10.8,910,27.3,6916,207.1,729,21.8,338,10.1,390,11.7,44,1.3,13877,415.6
5,City,Delhi,284,5.2,242,4.4,99,1.8,1145,20.8,47,0.9,214,3.9,1746,31.7,13484,245.2,406,7.4,431,7.8,768,14,25,0.5,29243,531.7
6,City,Hyderabad,95,4.2,1,0,29,1.3,85,3.7,21,0.9,99,4.4,1161,51.2,2723,120.1,821,36.2,93,4.1,321,14.2,32,1.4,7491,330.4
7,City,Jaipur,40,3.5,2,0.2,13,1.1,100,8.8,3,0.3,77,6.8,413,36.4,1356,119.4,649,57.2,84,7.4,202,17.8,4,0.4,5137,452.4
8,City,Kanpur,164,10.2,25,1.6,51,3.2,187,11.7,103,6.4,278,17.4,832,52,2645,165.2,1336,83.5,309,19.3,296,18.5,NA,0,6226,388.9
9,City,Lucknow,72,2,19,0.5,29,0.8,10,3,38,1.1,126,3.5,763,21.2,2957,82,238,6.6,299,8.3,222,6.2,17,0.5,6839,189.6
10,City,Madras,43,1.2,4,0.1,21,0.6,20,0.6,1,0,58,1.6,456,12.7,4260,118.2,137,3.8,129,3.6,312,8.7,17,0.5,10561,293
11,City,Nagpur,56,4.1,1,0.1,44,3.2,72,5.3,13,1,261,19.1,669,49,2442,179,202,14.8,72,5.3,155,11.4,7,0.5,7060,517.4
12,City,Pune,60,4.5,5,0.4,24,1.8,49,3.6,5,0.4,94,7,654,48.6,2131,158.3,202,15,96,7.1,156,11.6,2,0.1,8319,618.1
Total (Cities),City,Total (Cities),1301,3.7,328,0.9,437,1.2,2275,6.4,375,1.1,2401,6.8,11690,33.1,60758,171.8,5834,16.5,2958,8.4,4441,12.6,291,0.8,152413,431
