SL. No.,Category,State/U.Ts./Cities,1979,1980,1981,1982,1983,Quinquennial Average of 1979 to 1983 (Q.A.),1984,"Percentage Variation in 1984 (+) Increase, (-) Decrease - Over - Quinquennial Average","Percentage Variation in 1984 (+) Increase, (-) Decrease - Over - 1983",Volume of Crime in 1984 Per Lakh of Population
1,State,Andhra Pradesh,76709,69320,75294,79722,84773,77164,82559,7,-2.6,144.6
2,State,Assam,40334,43773,43797,43632,48979,44103,35145,-20.3,-28.2,163.2
3,State,Bihar,101146,104225,107006,106768,108662,105562,104763,-0.8,-3.6,139.6
4,State,Gujarat,6250,61713,78639,80740,79559,72632,83930,15.6,5.5,229.8
5,State,Haryana,16297,16600,16699,16563,16774,16587,17912,8,6.8,126.3
6,State,Himachal Pradesh,4801,4864,4197,3989,4430,4457,5065,13.6,14.3,111
7,State,Jammu and Kashmir,14118,15075,15973,15523,17139,15568,17122,10,-0.1,265.5
8,State,Karnataka,75883,77443,79605,74479,77304,76943,78866,2.5,2,197.4
9,State,Kerala,43412,7641,58064,46096,47309,46505,48932,5.2,3.4,181
10,State,Madhya Pradesh,160787,169751,169119,170310,166355,16726,167945,0.4,1,299.2
11,State,Maharashtra,154372,167347,172976,165747,157249,163539,5065,0.1,14.3,242.5
12,State,Manipur,3242,3505,3278,3081,3069,3235,2886,-10.8,-6,186.6
13,State,Meghalaya,2280,2203,2122,1733,1646,199,1613,-19.2,-2,109.6
14,State,Nagaland,834,919,993,1058,1940,1149,1964,70.9,1.2,220.9
15,State,Orissa,42595,48081,47780,48060,44662,46236,44817,-3.1,0.3,160.1
16,State,Punjab,12128,11679,13588,12263,13960,12724,12828,0.8,-8.1,71.3
17,State,Rajasthan,59877,60846,67052,73610,71367,66551,71672,7.7,0.4,191
18,State,Sikkim,318,281,295,226,257,276,283,2.5,10.1,78.9
19,State,Tamil Nadu,104745,116110,118471,115410,114416,113831,113714,-0.1,-0.6,222.3
20,State,Tripura,5766,6098,4178,5486,5900,5486,6025,9.8,2.1,269.3
21,State,Uttar Pradesh,206230,198131,185485,167747,164926,184504,180189,-2.3,9.3,151.5
22,State,West Bengal,92367,93618,89207,83379,81239,87962,74899,-14.9,-7.8,128.4
Total (States),State,Total (States),1280749,1319223,1343818,1315622,1311915,1314265,1316796,0.2,0.4,181.8
23,UT,A & N Islands,703,805,737,702,755,741,739,-0.3,-2.1,333.9
24,UT,Arunachal Pradesh,615,852,841,1011,1071,878,960,9.3,-10.4,138.1
25,UT,Chandigarh,2430,2118,1683,1617,1612,1892,1806,-4.5,12,333.5
26,UT,D & N Haveli,191,177,192,272,205,208,283,36.1,38,249.6
27,UT,Delhi,44078,37588,30636,27163,27360,33365,30773,-7.8,12.5,431.2
28,UT,"Goa, Daman & Diu",2209,2927,3418,3218,2936,2942,3090,5,5.2,262.5
29,UT,Lakshadweep,6,15,12,15,18,13,23,76.9,27.8,54.2
30,UT,Mizoram,1277,1055,1506,1709,1696,1449,1577,8.8,-7,279.1
31,UT,Pondicherry,3910,3769,2914,2575,2298,3093,2613,-15.5,13.7,400
Total (UTs),UT,Total (UTs),55419,49306,41939,38282,37951,44579,41864,-6.1,10.3,375.6
All India,All India,All India,1336168,1368529,1385757,1353904,1349866,1358845,1358660,0,0.7,184.7
1,City,Ahmedabad,8017,868,10502,11432,10500,9826,10156,3.4,-3.3,457.9
2,City,Bangalore,22439,18307,17122,14818,14149,17367,16354,-5.8,15.6,567.8
3,City,Bombay,36448,35695,35263,34696,31722,34765,31150,-10.4,-1.8,339.9
4,City,Calcutta,13104,13981,13951,13249,14062,13670,13877,1.5,-1.3,415.6
5,City,Delhi,41552,35648,29341,25855,26070,30294,29243,-3.5,12.2,531.7
6,City,Hyderabad,8478,7412,6870,6510,6649,7184,7491,4.3,12.7,330.4
7,City,Jaipur,NA,NA,5577,5173,4491,5081,5137,1.1,14.4,452.4
8,City,Kanpur,10546,6300,5882,6017,6638,7077,6226,-12,-6.2,388.9
9,City,Lucknow,NA,NA,10291,9100,6659,8684,6839,-21.2,2.7,723.7
10,City,Madras,17288,17279,15693,13375,13816,15490,10561,-31.8,-23.6,293
11,City,Nagpur,NA,NA,5750,16763,6148,9554,7060,-26.1,14.8,517.4
12,City,Pune,NA,NA,8031,7892,7517,7813,8319,6.5,10.7,618.1
Total (Cities),City,Total (Cities),157872,143300,164273,164880,148421,155749,152413,-2.1,2.7,431
