SL. No.,Crime Heads,Total number of persons under trial during the year including persons carried over from previous year,Number of persons against whom cases were compounded or withdrawn,Persons in whose cases trials were completed,Persons in custody or on bail at the end of the year,Persons convicted during the year,Percentage of persons in custody or on bail pending trial to total number of persons under trial,Percentage of persons convicted to total persons in whose cases trials were completed during the year
1,Murder,182385,970,45341,136074,19360,74.6,42.7
2,Culpable Homicide Not Amounting to Murder,21630,190,5911,15529,2627,71.8,44.4
3,Rape,23780,109,6228,17443,2426,73.4,39
4,Kidnapping & Abduction,58609,1446,12561,44602,4325,76.1,34.4
5,Dacoity,160604,967,31634,128003,10974,79.7,34.7
6,Robbery,93330,1003,18781,73546,7626,78.8,40.6
7,Burglary,327770,8108,72396,247266,33964,75.4,46.9
8,Theft,689376,21777,148501,519098,74587,75.3,50.2
9,Riot,1912512,112957,318847,1480708,115925,77.4,36.4
10,Criminal Breach of Trust,64878,1368,10915,52595,4826,81.1,44.2
11,Cheating,59912,1776,10868,47268,4540,78.9,41.8
12,Counterfeiting,2553,26,881,1646,473,64.5,53.7
13,Total Cognizable Crime Under IPC,6210657,322953,1268233,4619471,560939,74.4,44.2
