SL. No.,Category,States/U.Ts/Cities,Residential Premises - Number of Cases Reported,Residential Premises - Value of Property Stolen,Highways - Number of Cases Reported,Highways - Value of Property Stolen,Rivers & Seas - Number of Cases Reported,Rivers & Seas - Value of Property Stolen,Railways - Number of Cases Reported,Railways - Value of Property Stolen,Banks - Number of Cases Reported,Banks - Value of Property Stolen,Commercial Establishments - Number of Cases Reported,Commercial Establishments - Value of Property Stolen,Other Places - Number of Cases Reported,Other Places - Value of Property Stolen,Total - Number of Cases Reported,Total - Value of Property Stolen
1,State,Andhra Pradesh,129,16.26,178,19.12,5,0.12,7,0.16,3,0.79,78,0.35,197,9.81,597,46.62
2,State,Assam,162,2.75,54,0.52,NA,NA,4,0.01,NA,NA,9,0.16,199,2.97,428,6.41
3,State,Bihar,1577,28.91,219,4.32,NA,NA,95,2.11,3,2.04,5,0.27,148,2.5,2047,40.15
4,State,Gujarat,101,2.07,64,13.27,4,0.14,4,0.04,1,3.11,9,0.2,660,18,843,36.85
5,State,Haryana,3,Neg.,5,0.22,NA,NA,NA,NA,NA,NA,NA,NA,58,10.13,66,10.35
6,State,Himachal Pradesh,2,0.01,1,Neg.,NA,NA,1,0.06,1,0.45,NA,NA,16,3.28,21,3.8
7,State,Jammu and Kashmir,9,0.37,1,Neg.,NA,NA,NA,NA,1,0.02,26,3.23,NA,NA,37,3.63
8,State,Karnataka,126,9.83,17,1.35,NA,NA,6,0.05,2,1.09,5,0.24,381,13.54,537,26.1
9,State,Kerala,44,4.02,4,2.02,2,0.37,4,0.35,NA,NA,2,0.01,99,1.53,155,8.29
10,State,Madhya Pradesh,550,10.53,612,13.78,5,0.03,42,0.64,3,6.78,30,1.1,1266,39.54,2508,72.41
11,State,Maharashtra,460,32.74,194,12.09,NA,NA,74,0.9,4,1.61,148,5.04,2347,124.76,3227,177.14
12,State,Manipur,19,1.06,11,0.96,NA,NA,NA,NA,1,0.04,5,0.07,29,1.54,65,3.66
13,State,Meghalaya,7,0.12,3,0.02,NA,NA,NA,NA,NA,NA,NA,NA,22,0.36,32,0.49
14,State,Nagaland,6,0.17,24,0.67,NA,NA,NA,NA,NA,NA,3,0.08,22,0.61,55,1.54
15,State,Orissa,262,2.34,154,5.72,NA,NA,4,0.19,NA,NA,NA,NA,354,15.59,774,23.83
16,State,Punjab,10,1.71,7,1.5,NA,NA,3,0.08,12,7.25,NA,NA,71,6.18,103,16.72
17,State,Rajasthan,149,1.78,31,3.45,NA,NA,14,0.05,4,4.29,NA,NA,933,46.28,1131,55.84
18,State,Sikkim,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0.09,5,0.09
19,State,Tamil Nadu,107,5.14,23,1.65,NA,NA,2,Neg.,NA,NA,NA,NA,222,9.45,354,16.24
20,State,Tripura,76,1.07,20,0.48,NA,NA,NA,NA,NA,NA,4,0.07,154,1.17,254,2.79
21,State,Uttar Pradesh,3786,105.98,593,55.35,NA,NA,NA,NA,14,8.77,7,0.12,3993,185.64,8393,355.86
22,State,West Bengal,597,35.46,329,6.72,1,0.27,11,0.22,NA,NA,18,10.2,241,0.31,1197,53.18
