SL. No.,States/U.Ts.,Districts,Murder,Culpable Homicide Not Amounting to Murder,Rape,Kidnapping & Abduction,Dacoity,Robbery,Burglary,Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Total Cognizable Crimes Under IPC
13,Jammu Kashmir,Srinagar,4,NA,26,71,4,6,279,384,363,15,57,NA,3355
14,Jammu Kashmir,Udhampur,13,NA,24,30,5,4,134,180,79,7,8,NA,1174
15,Jammu Kashmir,Railways,NA,NA,NA,NA,NA,NA,3,27,2,1,2,NA,44
1,Karnataka,Bangalore City,84,2,20,94,15,249,1788,7222,555,199,578,115,20290
2,Karnataka,Bangalore Distt.,63,1,7,12,22,24,441,730,333,6,74,1,4321
3,Karnataka,Kolar,36,1,4,5,11,25,320,505,212,29,44,4,3229
4,Karnataka,K.G.F.,7,NA,4,4,2,6,168,216,94,7,4,NA,970
5,Karnataka,Tumkur,45,NA,6,12,7,18,492,609,233,17,21,2,4413
6,Karnataka,ChitraDurga,50,1,10,13,10,12,317,531,329,17,26,1,3894
7,Karnataka,Shimoga,35,1,6,6,8,6,312,403,211,18,17,9,2864
8,Karnataka,Mysore,59,NA,9,12,7,29,771,1369,244,38,65,2,5500
9,Karnataka,Mandya,40,NA,5,7,1,8,356,379,96,24,18,2,2807
10,Karnataka,Hassan,47,NA,4,7,8,18,349,502,292,10,15,5,2568
11,Karnataka,Chickmagalur,27,NA,2,1,7,6,214,200,183,4,6,NA,1473
12,Karnataka,Kodagu,28,NA,5,3,NA,4,173,167,51,6,8,2,1532
13,Karnataka,Dakshina Kannada,39,2,5,5,1,15,398,363,407,16,30,18,3567
14,Karnataka,Belgaum,128,2,5,20,10,24,349,619,629,63,94,8,4115
15,Karnataka,Bijapur,105,2,4,19,14,9,185,328,458,47,40,3,2750
16,Karnataka,Dharwad,83,NA,8,24,60,28,487,820,728,76,72,43,4903
17,Karnataka,Uttara Kannada,16,NA,2,3,4,5,184,227,166,8,15,1,1730
18,Karnataka,Gulbarga,71,4,9,9,2,10,189,299,286,15,17,NA,1973
19,Karnataka,Bidar,30,2,3,7,6,7,110,186,148,9,17,NA,1218
20,Karnataka,Raichur,71,1,10,2,14,16,204,221,374,16,18,12,2152
21,Karnataka,Bellary,48,NA,4,10,12,12,247,350,199,47,21,8,2143
22,Karnataka,Railways,5,NA,1,3,2,6,6,274,23,1,4,NA,453
1,Kerala,Trivandrum City,6,NA,6,5,4,13,405,505,248,29,51,NA,2699
2,Kerala,Trivandrum Rural,37,1,8,8,1,3,392,270,433,10,36,NA,4492
3,Kerala,Quilon,41,NA,9,11,3,4,232,132,340,29,28,NA,3194
4,Kerala,Pathanamthitta,22,NA,1,11,2,1,161,61,239,11,24,NA,1994
5,Kerala,Alleppey,27,NA,2,5,2,12,281,252,495,11,53,NA,4235
6,Kerala,Kottayam,48,NA,6,6,6,4,356,211,212,26,39,NA,3412
7,Kerala,Idukki,32,1,10,9,NA,31,214,202,272,16,9,NA,2281
8,Kerala,Ernakulam City,20,1,2,10,4,15,353,280,251,23,69,NA,2757
9,Kerala,Ernakulam Rural,35,NA,11,8,3,14,251,216,305,10,43,NA,2776
10,Kerala,Trichur,49,1,9,17,2,12,290,215,413,25,68,NA,3829
11,Kerala,Palghat,55,2,12,14,4,10,313,194,454,26,51,NA,3411
12,Kerala,Malappuram,22,2,12,13,1,4,187,131,283,15,17,3,2630
13,Kerala,Calicut City,6,1,1,2,NA,2,185,150,222,16,30,3,1884
14,Kerala,Calicut Rural,17,1,20,8,NA,3,140,107,297,5,23,NA,2275
15,Kerala,Wynad,13,NA,10,10,3,5,102,135,127,8,20,NA,1300
16,Kerala,Cannanore,27,3,5,9,NA,10,245,109,405,14,66,NA,3225
17,Kerala,Kasaragode,21,1,7,5,1,6,79,57,213,9,20,NA,1578
18,Kerala,Railways,1,NA,NA,NA,1,5,6,147,5,2,1,2,281
19,Kerala,Crime Branch,35,NA,NA,1,NA,1,11,11,8,16,298,221,659
1,Madhya Pradesh,Gwalior,118,2,21,32,29,118,840,1596,190,22,61,1,5911
2,Madhya Pradesh,Bhind,89,NA,6,15,8,55,369,604,147,8,35,1,2562
3,Madhya Pradesh,Datiya,20,1,5,7,NA,15,114,173,29,1,7,NA,942
4,Madhya Pradesh,Murraina,76,5,18,20,6,58,455,775,302,17,32,1,4069
5,Madhya Pradesh,Shivpuri,56,NA,21,12,5,32,261,342,140,6,15,NA,2701
6,Madhya Pradesh,Guna,54,NA,36,14,6,52,377,544,159,30,28,NA,2964
7,Madhya Pradesh,Indore,75,1,43,43,33,125,941,2533,273,92,123,NA,9794
8,Madhya Pradesh,Dhar,74,2,42,36,12,45,354,1136,125,33,23,NA,3560
9,Madhya Pradesh,Jhabua,165,3,29,122,19,168,270,689,136,26,16,NA,3480
10,Madhya Pradesh,Khargoan,66,2,33,32,7,57,365,1093,82,52,26,1,3809
11,Madhya Pradesh,Khandawa,29,1,18,16,8,31,304,1002,81,20,5,NA,3832
12,Madhya Pradesh,Ujjain,64,NA,27,30,5,97,613,1499,209,63,51,NA,5562
13,Madhya Pradesh,Mandsaur,37,1,45,36,6,73,830,1523,191,67,29,NA,4921
14,Madhya Pradesh,Ratlam,42,1,23,18,14,54,448,1021,151,70,26,NA,3465
15,Madhya Pradesh,Dewas,37,2,47,10,6,39,409,1005,183,27,32,NA,3744
16,Madhya Pradesh,Shajapur,34,4,28,17,4,55,503,721,169,14,19,NA,2992
17,Madhya Pradesh,Jabalpur,106,3,60,40,30,133,1137,2020,523,27,78,4,10342
18,Madhya Pradesh,Mandla,34,1,17,12,25,23,388,410,50,15,40,NA,2226
19,Madhya Pradesh,Chindwada,80,1,41,16,10,44,394,658,67,22,26,NA,3915
20,Madhya Pradesh,Balaghat,29,NA,42,9,2,36,471,819,48,22,39,NA,2916
21,Madhya Pradesh,Sivani,28,1,25,9,NA,22,206,409,58,14,22,NA,1822
22,Madhya Pradesh,Narsinghpur,40,1,22,4,3,22,227,419,56,9,5,NA,1839
23,Madhya Pradesh,Sagar,72,1,57,24,10,93,697,906,111,25,28,NA,5402
24,Madhya Pradesh,Panna,25,NA,6,4,10,23,153,192,67,3,8,NA,1237
25,Madhya Pradesh,Damoh,39,NA,23,21,14,44,295,384,104,4,11,NA,2428
26,Madhya Pradesh,Chattarpur,66,NA,17,4,35,75,340,325,70,14,15,NA,2089
27,Madhya Pradesh,Tikamgarh,21,NA,23,2,7,35,162,198,69,6,6,NA,1402
28,Madhya Pradesh,Raipur,86,7,59,17,12,64,985,1671,150,38,50,NA,6294
29,Madhya Pradesh,Durg,48,NA,46,43,13,41,759,1683,104,49,44,NA,6027
30,Madhya Pradesh,Rajnandgaon,36,1,29,14,9,28,420,596,107,19,24,NA,2845
31,Madhya Pradesh,Bastar,199,NA,29,30,14,61,404,865,118,21,29,1,4547
32,Madhya Pradesh,Bilaspur,99,NA,25,34,7,53,940,2005,232,48,50,1,6509
33,Madhya Pradesh,Raigarh,61,NA,21,17,9,44,367,516,93,42,17,NA,2495
34,Madhya Pradesh,Sarguja,92,2,43,23,8,51,835,825,133,17,19,NA,3481
35,Madhya Pradesh,Riva,43,1,27,20,21,47,713,915,144,6,18,NA,3631
36,Madhya Pradesh,Satna,45,NA,11,10,17,80,508,511,141,10,18,NA,2497
37,Madhya Pradesh,Sidhi,32,NA,8,4,19,20,348,360,35,11,5,1,1734
38,Madhya Pradesh,Shehdol,46,2,26,14,4,26,571,527,112,12,23,NA,2939
39,Madhya Pradesh,Sehore,26,NA,22,12,1,31,228,484,135,12,4,6,2401
40,Madhya Pradesh,Raisen,45,NA,34,17,7,33,228,463,92,13,8,NA,2206
41,Madhya Pradesh,Hoshangabad,46,NA,38,12,4,32,275,552,55,14,16,NA,2720
42,Madhya Pradesh,Betul,47,NA,18,NA,4,26,271,401,48,10,10,NA,2260
43,Madhya Pradesh,Vidisha,38,NA,58,18,6,36,319,638,144,23,20,NA,2901
44,Madhya Pradesh,Rajgarh,34,2,30,17,8,58,266,450,96,12,15,NA,2068
45,Madhya Pradesh,Bhopal,55,NA,29,42,10,100,740,1906,181,17,79,1,8322
46,Madhya Pradesh,Railway Police Jabalpur,3,NA,1,NA,1,13,12,311,10,1,2,NA,457
47,Madhya Pradesh,Railway Police Raipur,1,NA,4,1,3,8,19,535,6,2,2,NA,485
48,Madhya Pradesh,Railway Police Indore,2,NA,4,1,NA,9,4,321,8,2,3,NA,484
49,Madhya Pradesh,Railway Police Bhopal,8,NA,2,2,1,23,24,683,17,2,9,NA,986
1,Maharashtra,Thane Rural,114,NA,21,34,54,122,642,844,307,93,26,NA,5061
2,Maharashtra,Raigarh,86,2,13,16,55,55,435,756,389,55,27,NA,3899
3,Maharashtra,Ratnagiri,27,NA,5,4,NA,13,267,223,71,16,13,1,1400
4,Maharashtra,Sindhudurg,7,NA,3,7,1,20,154,156,32,7,6,NA,909
5,Maharashtra,Ahmednagar,68,NA,21,10,15,114,386,986,140,61,37,2,3903
6,Maharashtra,Nasik,77,2,28,27,36,85,595,1761,425,91,47,1,7122
7,Maharashtra,Dhule,70,NA,16,4,26,44,287,785,143,78,20,1,3316
8,Maharashtra,Jalgaon,64,NA,21,13,22,87,367,1260,202,124,36,2,4941
9,Maharashtra,Pune Rural,66,1,19,12,31,66,415,623,178,27,9,NA,3320
10,Maharashtra,Satara,55,NA,16,15,8,47,423,823,142,72,43,2,2945
11,Maharashtra,Sangli,73,NA,16,18,7,31,278,532,60,45,29,NA,1982
12,Maharashtra,Solapur,89,12,14,26,26,107,354,864,315,77,52,NA,3945
13,Maharashtra,Kolhapur,57,2,10,14,14,32,373,823,229,63,34,3,2592
14,Maharashtra,Aurangabad,57,NA,9,32,20,88,408,1194,132,44,37,1,4120
15,Maharashtra,Jalana,45,17,7,13,16,59,262,651,118,23,14,NA,2528
16,Maharashtra,Parbhani,39,1,11,17,19,131,354,849,76,34,28,NA,3075
17,Maharashtra,Beed,39,NA,5,24,21,99,301,517,200,37,26,1,2509
18,Maharashtra,Nanded,66,NA,12,21,31,102,360,797,166,48,18,NA,3365
19,Maharashtra,Osmanabad,31,NA,4,17,8,39,129,454,98,12,24,NA,1556
20,Maharashtra,Latur,37,NA,8,15,1,44,199,508,96,14,20,NA,1920
21,Maharashtra,Buldhana,34,NA,24,18,18,64,459,1503,116,38,27,2,4232
22,Maharashtra,Akola,68,NA,30,37,11,108,850,2524,140,48,48,NA,6577
23,Maharashtra,Amravati,73,NA,51,44,9,168,921,3080,151,57,56,NA,7397
24,Maharashtra,Yevatmal,45,2,31,28,16,47,423,1519,112,69,32,NA,4381
25,Maharashtra,Wardha,46,NA,30,14,1,60,405,963,86,16,28,NA,3133
26,Maharashtra,Nagpur (Rural),37,NA,22,16,10,55,393,1200,96,32,17,NA,3964
27,Maharashtra,Bhandara,56,NA,39,30,4,51,488,1036,65,55,34,NA,3912
28,Maharashtra,Chandrapur,37,NA,14,10,7,25,287,761,90,36,39,NA,3397
29,Maharashtra,Gadchiroli,15,6,6,8,8,16,132,205,35,10,5,NA,1036
30,Maharashtra,Bombay Railways,9,NA,1,1,1,35,4,2166,5,40,33,1,3697
31,Maharashtra,Pune Railways,5,NA,NA,2,5,27,6,1189,19,14,9,NA,1403
32,Maharashtra,Nagpur Railways,6,NA,4,3,7,35,14,1102,11,25,11,NA,1364
33,Maharashtra,Thane City,156,1,36,54,55,239,1321,2280,400,139,114,4,8443
34,Maharashtra,Pune City,60,5,24,49,5,94,654,2131,202,96,156,2,8319
35,Maharashtra,Nagpur City,56,1,44,72,13,261,669,2442,202,72,155,7,7060
36,Maharashtra,Bombay City,288,13,81,204,73,557,2089,13329,349,303,974,29,31150
1,Manipur,Imphal District,30,1,5,139,9,36,166,307,132,37,110,2,1700
2,Manipur,Thoubal District,7,2,3,19,2,6,22,40,54,3,6,NA,376
3,Manipur,Bishenpur District,2,NA,3,10,3,4,20,49,9,5,6,3,183
4,Manipur,Okhrul District,8,NA,NA,2,3,5,9,24,3,2,4,NA,121
5,Manipur,Tamenglong District,6,1,1,3,3,1,11,33,13,2,3,1,189
6,Manipur,Senapati District,5,2,NA,2,3,NA,NA,23,8,1,1,NA,45
7,Manipur,Churachandpur District,3,NA,NA,2,1,6,7,6,7,2,NA,1,65
8,Manipur,Tengnoupal District,7,1,2,25,4,7,7,104,28,6,15,NA,207
1,Meghalaya,East Khasi Hills,28,31,6,20,8,25,72,244,53,7,8,NA,876
2,Meghalaya,West Khasi Hills,8,NA,NA,NA,2,2,7,17,NA,NA,1,NA,65
3,Meghalaya,East Garo Hills,2,1,2,NA,4,1,21,45,NA,NA,1,NA,129
4,Meghalaya,West Garo Hills,8,NA,5,NA,7,2,20,177,5,3,NA,3,379
5,Meghalaya,Jaintia Hills,17,NA,2,NA,NA,2,6,27,3,6,2,NA,164
1,Nagaland,Kohima,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Nagaland,Mokokchung,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Nagaland,Tuensang,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Nagaland,Phek,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Nagaland,Wokha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Nagaland,Zunheboto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Nagaland,Mon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Orissa,Balasore,24,1,7,22,17,32,352,618,288,17,7,1,2838
2,Orissa,Cuttack (S),21,1,8,18,26,59,620,733,115,74,39,1,3117
3,Orissa,Cuttack (R ),24,4,11,13,23,65,683,925,338,23,14,NA,4373
4,Orissa,Ganjam,63,4,8,17,20,72,511,746,302,21,38,4,4070
5,Orissa,Koraput,92,9,21,17,26,107,577,866,288,70,16,7,4227
6,Orissa,Puri,24,19,13,29,36,58,449,963,277,26,13,NA,3782
7,Orissa,Sambalpur,55,2,11,15,18,56,811,960,234,51,34,NA,4165
