SL. No.,Category,State/UTs/Cities,Murder - Male,Murder - Female,Murder - Total,Culpable Homicide Not Amounting to Murder - Male,Culpable Homicide Not Amounting to Murder - Female,Culpable Homicide Not Amounting to Murder - Total,Rape - Male,Rape - Female,Rape - Total,Kidnapping & Abduction - Male,Kidnapping & Abduction - Female,Kidnapping & Abduction - Total,Dacoity - Male,Dacoity - Female,Dacoity - Total,Robbery - Male,Robbery - Female,Robbery - Total,Burglary - Male,Burglary - Female,Burglary - Total,Thefts - Male,Thefts - Female,Thefts - Total,Riots - Male,Riots - Female,Riots - Total,Criminal Breach of Trust - Male,Criminal Breach of Trust - Female,Criminal Breach of Trust - Total,Cheating - Male,Cheating - Female,Cheating - Total,Counterfeiting - Male,Counterfeiting - Female,Counterfeiting - Total,Total Cognizable Crime Under IPC - Male,Total Cognizable Crime Under IPC - Female,Total Cognizable Crime Under IPC - Total
1,State,Andhra Pradesh,4346,77,4423,25,NA,25,606,NA,606,738,51,789,1289,13,1302,907,24,931,4153,280,4433,9925,678,10603,32298,811,33109,416,4,420,815,3,818,41,NA,41,120765,8148,128913
2,State,Assam,1232,31,1263,29,NA,29,368,NA,368,777,1,778,1645,NA,1645,814,2,816,4605,15,4620,7975,100,8075,17007,195,17202,460,1,461,413,1,414,12,NA,12,53223,515,53738
3,State,Bihar,5197,57,5254,415,14,429,721,NA,721,2367,28,2395,7303,63,7366,3153,92,3245,6946,236,7182,19950,1936,21886,96083,1873,97956,2845,24,2869,2485,NA,2485,11,NA,11,208308,5248,213556
4,State,Gujarat,2597,112,2709,13,NA,13,189,4,193,745,53,798,608,10,618,1042,21,1063,4911,147,5058,10414,555,10969,13692,443,14135,1279,16,1295,900,27,927,1,NA,1,115880,3768,119648
5,State,Haryana,999,40,1039,291,6,297,153,2,155,205,5,210,145,NA,145,94,NA,94,1841,8,1849,2795,62,2857,1857,27,1884,205,NA,205,386,NA,386,5,NA,5,28572,325,28897
6,State,Himachal Pradesh,159,12,171,21,2,23,27,NA,27,63,4,67,NA,NA,NA,94,1,95,266,3,269,971,21,992,1062,125,1187,55,NA,55,76,NA,76,NA,NA,NA,6844,882,7726
7,State,Jammu & Kashmir,393,10,403,31,NA,31,142,2,144,589,28,617,33,3,36,48,NA,48,682,37,719,2184,15,2199,7634,262,7896,99,NA,99,126,NA,126,NA,NA,NA,22035,383,22418
8,State,Karnataka,2283,81,2364,12,2,14,213,NA,213,220,13,233,708,NA,708,492,2,494,4196,10,4206,9156,178,9334,44168,1360,45528,618,NA,618,722,16,738,20,NA,20,124883,3058,127941
9,State,Kerala,1103,40,1143,19,2,21,165,NA,165,153,7,160,186,5,191,178,NA,178,2189,4,2193,2478,37,2515,28306,791,29097,305,3,308,645,19,664,267,3,270,79699,2277,81976
10,State,Madhya Pradesh,6631,64,6695,90,3,93,2030,4,2034,1487,32,1519,2305,10,2315,3116,56,3172,11625,416,2041,20186,149,20335,33886,281,34167,1106,12,1118,1305,18,1323,8,NA,8,225452,1574,227026
11,State,Maharashtra,5282,320,5602,25,2,27,1045,14,1059,1040,66,1106,3422,87,3509,3731,36,3767,13922,549,4471,31534,1441,32975,48435,2306,50741,2644,25,2669,2028,53,2081,713,NA,713,235345,11603,246948
12,State,Manipur,100,5,105,18,NA,18,20,NA,20,134,8,142,41,NA,41,88,NA,88,195,NA,195,432,5,437,941,233,1174,37,NA,37,65,2,67,18,NA,18,2701,255,2956
13,State,Meghalaya,122,1,123,32,NA,32,18,NA,18,20,NA,20,82,NA,82,43,NA,43,161,NA,161,465,6,471,117,2,119,16,NA,16,10,NA,10,NA,NA,NA,1936,34,1970
14,State,Nagaland,47,NA,47,1,NA,1,9,NA,9,20,NA,20,9,NA,9,69,NA,69,216,NA,216,314,NA,314,124,NA,124,52,NA,52,56,NA,56,NA,NA,NA,1929,NA,1929
15,State,Orissa,1455,20,1475,93,NA,93,200,NA,200,217,NA,217,974,NA,974,1053,NA,1053,5618,26,5644,11480,60,11540,18395,45,18440,392,NA,392,365,2,367,11,NA,11,76876,254,77130
16,State,Punjab,1651,36,1687,345,4,349,95,NA,95,141,12,153,39,NA,39,169,NA,169,708,11,719,1337,38,1375,202,NA,202,237,NA,237,308,6,314,10,NA,10,23263,178,23441
17,State,Rajasthan,2142,105,2247,87,2,89,530,NA,530,1504,64,1568,440,3,443,1321,9,1330,3767,90,3857,6706,284,6990,42666,1951,44617,503,4,507,1098,9,1107,2,NA,2,112054,4377,116431
18,State,Sikkim,3,NA,3,NA,NA,NA,5,NA,5,2,NA,2,7,NA,7,2,NA,2,22,NA,22,84,2,86,41,5,46,5,NA,5,2,NA,2,NA,NA,NA,235,11,246
19,State,Tamil Nadu,3021,34,3055,3,2,5,281,NA,281,813,10,823,205,NA,205,501,181,682,5882,185,6067,18308,11323,19631,52516,776,53292,812,64,876,816,57,873,105,NA,105,150471,11246,161717
