SL. No.,Head of Crime,Total Cases for Trial During the Year,Cases Compounded or Withdrawn,Cases in which Trials were Completed,Cases Convicted,Cases Pending Trial at the End of the year
1,Arms Act,183966,417,54917,35814,128632
2,Opium Act,35277,36,11182,7759,24059
3,Gambling Act,290137,1526,168297,133967,120314
4,Excise Act,266410,749,99604,65909,166057
5,Prohibition Act,715466,86514,241569,114725,387383
6,Explosive & Explosive Substances Act,6867,45,1608,824,5214
7,Suppression of Immoral Traffic Act,19181,346,14317,12680,4518
8,Motor Vehicles Act,1356839,6725,1135841,984747,214273
9,Prevention of Corruption Act,1114,NA,588,495,526
10,Customs Act,90,NA,25,17,65
11,Indian Railways Act,41203,67,34414,23552,6722
12,Other Offences,1226109,27621,950520,810698,247968
13,Total of Local and Special Laws,4142659,124046,2712882,2191187,1305731
