SL. No.,Nature of Property Stolen and Recovered,Number of Cases in which Property was Stolen,Property Stolen (in Rs. Lakh),Value of Property Recovered (in Rs. Lakh),Percentage of Value of Property Recovered to Value of Property Stolen
1,Wire,7644,163.46,33.32,20.4
2,Cattle,19465,334.94,150.26,44.9
3,Cycle,42140,245.07,62.58,25.5
4,Motor Vehicles and Accessories,15232,3816.08,2460.83,64.5
5,Fire Arms,887,23.77,9.87,41.5
6,Explosives,100,1.55,0.42,27.1
7,Others,287361,11985.71,3608.38,30.1
8,Total,372829,16570.58,6325.66,38.2
