SL. No.,Years,Boys,Girls,Total,Percentage of Girls
1,1969,74092,4776,78868,6.1
2,1972,120953,7228,128181,5.6
3,1973,122192,5550,127742,4.3
4,1974,132125,8514,140639,6.1
5,1975,132587,9312,141899,6.6
6,1976,124569,9404,133973,7
7,1977,138532,10390,148922,7
8,1978,151187,9732,160919,6
9,1979,160310,9733,170043,5.7
Percentage Change in 1979 Over 1969,Percentage Change in 1979 Over 1969,116.4,103.8,115.6,NA
Percentage Change in 1979 Over 1978,Percentage Change in 1979 Over 1978,6,0,5.7,NA
