SL. No.,Crime Heads,1973,1974,1975,1976,1977,1978,1979,Percentage Change Over 1978
1,Arms Act,31709,40798,48134,52846,57225,57903,61776,6.7
2,Opium Act,11451,11813,12364,14301,12102,12792,12923,1
3,Gambling Act ,194833,194898,173126,146306,192284,235790,217501,-7.8
4,Excise Act,143220,145010,90507,100381,90461,103250,123979,20.4
5,Prohibition Act,214171,347179,686438,692685,660211,686784,608810,-11.4
6,Explosives and Explosive Substances Act,1523,1575,1961,3080,1903,1803,1771,-1.8
7,Suppression of Immoral Traffic in Women & Girls Act,11816,14825,14708,16150,13924,15448,14195,-8.1
8,Motor Vehicles Act,581211,658111,757797,713820,593742,714482,774015,8.3
9,Customs Act,65,204,89,103,258,195,131,-32.8
10,Prevention of Corruption Act,329,235,489,367,807,1245,541,-56.5
11,Indian Railways Act,31042,27173,34739,36534,28036,24944,28692,15
12,Other Offences under Local & Special Laws declared to be Cognizable but not included above,1259548,1138319,1384918,1446337,1048108,937587,979233,4.4
13,Total,2480918,2580140,3205270,3222910,2699061,2792223,2823568,1.1
