SL. No.,Category,State/U.Ts,Area in Square Kms.,Estimated Mid-Year Population (in 000),Total Cognizable Crime under I.P.C.,Actual Strength of Police - Civil,Actual Strength of Police - Armed,Actual Strength of Police - Total,Number of Policemen Per 100 SQ. KM. Area,"Number of Policemen Per 10,000 of Population",Number of IPC Cases Per Civil Policeman,Percentage of civil police of total police
1,State,Andhra Pradesh ,276814,50073,76709,40983,7224,48207,17.4,9.6,1.9,85
2,State,Assam,78523,18974,40334,19608,9926,29534,37.6,15.6,2.1,66.4
3,State,Bihar,173876,66215,101146,47857,13120,60977,35.1,9.2,2.1,78.5
4,State,Gujarat,195984,31954,62508,38515,8472,46987,24,14.7,1.6,82
5,State,Haryana,44222,12038,16297,13251,4457,17708,40,14.7,1.2,74.8
6,State,Himachal Pradesh,55673,4098,4801,5380,1962,7342,13.2,17.9,0.9,73.3
7,State,Jammu and Kashmir,222236,5740,14118,13370,2918,16288,7.3,28.4,1.1,82.1
8,State,Karnataka ,191773,34526,75883,32462,2635,35097,18.3,10.2,2.3,92.5
9,State,Kerala,38864,25227,43412,18924,3358,22282,57.3,8.8,2.3,84.9
10,State,Madhya Pradesh,442841,51226,160787,39763,20068,59831,13.5,11.7,4,66.5
11,State,Maharashtra,307762,59124,154372,79709,9862,89571,29.1,15.1,1.9,89
12,State,Manipur,22356,1393,3242,3086,4423,7509,33.6,53.9,1.1,41.1
13,State,Meghalaya,22489,1266,2280,3215,1067,4282,19,33.8,0.7,75.1
14,State,Nagaland,16527,678,834,3062,5666,8728,52.8,128.7,0.3,35.1
15,State,Orissa,155782,26204,42595,19789,6302,26091,16.7,10,2.2,75.8
16,State,Punjab,50362,15607,12128,23534,3917,27451,54.5,17.6,0.5,85.7
17,State,Rajasthan,3422141,32114,59877,38390,6980,45370,13.3,14.1,1.6,84.6
18,State,Sikkim ,7299,247,318,1305,382,1687,23.1,68.3,0.2,77.4
19,State,Tamil Nadu,130069,46325,104745,41030,4183,45213,34.8,9.8,2.6,90.7
20,State,Tripura,10477,2006,5766,4070,1720,5790,55.3,28.9,1.4,70.3
21,State,Uttar Pradesh,294413,102671,206230,94379,23013,117392,39.9,11.4,2.2,80.4
22,State,West Bengal ,87853,54023,92367,52190,15777,67967,77.4,12.6,1.8,76.8
Total (States),State,Total (States),3168409,641729,1280749,633872,157432,791304,25,12.3,2,80.1
23,UT,A & N Islands,82930,175,703,1660,245,1905,23,108.9,0.4,87.1
24,UT,Arunachal Pradesh,83578,606,615,1389,NA,1389,1.7,22.9,0.4,100
25,UT,Chandigarh,114,463,2430,1072,965,2037,1786.8,44,2.3,52.6
26,UT,D & N Haveli,491,86,191,73,68,141,28.7,16.4,2.6,51.8
27,UT,Delhi,1485,5780,44078,17709,5226,22935,1544.4,39.7,2.5,77.2
28,UT,"Goa, Daman & Diu",3813,1107,2209,1548,598,2146,56.3,19.4,1.4,72.1
29,UT,Lakshadweep,32,35,6,284,NA,284,887.5,81.1,0.02,100
30,UT,Mizoram,21087,431,1277,1130,670,1800,8.5,41.8,1.1,62.8
31,UT,Pondicherry,480,572,3910,701,593,1294,269.6,22.6,5.6,54.2
Total (UTs),UT,Total (UTs),119373,9255,55419,25566,8365,33931,28.4,36.7,2.2,75.3
Total (All-India),Total (All-India),Total (All-India),3287782,650984,1336168,659438,165797,825235,25.1,12.7,2,79.9
