SL. No.,Crime Heads,Persons Arrested - 1978,Persons Arrested - 1979,Percentage Variation in 1979 Over 1978,Percentage to Total Persons Arrested During 1979
1,Total Cognizable Crimes,1825940,1822577,-0.2,100
2,Murder ,45958,46552,1.3,2.5
3,Culpable Homicide Not Amounting to Murder,16369,15805,-3.4,0.9
4,Rape,52039,52057,Negligible,2.8
5,Kidnapping & Abduction,24543,24825,1.1,1.4
6,Dacoity,111095,98550,-11.3,5.4
7,Robbery,242479,232159,-4.3,12.7
8,Burglary,534003,551867,3.3,30.3
9,Thefts,5756,5328,-7.4,0.3
10,Riots,17395,20880,20.3,1.1
11,Criminal Breach of Trust,14955,13870,-7.3,0.8
12,Cheating ,297,272,-8.4,Negligible
13,Counterfeiting,5224,5743,9.9,0.3
14,Miscellaneous,755827,754669,-0.2,41.4
