SL. No.,Crime Heads,Total number of persons under trial during the year including persons carried over from previous year,Number of persons against whom cases were compounded or withdrawn,Persons in whose cases trials were completed during the Year,Persons in custody or on bail during the stage of trial at the end of the year,Number of Persons convicted during the year,Percentage of persons in custody pending trial to total number of persons under trial,Percentage of persons convicted to total persons in whose cases trials were completed during the year
1,Arms Act,174155,306,55168,118691,40204,68.2,72.9
2,Opium Act,30216,49,12968,17199,9576,56.9,73.8
3,Gambling Act ,631145,6973,367021,257229,322054,40.8,87.7
4,Excise Act,262363,686,106365,155612,80664,59.3,75.8
5,Prohibition Act,792086,45339,342256,404491,214172,51.1,62.6
6,Explosives & Explosive Substances Act,4499,183,987,3329,588,74,59.6
7,Suppression of Immoral Traffic in Women & Girls Act,21512,193,13247,8072,11855,37.5,59.5
8,Motor Vehicles Act,1039443,10237,758517,270689,623409,26,82.2
9,Prevention of Corruption Act,902,7,344,551,177,61.1,51.5
10,Customs Act,93,2,34,57,31,61.3,91.2
11,Indian Railways Act,37321,128,30382,6811,29304,18.2,96.5
12,Other Offences Under Local & Special Laws,1310111,24566,1033520,251637,972207,19.2,94.1
13,Total,4303846,88669,2720809,1494368,230241,34.7,84.7
