SL. No.,Year,Estimated Population in Millions (Mid-Year),Total Cognizable Crime Under the Indian Penal Code,Rate of Crime Per One Lakh of Population
1,1969,522.5,845167,161.8
2,1970,534.3,955422,178.8
3,1971,551.2,952581,172.8
4,1972,563.5,984773,174.8
5,1973,575.9,1077181,187
6,1974,588.3,1192277,202.7
7,1975,600.8,1160520,193.2
8,1976,613.3,1093897,178.4
9,1977,625.8,1267004,202.5
10,1978,638.4,1344968,210.7
11,1979,651,1336168,205.2
Percentage Change in 1979 Over 1969,Percentage Change in 1980 Over 1970,24.6,58.1,26.8
