SL. No.,Category,States/U.Ts/Cities,"Number of I.G., D.Is.G.& Ss.P.",Number of A.Ss.P./ Dy.S.P.,Number of Inspector & Sub-Inspectors ,Number of Officers Below the Rank of Sub-Inspectors,Total
1,State,Andhra Pradesh ,64,190,2630,38099,40983
2,State,Assam,59,119,2162,17268,19608
3,State,Bihar,92,281,5161,42323,47857
4,State,Gujarat,62,102,2103,36248,38515
5,State,Haryana,31,71,567,12582,13251
6,State,Himachal Pradesh,22,32,276,5050,5380
7,State,Jammu and Kashmir,36,61,637,12636,13370
8,State,Karnataka ,59,108,1692,30603,32462
9,State,Kerala,40,96,1179,17609,18924
10,State,Madhya Pradesh,94,259,2802,36608,39763
11,State,Maharashtra @,100,242,4886,74481,79709
12,State,Manipur,16,30,223,2817,3086
13,State,Meghalaya,12,18,264,2921,3215
14,State,Nagaland,11,15,136,2900,3062
15,State,Orissa,85,137,2032,17535,19789
16,State,Punjab,52,120,960,22402,23534
17,State,Rajasthan,116,305,2184,35785,38390
18,State,Sikkim ,9,19,96,1181,1305
19,State,Tamil Nadu,61,221,2923,37825,41030
20,State,Tripura,12,26,432,3600,4070
21,State,Uttar Pradesh,220,601,9750,83808,94379
22,State,West Bengal ,100,211,5520,46659,52190
Total (States),State,Total (States),1353,3264,48315,580940,633872
23,UT,A & N Islands,2,5,71,1582,1660
24,UT,Arunachal Pradesh,4,8,105,1272,1389
25,UT,Chandigarh,1,2,67,1002,1072
26,UT,D & N Haveli,NA,1,4,68,73
27,UT,Delhi,28,80,1904,15697,17709
28,UT,"Goa, Daman & Diu",2,8,67,1471,1548
29,UT,Lakshadweep,1,1,16,266,284
30,UT,Mizoram,9,16,161,944,1130
31,UT,Pondicherry,9,NA,84,608,701
Total (UTs),UT,Total (UTs),56,121,2479,22910,25566
Total (All-India),Total (All-India),Total (All-India),1409,3385,50794,603850,659438
1,City,Ahmedabad ,7,10,374,5985,6376
2,City,Bangalore ,6,14,265,4455,4740
3,City,Bombay,20,55,1956,20274,22305
4,City,Calcutta,19,38,1248,11596,12901
5,City,Delhi,28,80,1904,15697,17709
6,City,Hyderabad,9,15,372,4399,4795*
7,City,Kanpur,3,16,579,5272,5870
8,City,Madras,8,27,442,6147,6624
Total (Cities),City,Total (Cities),100,255,7140,73825,81320
