SL. No.,Crime Heads,Male,Female,Total,Percentage of Female to Total
1,Murder ,45735,817,46552,1.8
2,Culpable Homicide Not Amounting to Murder,5702,41,5743,0.7
3,Rape,5287,41,5328,0.8
4,Kidnapping & Abduction,15312,493,15805,3.1
5,Dacoity,51870,187,52057,0.4
6,Robbery,24661,164,24825,0.7
7,Burglary,96936,1614,98550,1.6
8,Thefts,226904,5255,232159,2.3
9,Riots,541398,10469,551867,1.9
10,Criminal Breach of Trust,20790,90,20880,0.4
11,Cheating ,13734,136,13870,1
12,Counterfeiting,270,2,272,0.7
13,Total Cognizable Crimes,1790620,31957,1822577,1.8
