SL. No.,Heads of Offences,Number of Offences During - 1978,Number of Offences During - 1979,Percentage of Offences to Total Offences in 1979
1,Arms Act,825,1127,1.3
2,Opium Act,212,163,0.2
3,Gambling Act ,16402,14748,17.5
4,Excise Act,2573,2570,3.1
5,Prohibition Act,24483,25969,30.9
6,Explosives & Explosive Substances Act,24,34,Negligible
7,Suppression of Immoral Traffic Act,1616,1583,1.9
8,Motor Vehicles Act,1167,1708,2
9,Prevention of Corruption Act,NA,NA,NA
10,Customs Act,NA,NA,NA
11,Indian Railways Act,800,2921,3.5
12,Miscellaneous ,41660,33271,39.6
13,Total,89762,84094,100
