SL. No.,Ranks,Killed,Injured
1,Constables,137,2747
2,Head Constables,26,464
3,Assistant Sub-Inspectors,12,109
4,Sub-Inspectors,17,350
5,Inspectors,2,105
6,Other Gazetted Officers,4,123
Total,Total,198,3898
